Year,b_1p0200,b_1p0203,b_1p0205,b_1p0208,b_1p0210,b_1p0212,b_1p0215,b_1p0217,b_1p0220,b_1p0223,b_1p0225,b_1p0228,b_1p0230,b_1p0232,b_1p0235,b_1p0237,b_1p0240,b_1p0243,b_1p0245,b_1p0248,b_1p0250,b_1p0252,b_1p0255,b_1p0257,b_1p0260,b_1p0263,b_1p0265,b_1p0268,b_1p0270,b_1p0272,b_1p0275,b_1p0277,b_1p0280,b_1p0283,b_1p0285,b_1p0288,b_1p0290,b_1p0292,b_1p0295,b_1p0297,b_1p0300
1970,1.04298218939175,1.0427147665241,1.04244775654111,1.04218116016656,1.04191497811767,1.0416492111051,1.04138385983282,1.04111892499804,1.04085440729115,1.04059030739563,1.04032662598799,1.04006336373768,1.03980052130704,1.03953809935119,1.03927609851801,1.03901451944803,1.03875336277438,1.03849262912269,1.03823231911108,1.03797243335004,1.0377129724424,1.03745393698322,1.03719532755978,1.03693714475148,1.03667938912978,1.03642206125816,1.03616516169204,1.03590869097872,1.03565264965732,1.03539703825875,1.0351418573056,1.03488710731216,1.03463278878426,1.03437890221933,1.03412544810627,1.03387242692541,1.03361983914849,1.03336768523858,1.03311596565005,1.0328646808285,1.03261383121073
1971,1.04298218939175,1.0427147665241,1.04244775654111,1.04218116016656,1.04191497811767,1.0416492111051,1.04138385983282,1.04111892499804,1.04085440729115,1.04059030739563,1.04032662598799,1.04006336373768,1.03980052130704,1.03953809935119,1.03927609851801,1.03901451944803,1.03875336277438,1.03849262912269,1.03823231911108,1.03797243335004,1.0377129724424,1.03745393698322,1.03719532755978,1.03693714475148,1.03667938912978,1.03642206125816,1.03616516169204,1.03590869097872,1.03565264965732,1.03539703825875,1.0351418573056,1.03488710731216,1.03463278878426,1.03437890221933,1.03412544810627,1.03387242692541,1.03361983914849,1.03336768523858,1.03311596565005,1.0328646808285,1.03261383121073
1972,1.0428938420798,1.04262648316947,1.04235953687139,1.04209300391022,1.04182688500413,1.04156118086466,1.04129589219667,1.04103101969828,1.04076656406077,1.04050252596851,1.04023890609889,1.03997570512226,1.03971292370181,1.03945056249355,1.03918862214624,1.03892710330125,1.03866600659258,1.03840533264673,1.03814508208266,1.0378852555117,1.03762585353753,1.03736687675604,1.03710832575534,1.03685020111565,1.03659250340927,1.03633523320046,1.03607839104547,1.03582197749239,1.03556599308114,1.03531043834341,1.03505531380258,1.03480061997369,1.03454635736338,1.0342925264698,1.03403912778262,1.03378616178292,1.03353362894317,1.03328152972717,1.03302986459002,1.03277863397802,1.0325278383287
1973,1.04274124356653,1.04247398005939,1.04220712872073,1.04194069027674,1.04167466544708,1.0414090549448,1.04114385947627,1.04087907974108,1.04061471643199,1.04035077023486,1.04008724182854,1.03982413188483,1.03956144106839,1.03929917003666,1.03903731943983,1.0387758899207,1.03851488211469,1.0382542966497,1.03799413414609,1.03773439521658,1.03747508046621,1.03721619049226,1.03695772588418,1.03669968722353,1.03644207508395,1.03618489003102,1.03592813262229,1.03567180340715,1.03541590292682,1.03516043171424,1.03490539029406,1.03465077918257,1.03439659888762,1.03414284990861,1.03388953273639,1.03363664785324,1.03338419573281,1.03313217684006,1.03288059163122,1.03262944055376,1.03237872404629
1974,1.04254548437768,1.04227832740186,1.04201158205881,1.04174524907656,1.0414793291766,1.04121382307381,1.04094873147635,1.04068405508563,1.0404197945962,1.04015595069569,1.03989252406474,1.03962951537688,1.03936692529854,1.03910475448889,1.03884300359983,1.03858167327589,1.03832076415417,1.03806027686425,1.03780021202817,1.03754057026031,1.03728135216733,1.03702255834815,1.03676418939382,1.0365062458875,1.0362487284044,1.03599163751167,1.0357349737684,1.03547873772552,1.03522292992573,1.03496755090349,1.03471260118491,1.03445808128774,1.03420399172127,1.03395033298631,1.03369710557512,1.03344430997134,1.03319194665,1.03294001607739,1.03268851871107,1.03243745499978,1.03218682538344
1975,1.04232593513238,1.04205888258732,1.04179224111453,1.04152601144396,1.04126019429902,1.04099479039646,1.04072980044635,1.04046522515197,1.04020106520972,1.03993732130909,1.03967399413254,1.03941108435543,1.03914859264599,1.03888651966518,1.03862486606668,1.03836363249678,1.03810281959432,1.03784242799061,1.03758245830939,1.03732291116674,1.03706378717099,1.03680508692272,1.03654681101461,1.03628896003146,1.03603153455006,1.03577453513915,1.03551796235937,1.03526181676319,1.03500609889484,1.03475080929027,1.03449594847707,1.03424151697443,1.03398751529309,1.03373394393526,1.03348080339457,1.03322809415606,1.03297581669606,1.03272397148219,1.03247255897329,1.03222157961939,1.03197103386163
1976,1.04210052213503,1.04183356295153,1.04156701431292,1.04130087695092,1.04103515159073,1.04076983895088,1.04050493974319,1.0402404546727,1.03997638443753,1.03971272972888,1.03944949123092,1.03918666962071,1.03892426556812,1.03866227973578,1.03840071277901,1.03813956534571,1.03787883807633,1.03761853160376,1.0373586465533,1.03709918354257,1.03684014318146,1.03658152607201,1.03632333280843,1.03606556397696,1.03580822015584,1.03555130191524,1.0352948098172,1.03503874441557,1.03478310625593,1.03452789587558,1.0342731138034,1.0340187605599,1.03376483665705,1.03351134259831,1.03325827887854,1.03300564598395,1.03275344439205,1.03250167457159,1.03225033698253,1.03199943207597,1.03174896029412
1977,1.04188535452648,1.04161847175723,1.04135199908625,1.04108593724678,1.04082028696551,1.04055504896247,1.04029022395094,1.04002581263741,1.03976181572146,1.03949823389572,1.03923506784576,1.03897231825003,1.0387099857798,1.03844807109906,1.03818657486447,1.03792549772526,1.03766484032318,1.03740460329244,1.03714478725961,1.03688539284356,1.0366264206554,1.03636787129842,1.03610974536799,1.03585204345156,1.03559476612851,1.03533791397014,1.03508148753961,1.03482548739186,1.03456991407354,1.03431476812299,1.03406005007013,1.03380576043644,1.03355189973489,1.03329846846989,1.03304546713722,1.032792896224,1.03254075620861,1.03228904756066,1.03203777074094,1.03178692620135,1.03153651438486
1978,1.04169386989918,1.04142704373014,1.04116062732788,1.04089462142675,1.04062902675452,1.04036384403228,1.0400990739744,1.03983471728838,1.03957077467484,1.03930724682743,1.03904413443273,1.03878143817016,1.03851915871197,1.03825729672311,1.03799585286117,1.03773482777631,1.03747422211119,1.03721403650091,1.03695427157289,1.03669492794688,1.03643600623483,1.03617750704083,1.03591943096107,1.03566177858376,1.03540455048906,1.03514774724901,1.03489136942748,1.03463541758013,1.03437989225428,1.03412479398894,1.03387012331467,1.03361588075357,1.03336206681921,1.03310868201658,1.032855726842,1.03260320178314,1.03235110731887,1.03209944391931,1.0318482120457,1.03159741215038,1.03134704467676
1979,1.04153572028172,1.04126893155859,1.04100255240324,1.0407365835506,1.04047102572902,1.04020587966015,1.03994114605889,1.03967682563329,1.0394129190845,1.03914942710666,1.03888635038685,1.038623689605,1.0383614454338,1.03809961853867,1.03783820957764,1.0375772192013,1.03731664805272,1.0370564967674,1.03679676597316,1.0365374562901,1.03627856833053,1.03602010269889,1.03576205999168,1.03550444079742,1.03524724569655,1.0349904752614,1.03473413005611,1.03447821063654,1.03422271755028,1.03396765133651,1.03371301252599,1.033458801641,1.03320501919526,1.03295166569389,1.03269874163334,1.03244624750135,1.03219418377691,1.03194255093018,1.03169134942243,1.03144057970605,1.03119024222444
