Year,N_y_A,N_m_A,N_o_A,psi_y_A,psi_o_A,n_m_A,psi_y_A_s,psi_o_A_s,n_m_A_s,gamma_A_path,phi_A_path
1950,NaN,NaN,NaN,0.200949041271865,0.152873549452415,NaN,0.201773084853796,0.150380012349576,0.0211096242479907,0.854864126529287,0.0446139709753808
1951,NaN,NaN,NaN,0.198504070513764,0.152238417254958,0.0198161742058088,0.19790114769663,0.150096716586157,0.0207818269464069,0.852613313246852,0.0405954272175197
1952,NaN,NaN,NaN,0.195345815118956,0.151672573947676,0.0194213661789765,0.194021901888497,0.149842213622883,0.0204540296448231,0.852164481752344,0.039669513464165
1953,NaN,NaN,NaN,0.193036910824198,0.150850967424781,0.0199883127374887,0.190134327674892,0.149662799901312,0.0201147397844692,0.85205113492293,0.0387413086893703
1954,NaN,NaN,NaN,0.189687298722509,0.149623648614142,0.0205555826189142,0.186252222067118,0.149622703360462,0.0197452980036957,0.852429917859069,0.0378223655557694
1955,NaN,NaN,NaN,0.186272303941646,0.148740413077626,0.0204805143697168,0.182416939858432,0.149797236073483,0.019325819205098,0.853427905707824,0.036940519004389
1956,NaN,NaN,NaN,0.182623772753104,0.1479841401835,0.0197854965543544,0.178704344686966,0.150261937597599,0.0188436058444339,0.855112001267317,0.0361382270341897
1957,NaN,NaN,NaN,0.175946069053158,0.149422430673658,0.0187590517932373,0.17522864355963,0.151081397752419,0.0182966858925852,0.857473879888042,0.0354712712606517
1958,NaN,NaN,NaN,0.171089152073387,0.151112224561167,0.0196774583868187,0.172138135237276,0.152300295617266,0.0176921523438426,0.860428997766917,0.0350007145023744
1959,NaN,NaN,NaN,0.166468490374034,0.152601511147152,0.0194559435798872,0.169590782027684,0.153946303980577,0.0170451397082471,0.863887622189081,0.0347709724107557
1960,NaN,NaN,NaN,0.163478888202233,0.154775482358437,0.0156735257300997,0.167733433782716,0.156034038317428,0.0163889885462505,0.867778406691027,0.0348097894856576
1961,NaN,NaN,NaN,0.163300273849691,0.156541854984829,0.0135857349878677,0.166682986321646,0.1585649393582,0.0157754115710208,0.872030026297873,0.0351257320065833
1962,NaN,NaN,NaN,0.160834885578484,0.158908080904385,0.013859772559097,0.166516734139757,0.161526302882025,0.0152516758324666,0.87654843658735,0.0357100043322215
1963,NaN,NaN,NaN,0.159193039888821,0.161912221763536,0.0138792435590089,0.167272464587507,0.164885274642056,0.0148467553292808,0.881177142251717,0.0365425306307573
1964,NaN,NaN,NaN,0.161804343694291,0.16707793885567,0.0139544409220342,0.168930406881652,0.168582958261545,0.0145749358422322,0.885707012826549,0.0375745850537489
1965,NaN,NaN,NaN,0.164412624903736,0.17229197212545,0.0147573777243059,0.171394821197633,0.172533495321827,0.0144406000455667,0.889917842641484,0.0387255397551077
1966,NaN,NaN,NaN,0.170877064996626,0.177859364654449,0.0137524634106929,0.174496624489101,0.176635480849191,0.0144428566846203,0.893661845179165,0.0399009972704409
1967,NaN,NaN,NaN,0.180269646904529,0.183064473290021,0.0135730455182269,0.178001625278975,0.180785410158837,0.0145807408052693,0.896883200385971,0.0409997212488038
