Year,N_y_B,N_m_B,N_o_B,psi_y_B,psi_o_B,n_m_B,psi_y_B_s,psi_o_B_s,n_m_B_s,gamma_B_path,phi_B_path
1950,NaN,NaN,NaN,0.147766780489377,0.186944487627455,NaN,0.145199669579533,0.18595455169118,0.00842364025275372,0.873982187905203,0.0302630436972633
1951,NaN,NaN,NaN,0.146518894260557,0.189400609868883,0.00756831009294451,0.143319872110546,0.188441563448284,0.00787910894680014,0.886917333062628,0.0282893693335203
1952,NaN,NaN,NaN,0.142937738066087,0.192206666973207,0.00775263715488933,0.141471390613965,0.190940189114543,0.00733457764084655,0.888024126388054,0.0278531258239451
1953,NaN,NaN,NaN,0.139848315968405,0.193619981986209,0.00686960992837576,0.139709551897301,0.193470632941774,0.00678761075642649,0.889199057978993,0.0274807334633622
1954,NaN,NaN,NaN,0.13735563524135,0.194997498671569,0.0065860576320923,0.138105176330403,0.196063493637855,0.00623872597640025,0.89050558955109,0.0271991351636098
1955,NaN,NaN,NaN,0.135021014437814,0.19708715576509,0.0067484611485773,0.136731225466029,0.19875071314142,0.00569028170392705,0.891964421541276,0.0270251235923316
1956,NaN,NaN,NaN,0.134255839149591,0.200998626224994,0.00533526862272976,0.135652967908599,0.201554505801547,0.00514889476849497,0.893542900727456,0.026966450392571
1957,NaN,NaN,NaN,0.132726926577831,0.204434059235046,0.00361390909389953,0.134920541767648,0.204483153132215,0.00462920628122264,0.895190842355827,0.0270227424601855
1958,NaN,NaN,NaN,0.131971846328274,0.208241874415585,0.00345890290884315,0.13456810478023,0.207538310099291,0.00414718458837052,0.896890560279304,0.0271897501363424
1959,NaN,NaN,NaN,0.132213256349083,0.209998605709155,0.00359007686002455,0.134608319989846,0.210721549697513,0.00371111605543381,0.898646431758042,0.0274533832631718
1960,NaN,NaN,NaN,0.132878337345151,0.213466294448285,0.0031073290579447,0.135028642169564,0.214037883001386,0.0033227391302295,0.900473042851892,0.0277906511307252
1961,NaN,NaN,NaN,0.134674172702666,0.217221914052757,0.00324493974262768,0.135792406870496,0.217487674957145,0.00298145581523207,0.902345426623085,0.0281743521959736
1962,NaN,NaN,NaN,0.137654733320644,0.220311689425261,0.00378883677734398,0.136842554833815,0.221065776943511,0.0026854573459848,0.904232571785508,0.0285761141815399
1963,NaN,NaN,NaN,0.140001588834851,0.223453110367224,0.00253196617374396,0.138112243866333,0.224763018925586,0.00243620415848321,0.906113059635418,0.0289746696221258
1964,NaN,NaN,NaN,0.141968760250416,0.227145085861346,0.00203406772899367,0.139541399156594,0.228562500195853,0.00224319164439303,0.907957237191578,0.0293646221641626
1965,NaN,NaN,NaN,0.138697445355726,0.231055690046205,0.0025323555899685,0.14108812252522,0.232434843386716,0.00211806553810224,0.909716840864871,0.0297538370901009
1966,NaN,NaN,NaN,0.137204085551712,0.23573203005929,0.00200275355986607,0.14272601766518,0.236336599212674,0.00207192200565793,0.911336128124719,0.0301512368217847
1967,NaN,NaN,NaN,0.145017175104545,0.240436132513921,0.000815995091757671,0.144407379717765,0.240211627147737,0.00211817853944773,0.91276780227833,0.0305324461982766
1968,NaN,NaN,NaN,0.146505514408893,0.244953504870528,0.000666872514367589,0.146044320978748,0.243997771641356,0.00226829208105288,0.913990852405882,0.0308496883812945
1969,NaN,NaN,NaN,0.151382494150324,0.248698668859683,0.00214183117503319,0.14754454034805,0.247634980148941,0.00252213822221753,0.915006511312305,0.0310812112897433
1970,NaN,NaN,NaN,0.151286235954475,0.25154337743314,0.00193061379566872,0.148826330198506,0.251071804716805,0.0028659761089592,0.915829299941193,0.0312172306267986
1971,NaN,NaN,NaN,0.155396212057246,0.254333850741686,0.00264593561522136,0.149838745385095,0.254266363150158,0.00327923322051305,0.916471533371101,0.0312690374178771
1972,NaN,NaN,NaN,0.152420773280835,0.257443381968333,0.00583408116500383,0.150563222990909,0.257181853165272,0.00373333189485897,0.916920333039844,0.0312543291654183
1973,NaN,NaN,NaN,0.152215060166454,0.26090298857576,0.00657519724425276,0.151025892561557,0.259783161117954,0.00419739177054199,0.917147030078273,0.0312092290074065
1974,NaN,NaN,NaN,0.149311073383722,0.261250969107448,0.00510264333042271,0.151276750368971,0.262038933347616,0.00465761582777209,0.917147243130541,0.0311606253066177
1975,NaN,NaN,NaN,0.150261415150691,0.264001138090433,0.00443708921609992,0.151373618516269,0.26392447086437,0.00512050502431424,0.91694731914026,0.0311273275952529
1976,NaN,NaN,NaN,0.147610661775894,0.266458367050679,0.00437265547237209,0.151361211793939,0.265411782822639,0.00559840964398743,0.916541258622175,0.0311096990487568
1977,NaN,NaN,NaN,0.149286233193803,0.268862715681311,0.00462960344733604,0.151267132129734,0.266473830041651,0.00609776348929443,0.91593041517596,0.031100553890014
1978,NaN,NaN,NaN,0.1524541285967,0.271697019373375,0.00494962178885155,0.151088517979397,0.267094771808272,0.0066131239443262,0.91514090746174,0.0310739793715719
1979,NaN,NaN,NaN,0.150808962316599,0.273377133749576,0.00525188180958952,0.1508051533624,0.267284363999187,0.00712429772567382,0.91423945041133,0.031008719790002
1980,NaN,NaN,NaN,0.151732403580129,0.271214953977666,0.00774334260325527,0.150402689894996,0.267097632938302,0.00759426564996211,0.913356994268674,0.0309007651866073
