Year,N_y_C,N_m_C,N_o_C,psi_y_C,psi_o_C,n_m_C,psi_y_C_s,psi_o_C_s,n_m_C_s,gamma_C_path,phi_C_path
1950,NaN,NaN,NaN,0.171442459753338,0.164825328440283,NaN,0.168177439190117,0.162924340784649,0.0146812993304885,0.861235841889328,0.0361045511634086
1951,NaN,NaN,NaN,0.167189982243224,0.166825891298142,0.0136718692380504,0.165731304338041,0.164970911096543,0.0141735732723994,0.87346763354953,0.033538357771513
1952,NaN,NaN,NaN,0.16516266235139,0.167741485067697,0.0124659704385008,0.163320605178364,0.167039806166241,0.0136658472143103,0.87483633130666,0.0329674761452466
1953,NaN,NaN,NaN,0.161373886779383,0.168327345968717,0.0143500205132829,0.16099370125667,0.169167023478327,0.0131510334441305,0.876388377247296,0.0324544506635001
1954,NaN,NaN,NaN,0.158371415515897,0.16975014517181,0.0138734981676554,0.158814452273632,0.171394994891625,0.0126159827682303,0.87816944543433,0.0320230916615256
1955,NaN,NaN,NaN,0.15607462116486,0.172192889322506,0.0125422114218239,0.156851633355013,0.173758910041294,0.0120557170146977,0.880152296074456,0.031691030441129
1956,NaN,NaN,NaN,0.15446696209531,0.174448214323503,0.0115390823572725,0.155170368155707,0.176278832136384,0.0114765636396912,0.882267892537398,0.0314698840768298
1957,NaN,NaN,NaN,0.152329427757418,0.177783946975743,0.0105424411246737,0.15382861788687,0.178958427836439,0.0108903484356415,0.884436013000415,0.0313675706104657
1958,NaN,NaN,NaN,0.151174982735629,0.181478592832807,0.0111478544271957,0.152875775028075,0.181784422769301,0.0103095515080539,0.886566453211193,0.0313889613955647
1959,NaN,NaN,NaN,0.150858402116828,0.185522780946967,0.00964330320497164,0.152347089030493,0.184732036887404,0.0097458266870009,0.888593207501845,0.0315312173339931
1960,NaN,NaN,NaN,0.15083393225227,0.188870994895129,0.00747363361578279,0.152261326102512,0.187773784660777,0.00921571463905932,0.890502032287851,0.0317868518100426
1961,NaN,NaN,NaN,0.150902029625203,0.191908193583721,0.00946040588248187,0.15262196131818,0.190888837725339,0.00873354412502778,0.892328895193154,0.0321458310697914
1962,NaN,NaN,NaN,0.152155855666517,0.194634562879564,0.00837311837238786,0.153417455956922,0.194066803644372,0.00830296379490074,0.894123173060564,0.0325937064846941
1963,NaN,NaN,NaN,0.154449869641187,0.19636103506772,0.00815178037748465,0.154620162340396,0.197306957309278,0.00792970229965585,0.895936551111604,0.0331122894317419
1964,NaN,NaN,NaN,0.15346519866779,0.198399383972977,0.0079362662603466,0.156190754969462,0.200612520531591,0.00762155825347821,0.897796524557065,0.0336850420347997
1965,NaN,NaN,NaN,0.15257160071264,0.202476825083437,0.00807154610844441,0.158082049207963,0.203977575280604,0.0073884736626332,0.899667965613897,0.0342974302895012
1966,NaN,NaN,NaN,0.154750138051108,0.208350711290696,0.00747832183111075,0.160218942967886,0.207377181271954,0.00724403360165405,0.901468841799637,0.0349139350079971
1967,NaN,NaN,NaN,0.162736984599926,0.211889937738502,0.00542748329959175,0.16247543154304,0.210774205279646,0.00720734719561199,0.903153022951738,0.0354712940146185
1968,NaN,NaN,NaN,0.167550109297979,0.213128745570254,0.00580929129080476,0.164679846733787,0.214137421657377,0.00729725481784025,0.904759843531299,0.0359012123043342
1969,NaN,NaN,NaN,0.170714574012212,0.217025286822254,0.00607313616980898,0.166657906990111,0.21744305894027,0.00751850066173659,0.906324094222681,0.0361670471870707
1970,NaN,NaN,NaN,0.174180596542891,0.220332986866606,0.0058599648807458,0.168261928860206,0.220661728249294,0.00786037928686695,0.907806457881241,0.0362582058484983
1971,NaN,NaN,NaN,0.176505169480857,0.22189561127471,0.00725570977160928,0.169386342694176,0.223758975880598,0.00829657946845241,0.909153624407058,0.0361821268590434
1972,NaN,NaN,NaN,0.177123457375151,0.223761304679999,0.0112388029240265,0.169984249152796,0.226694294086133,0.00878313359819001,0.910289205407026,0.0359681693673525
1973,NaN,NaN,NaN,0.173352370866746,0.229987757640524,0.0106105246689205,0.170078670080433,0.229409136078773,0.00926983126665282,0.911075953163505,0.0356678713318984
1974,NaN,NaN,NaN,0.166540347154818,0.236200340089467,0.0101608350944555,0.169758198635361,0.2318230414339,0.0097235033119034,0.911372481143326,0.0353459069776689
1975,NaN,NaN,NaN,0.16825461666927,0.237521170234053,0.0113585541290566,0.169140074709674,0.233861877665445,0.0101248791826398,0.911167844299292,0.0350460386227626
1976,NaN,NaN,NaN,0.165706437427828,0.237792527657074,0.0124712504471798,0.168323889772606,0.235488123581532,0.0104619672761777,0.910587885251705,0.0347728290314666
1977,NaN,NaN,NaN,0.165235123071424,0.238259410555448,0.0098908266298261,0.167393448869173,0.236700148348883,0.0107352024456227,0.909774850221444,0.0345313396127702
1978,NaN,NaN,NaN,0.164547851964893,0.238053327354967,0.00991766805668637,0.166409806887461,0.237520624452531,0.0109592054562264,0.908844642796409,0.0343187670557326
1979,NaN,NaN,NaN,0.162616466696397,0.238944224790626,0.00953394174487343,0.16541194344542,0.237987500734082,0.0111445402424459,0.907878052738566,0.0341275379957605
1980,NaN,NaN,NaN,0.164043378176462,0.242787318569087,0.0104593518146614,0.164417960009091,0.238146548927184,0.011290624065487,0.906918940775716,0.0339447866288312
1981,NaN,NaN,NaN,0.162067150931564,0.241559813996739,0.012089063384408,0.163423368071864,0.238058692901461,0.0113828755272274,0.906032383601355,0.0337492279215942
1982,NaN,NaN,NaN,0.160605024974952,0.237839856519815,0.0131890414117644,0.162414167306899,0.237823612290377,0.0113995928597746,0.905384726833493,0.0335269282313657
1983,NaN,NaN,NaN,0.162092992667476,0.234632992929994,0.0130556692494144,0.16136354830869,0.237572403391118,0.0113254428604378,0.905137273788061,0.0332597281092979
1984,NaN,NaN,NaN,0.161497226519149,0.233504472502831,0.0124643251877221,0.160231463722052,0.237437217530419,0.0111612441926104,0.905354785427624,0.032929007569041
1985,NaN,NaN,NaN,0.159422700532832,0.234116072891302,0.0107084939876592,0.158981863494663,0.237523818589492,0.0109246731545396,0.906002398913893,0.0325335174132003
1986,NaN,NaN,NaN,0.158646755934933,0.236470568454612,0.0101170154404986,0.157589191400103,0.237900801869965,0.0106447299017158,0.906996161179111,0.0320811949822564
1987,NaN,NaN,NaN,0.159056523617525,0.238491123680954,0.00974281993643134,0.156034771137009,0.238604786307754,0.0103502641685292,0.908254226885791,0.0315784191176709
1988,NaN,NaN,NaN,0.157248738341629,0.240236547912825,0.00835845555016923,0.154312877326003,0.239656831340479,0.0100651854852555,0.909742948411574,0.031038248149445
1989,NaN,NaN,NaN,0.152163357651654,0.240240191755746,0.0085197657581213,0.152444856027893,0.24107579915433,0.0098055511577182,0.911468615411547,0.0304893600016039
