Year,N_y_MM,N_m_MM,N_o_MM,psi_y_MM,psi_o_MM,n_m_MM,psi_y_MM_s,psi_o_MM_s,n_m_MM_s,gamma_MM_path,phi_MM_path
1950,52825.936,313307.8955,51175.017,0.168607101061709,0.163337782848821,NaN,0.166549374871048,0.162638502262155,0.0119792652901969,0.858264126179393,0.0353050141197064
1951,52718.843,316826.917,52296.3055,0.166396351355463,0.165062697308638,0.0112318315323143,0.164650775089138,0.164539360973306,0.0117475619011955,0.869857354401146,0.0333455203647388
1952,52529.553,320364.898,53465.0985,0.163967879527176,0.166888129235682,0.0111669205176783,0.162775899100848,0.166448164162328,0.011515858512194,0.871311015324135,0.0329297832527778
1953,52310.3325,324099.6045,54704.204,0.161402025098738,0.168788246700869,0.011657664504805,0.160962232123184,0.168377121139439,0.0112783582878259,0.87280108717476,0.0325569025671993
1954,52167.6285,327856.0455,55944.056,0.159117482248776,0.170636036052597,0.0115903905708097,0.159258965250169,0.170342977110803,0.0110275532045745,0.874355389601881,0.0322454162642235
1955,52158.649,331619.959,57172.9515,0.157284408204152,0.172405037599079,0.0114803846128866,0.157720019658867,0.172366479852042,0.0107588495894948,0.876002917255448,0.0320097334274938
1956,52221.945,335253.2575,58338.0015,0.155768643053379,0.174011736485513,0.0109562117761433,0.156398370818456,0.174471107642277,0.010473297188338,0.87777156865573,0.0318603617087158
1957,52295.6215,338689.4015,59570.9155,0.154405839888674,0.175886565201539,0.0102493978004077,0.15534276245302,0.176680318421861,0.0101785650937363,0.879679579144883,0.0318052322177242
1958,52487.759,341953.448,60939.4995,0.153493872651344,0.178209928446167,0.00963728562377186,0.154595387032302,0.179013205349833,0.00988690830081605,0.881722955263175,0.031849647485203
1959,52912.322,345086.16,62397.7945,0.153330756585544,0.180818015129903,0.00916122360608607,0.154189213234118,0.181481390775567,0.00961145153995158,0.883877198105021,0.0319948857592594
1960,53469.297,348283.831,63924.7035,0.153522191502482,0.183541978725966,0.00926629743713847,0.154146769607099,0.184088634697459,0.00936299986822545,0.886108795357121,0.0322386752033236
1961,54005.5915,351574.025,65554.35,0.153610869005468,0.186459594106817,0.00944687552836765,0.154481897967419,0.18683195732357,0.00914874346587914,0.888383116323963,0.0325777975363656
1962,54619.366,354873.6035,67163.3055,0.153912168899877,0.189259795142808,0.00938516006693035,0.155201322626151,0.189702954008854,0.00897496526467645,0.890669529000842,0.0330087307318171
1963,55599.7905,357973.633,68684.389,0.15531811668375,0.191869966579354,0.00873558774004435,0.156302680608714,0.192689046256906,0.00885048358463227,0.892945702310122,0.0335249768167549
