Time,n_A,psi_o_A,psi_y_A,n_y_A,n_m_A,n_o_A,mu_o_A,mu_m_A,mu_y_A,s_o_A,s_m_A,s_y_A,h_m_A,h_y_A,a_A,a_o_A,a_m_A,a_y_A,z_o_A,z_m_A,z_y_A,c_o_A,c_m_A,c_y_A,y_A,k_A,w_A,inv_A,b_A,gov_A,e_A,t_A,f_A,nx_A,tilde_R_A,g_A,q_A,tilde_s_m_A,tilde_s_y_A,tilde_s_o_A,Omega_m_A,Omega_y_A,eta_o_A,eta_m_A,eta_y_A,walras_A,gamma_A,phi_A,R_star,fy_target_A,alpha,delta,beta,sigma,b_y,g_y,repl,x,omega,nu,Lambda_A,w_indiv_A,t_indiv_A,e_indiv_A,c_y_indiv_A,c_m_indiv_A,c_o_indiv_A,a_y_indiv_A,a_m_indiv_A,a_o_indiv_A
0,0.0151473707256848,0.224588712641349,0.200736853628425,0.0151473707256848,0.0151473707256848,0.0151473707256848,0.092957895125511,0.0420134451497072,0.0353624695562488,0.580495437994831,2.14957166733253,0.39712634612665,3.0352258416788,0.560748062738874,3.22996808419071,0.830876781192095,2.55123097724839,-0.152139674249772,1.48169985584395,7.65979960196637,0.83527201584734,0.137735699807026,0.321814570434963,0.0295372812315882,1.11992548840025,2.95287685280335,0.75035007722817,0.347967056328846,0.671955293040152,0.279981372100063,0.0674080631500048,0.352306622499858,-0.394864061652792,0.00288950849776739,1.02768882458235,1.02022310757931,1.00731772976673,0.701594094475625,0.140835791049321,0.157570114475054,1.09738719463776,1.08230684844905,0.257239935360004,0.789862596393925,-0.0471025317539295,-3.52148865623292e-16,0.903832782801923,0.0431880062659022,1.02768882458235,-0.352580654465532,0.67,0.1,1.035,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.06949314872581,0.502151636215202,0.427797259490324,0.209728514403304,0.458690534839078,0.874123245171802,-1.08026285872525,3.63633473733155,5.27306071941477
1,0.0155866455234307,0.224919118022668,0.201023215445545,0.0165955325378835,0.0151473707256848,0.0166408124493351,0.0913267094315443,0.0414379783757069,0.0349166865894625,0.590278575145928,2.18707922253914,0.405208652214466,3.05840313685517,0.566503695079821,3.23172698305853,0.832110363416526,2.55181512511721,-0.152198505475203,1.4910869738424,7.71939685422818,0.849163829839553,0.136176067202213,0.319876203028835,0.0296499880204698,1.1194410836037,2.95408342607433,0.750025526014482,0.350300339200666,0.671664650162223,0.279860270900926,0.0674780319222661,0.352248692702302,-0.394021093178023,0.00355769084333776,1.02768173030225,1.02066457875105,1.00687508090052,0.701290631836264,0.140975697773564,0.157733670390172,1.09643349806915,1.08168327665157,0.257481639932668,0.789613460073435,-0.0470951000061025,2.05244072581618e-05,0.905326224525573,0.0434787057116278,1.02768882458235,-0.352651599783064,0.67,0.1,1.035,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.06949314872581,0.502286322833049,0.427797259490326,0.210319852916024,0.456125019367888,0.863329096859063,-1.07960810181387,3.63874121408912,5.27541368534826
2,0.0157993232245011,0.225438053486518,0.201339559435646,0.016802239102347,0.0152046430891088,0.0175469326063169,0.0901253144351535,0.0410034203122782,0.034576022150482,0.598558179219748,2.21727254239852,0.411984430029066,3.07607863509291,0.57123682288778,3.23472099604805,0.834128054559069,2.55290192593985,-0.152308984450868,1.50028858473443,7.76690899569647,0.860670842816035,0.135213980603154,0.318469834948846,0.0297585743500573,1.11907549003254,2.95693375783543,0.749780578321805,0.352632116987607,0.671445294019527,0.279768872508136,0.0676116296475455,0.351966635638149,-0.393658055806905,0.00292473595189984,1.02751548365841,1.02087831984062,1.00650142498748,0.700880074752444,0.14111488546788,0.158005039779676,1.09577955462374,1.08126786076569,0.257867078979262,0.78921858455499,-0.0470856635342527,0.000307374682845427,0.906395865414775,0.0435822832201476,1.02760386145065,-0.352864365721198,0.67,0.1,1.035,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.06977014375339,0.502178116224043,0.427908057501354,0.210881894219663,0.45438563089603,0.855757390977512,-1.0793261387406,3.64242331591685,5.27912309456828
3,0.0158432476742568,0.226036348753291,0.201549795800156,0.0163280425211521,0.0152679118871293,0.0179623548917329,0.0893394713701069,0.0407101970422425,0.0343427811351834,0.604967871982002,2.23927612019147,0.416954237457475,3.08817021122024,0.574551006850555,3.23847695801428,0.836584074520752,2.55434289847278,-0.152450014979251,1.50853799098008,7.80145032832325,0.868895517861446,0.134771986504505,0.317598579837674,0.029840288532666,1.11899090964559,2.96095805481641,0.749723909462547,0.354256296239344,0.671394545787355,0.279747727411398,0.0677859420271828,0.351786428063638,-0.393875642589489,0.00224598732609945,1.0273115574723,1.02092246391263,1.00625815748552,0.700483122377741,0.141182230276689,0.158334647345569,1.09539830048626,1.08103828086576,0.258326393979176,0.788748208349907,-0.0470746023290833,0.000530043793905357,0.907067146148746,0.0435553927747845,1.02745624912007,-0.35321874230564,0.67,0.1,1.035,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.07029546538917,0.502205430545598,0.42811818615567,0.211360087414577,0.453399332106115,0.851184429712102,-1.07981021889567,3.64654453029823,5.28364504260957
4,0.0157579742843718,0.226629897130591,0.201586183314145,0.015493261778603,0.0153099591600312,0.0179760594666418,0.0889410791760131,0.0405518230126217,0.0342131644096674,0.609307520147789,2.25290073994023,0.419903282126034,3.09496241086754,0.576287338987902,3.24250573842801,0.83916837042798,2.55592954153612,-0.152592173536091,1.51526934135962,7.82293576582443,0.873483067315105,0.134769690181218,0.317234306221819,0.02988461973726,1.11919339650213,2.96568481572774,0.749859575656426,0.355216283534397,0.671516037901277,0.279798349125532,0.0679762393973619,0.351768342915142,-0.394695115200999,0.00159474920813624,1.02709388219975,1.02083676415579,1.00612940115762,0.700174163904251,0.141145437356631,0.158680398739118,1.09526078432876,1.08097279523755,0.258802431871745,0.788257522931319,-0.0470599548030647,0.000695398493766719,0.907374379082544,0.0434326229077869,1.02726599028529,-0.353714379809487,0.67,0.1,1.035,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.07096150402797,0.502401203942805,0.42838460161119,0.211729265195805,0.453079137414731,0.849315298247949,-1.08109887498905,3.65041967170564,5.28841858916445
5,0.0155474717451149,0.227146432097903,0.20139351308086,0.0143468258656663,0.0153172366628291,0.0176313481824928,0.0889323326855534,0.0405303674624104,0.034189164811962,0.6112995573321,2.25778564764659,0.420631815490506,3.09636579456358,0.576251281580188,3.24640053082209,0.841596320799489,2.55750981996344,-0.152705609940835,1.51990305151432,7.83075634682836,0.874060899332973,0.135168523615547,0.317383432103279,0.0298834122031137,1.11968915400562,2.97070413452827,0.750191733183765,0.355526388234331,0.671813492403371,0.279922288501405,0.0681613502328136,0.351903385735228,-0.396117096109548,0.000997975175675733,1.02688286999033,1.02062520910384,1.0061312035316,0.700015427202397,0.140978566095089,0.159006006702514,1.09536446592992,1.08106974134282,0.25923982972336,0.787798608223068,-0.0470384379464281,0.00080713417226818,0.907319335881688,0.0432093585317614,1.02705177286107,-0.354350789098359,0.67,0.1,1.035,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.0716788573959,0.502708043366423,0.428671542958359,0.211971316142891,0.453394910697466,0.850084386236019,-1.08318316869414,3.65350493800472,5.29285866774859
6,0.0152036612430171,0.227514744658183,0.20091961414433,0.0128896510022909,0.0152787026161718,0.016924952988254,0.0893581416714767,0.0406623436742107,0.034283774855835,0.610467535060139,2.252732878024,0.418788933092977,3.09173955023624,0.574147585347659,3.24977826984021,0.843573702668846,2.55896431791145,-0.152759750740086,1.52169618258929,7.82299250506462,0.870003781554288,0.135975942992154,0.31810120981172,0.029827013853739,1.12049484041085,2.97562957162394,0.750731543075268,0.35513856835641,0.672296904246508,0.280123710102712,0.0683209981318451,0.352186092156483,-0.398148206030243,0.000459929406493783,1.02669585504746,1.02027967954923,1.00628864381683,0.700067170631713,0.140657225798437,0.15927560356985,1.0957322937439,1.08134392364257,0.259578848965129,0.787427358244509,-0.0470062072096378,0.000868465887617819,0.906863792136629,0.0428745947139095,1.02683108119287,-0.355127342113125,0.67,0.1,1.035,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.07237073036554,0.503074714728708,0.428948292146216,0.212054614929499,0.454386697671708,0.853714818493981,-1.08604268193795,3.65531255465435,5.29631458780751
7,0.0147301084600086,0.227672931254249,0.200122879180409,0.0111582704326456,0.0151839228288659,0.0158897605510537,0.0902216343145753,0.0409484779216569,0.0344974510062853,0.606678774112546,2.2378728350866,0.414331203553893,3.08117459187297,0.569881645708429,3.25232120976443,0.844829660463912,2.56021672041959,-0.152725171119069,1.52022906657924,7.79978537448687,0.861196771581667,0.137157550898103,0.319389339144535,0.0297090934384127,1.12161615464046,2.98013099042055,0.751482823609105,0.354070249987949,0.672969692784273,0.280404038660114,0.0684369188953219,0.35261471157228,-0.40077947344039,2.06754941070875e-06,1.02654869681641,1.01980375900231,1.00661395661132,0.700380259342247,0.140162114020692,0.15945762663706,1.09636287654026,1.08179384922048,0.259762060994345,0.787196760496242,-0.046958821490587,0.000883814961932099,0.906006772362486,0.0424258382187112,1.02661975120605,-0.356043272489712,0.67,0.1,1.035,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.07296402716269,0.503461807880526,0.429185610865075,0.211962366906272,0.456022760328061,0.860150459973205,-1.08963233171927,3.65546670721985,5.29814520811111
8,0.0141443294659475,0.227576981998667,0.198980619914397,0.00923102923247665,0.0150245758360819,0.0145968093382718,0.0914781475055402,0.041371779618498,0.0348166881076789,0.600194776503401,2.21473951110884,0.40755398250128,3.0655632274117,0.563595798191558,3.25382273211301,0.845151093282311,2.56124761583538,-0.152575977004678,1.51548453009111,7.76348051685297,0.848101903205425,0.138633717368769,0.321189005220776,0.0295280995172651,1.12304227293731,2.98397100677671,0.752438322868,0.352418530732674,0.673825363762388,0.280760568234328,0.0684950570633752,0.353179480144264,-0.403973638426082,-0.000347772549529291,1.02645366038488,1.01921505111328,1.00710214126419,0.700988168062029,0.13948306023364,0.159528771704331,1.09722676728736,1.08239921596862,0.259740976341177,0.787150323386589,-0.0468912997277657,0.000860124413030331,0.904790167581278,0.0418719159838836,1.02643110548276,-0.357097676315421,0.67,0.1,1.035,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.07339660945806,0.503830872239505,0.429358643783225,0.211696671035209,0.458194617048592,0.869020151585643,-1.09386743271267,3.65376725675167,5.29779728291712
9,0.013475891553774,0.227207608056148,0.197494066776075,0.007214740612417,0.0147961239828793,0.0131490362946731,0.0930383532682559,0.0418991867723883,0.0352154516722903,0.591623799925798,2.185989146166,0.399035298374818,3.0464655740933,0.555649230672898,3.2542204554946,0.844412034128662,2.56210081659252,-0.152292395226583,1.5078347485519,7.71822541170628,0.831680125527922,0.140286462103292,0.323387369239023,0.02928799170679,1.12474469034925,2.98703494281336,0.753578942533997,0.350353730996097,0.67484681420955,0.281186172587312,0.0684875476058523,0.353861448149439,-0.407661301528314,-0.000564642114870391,1.02641737889714,1.01854327101154,1.00773075441143,0.70190132970663,0.138621348079297,0.159477322214073,1.09826870933881,1.0831226773316,0.259482123496953,0.787316302513707,-0.046798426010661,0.000807605831606323,0.903296098706519,0.0412317175424597,1.02627486344642,-0.358289513020976,0.67,0.1,1.035,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.07362518154648,0.504146997837061,0.429450072618593,0.211280528667461,0.460730526574422,0.87966401840495,-1.09862151347327,3.65022932448837,5.29487216367462
