Time,n_A,psi_o_A,psi_y_A,n_y_A,n_m_A,n_o_A,mu_o_A,mu_m_A,mu_y_A,s_o_A,s_m_A,s_y_A,h_m_A,h_y_A,a_A,a_o_A,a_m_A,a_y_A,z_o_A,z_m_A,z_y_A,c_o_A,c_m_A,c_y_A,y_A,k_A,w_A,inv_A,b_A,gov_A,e_A,t_A,f_A,nx_A,tilde_R_A,g_A,q_A,tilde_s_m_A,tilde_s_y_A,tilde_s_o_A,Omega_m_A,Omega_y_A,eta_o_A,eta_m_A,eta_y_A,walras_A,gamma_A,phi_A,R_star,fy_target_A,alpha,delta,beta,sigma,b_y,g_y,repl,x,omega,nu,Lambda_A,w_indiv_A,t_indiv_A,e_indiv_A,c_y_indiv_A,c_m_indiv_A,c_o_indiv_A,a_y_indiv_A,a_m_indiv_A,a_o_indiv_A
0,0.0151473707256848,0.224588712641349,0.200736853628425,0.0151473707256848,0.0151473707256848,0.0151473707256848,0.0862372794109845,0.0442579304067375,0.0366631083086108,0.6242267096354,2.56097173910561,0.489027674383645,2.01556665222533,0.384880417636789,3.49853433796867,0.911652673966956,2.72714669330648,-0.14026502930477,1.60520795025978,7.21054097077941,0.761564380066004,0.138428766519287,0.319123620479685,0.0279213173503399,1.14803884672721,3.18327373964209,0.769186027307231,0.375117029218672,0.688823308036326,0.287009711681803,0.069100199861858,0.356918292969533,-0.373562709709745,0.000438401477425141,1.02142040941389,1.02022310757931,1.00117356862993,0.701594094475625,0.140835791049321,0.157570114475054,1.20600417391567,1.17460139888739,0.260581313744167,0.779511198077858,-0.0400925118220252,-3.97793777084932e-16,0.903832782801923,0.0431880062659022,1.02142040941389,-0.325392046423067,0.67,0.1,1.025,0.7,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.09634050993848,0.508724768038841,0.438536203975391,0.198254414892034,0.454855055070267,0.878521710671235,-0.995947324609048,3.88707190493781,5.78569532048723
1,0.0155866455234307,0.224919118022668,0.201023215445545,0.0165955325378835,0.0151473707256848,0.0166408124493351,0.0846472464994951,0.0435816548078468,0.0361517941810758,0.63529474676573,2.60598114829905,0.498886294979005,2.03345080796408,0.389204959128185,3.50052013580357,0.912950705583727,2.72791088119428,-0.140341450974441,1.61585085301115,7.27229302045684,0.775796229296035,0.136777325713702,0.316938566380489,0.0280464261632867,1.14754228197381,3.18465078469286,0.76885332892245,0.37770869487956,0.688525369184283,0.286885570493451,0.069171925052012,0.356864945541386,-0.372656018073579,0.00118300975913618,1.02141954736342,1.02066457875105,1.00073968336718,0.701290631836264,0.140975697773564,0.157733670390172,1.2035443029771,1.17291472250236,0.26080430054929,0.779287298846516,-0.0400915993958069,2.68858418074755e-06,0.905326224525573,0.0434787057116278,1.02142040941389,-0.325400666964975,0.67,0.1,1.025,0.7,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.09634050993848,0.50886883317829,0.438536203975393,0.198945113279986,0.451936118910664,0.867140955861661,-0.995501020323795,3.8898436074235,5.78792532580671
2,0.0157993232245011,0.225438053486518,0.201339559435646,0.016802239102347,0.0152046430891088,0.0175469326063169,0.0834920392438672,0.043085414908484,0.0357742789405525,0.644549299651977,2.64109842742671,0.506895207000307,2.04684235785358,0.392639058162104,3.5038636598824,0.915072556052604,2.72926979519315,-0.140478691363357,1.62607690812563,7.32060251229311,0.787217720316462,0.135764477087611,0.315411197378944,0.0281621465174078,1.14717658451561,3.18766388928575,0.76860831162546,0.380095493993509,0.688305950709367,0.286794146128903,0.0693094246665612,0.35658904606619,-0.372106180112717,0.000693837979663968,1.02127280292991,1.02087831984062,1.00038641538528,0.700880074752444,0.14111488546788,0.158005039779676,1.20180674772325,1.17173030142737,0.261161005360001,0.778931505362307,-0.0400925107223086,0.000255285429572802,0.906395865414775,0.0435822832201476,1.02134115816149,-0.325426520083265,0.67,0.1,1.025,0.7,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.09663313213311,0.508773267940511,0.438653252853244,0.199568928706802,0.450021635285251,0.859241434810703,-0.995491658428425,3.89406104340625,5.79141372533806
3,0.0158432476742568,0.226036348753291,0.201549795800156,0.0163280425211521,0.0152679118871293,0.0179623548917329,0.0827517273062306,0.042763794077102,0.0355278457767669,0.651594773820529,2.66563299908608,0.512529156077371,2.05561184940053,0.394931326688829,3.50799534416533,0.917653870043821,2.73099015858039,-0.14064868445888,1.63506544913744,7.35463265245247,0.795058514568952,0.135304490041668,0.314511996116891,0.0282467162616323,1.14708279125451,3.1917469325553,0.768545470140521,0.381643715350851,0.688249674752705,0.286770697813627,0.0694876847685779,0.356431119409096,-0.372001263142678,0.000167877067229245,1.0210952032569,1.02092246391263,1.00016919927847,0.700483122377741,0.141182230276689,0.158334647345569,1.20074049296327,1.17101190422265,0.261589249708473,0.778504499176303,-0.0400937488847758,0.00043729860261018,0.907067146148746,0.0435553927747845,1.02120540462067,-0.32546958026403,0.67,0.1,1.025,0.7,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.09716486463192,0.508836127556101,0.438865945852769,0.200072744326778,0.448992967952321,0.854547582035931,-0.996220871303966,3.89872371130118,5.79566055457854
4,0.0157579742843718,0.226629897130591,0.201586183314145,0.015493261778603,0.0153099591600312,0.0179760594666418,0.0823946619353563,0.042605193859944,0.0354045627225399,0.656225965285267,2.6796187994861,0.515587067560305,2.06001552563575,0.395995591136627,3.51236480345099,0.920369847409412,2.73281221177471,-0.140817255733131,1.64222550756136,7.37440949962964,0.799055617628349,0.13531061532798,0.31418814593797,0.0282902146645491,1.14726008284458,3.19636685061094,0.768664255505872,0.382427991663867,0.688356049706751,0.286815020711146,0.0696809204613034,0.356439072300983,-0.372358096866694,-0.00033007551993921,1.0209101933647,1.02083676415579,1.00007193041188,0.700174163904251,0.141145437356631,0.158680398739118,1.20028301165765,1.1707157451553,0.262037088664865,0.778054776379744,-0.0400918650446098,0.000558170059011886,0.907374379082544,0.0434326229077869,1.02103289679982,-0.32552980501207,0.67,0.1,1.025,0.7,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.09781865017657,0.509072014759069,0.439127460070627,0.200433079484309,0.448728562313727,0.852724195320683,-0.997674869059562,3.90304634569239,5.80014831524696
5,0.0155474717451149,0.227146432097903,0.20139351308086,0.0143468258656663,0.0153172366628291,0.0176313481824928,0.0824211262827442,0.0426105464853267,0.0354054688391722,0.658143343440999,2.68269035640167,0.515840419169659,2.06002017813311,0.395704475946821,3.51651971385152,0.922922929732571,2.73454760882493,-0.140950824705985,1.64694182804376,7.37932785527203,0.798878746963332,0.135742800265345,0.314437192327091,0.0282846765528367,1.14771196025308,3.20107129858333,0.768967013369562,0.382475265593165,0.688627176151847,0.286927990063269,0.0698672453951505,0.356599532954791,-0.373178760883657,-0.000779864324254094,1.02073704014835,1.02062520910384,1.0001095711173,0.700015427202397,0.140978566095089,0.159006006702514,1.20042987881179,1.17083937765378,0.262453506546552,0.777628971627995,-0.0400824781745467,0.000623899775625017,0.907319335881688,0.0432093585317614,1.02084140588532,-0.325607134892831,0.67,0.1,1.025,0.7,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.09850009512323,0.509416677258009,0.439400038049293,0.200631041556762,0.449186089489106,0.853696052623397,-0.999803222646727,3.90641049119949,5.80432745197658
6,0.0152036612430171,0.227514744658183,0.20091961414433,0.0128896510022909,0.0152787026161718,0.016924952988254,0.0828734417001356,0.0427981626153115,0.0355445378679993,0.656826245758096,2.6734971745845,0.51288185333013,2.05517154092344,0.393855015612154,3.5200370515819,0.925005882474391,2.7360466311452,-0.141015462037694,1.64841625922519,7.36746985437433,0.793941697633255,0.13660992872018,0.315314172782493,0.0282202907286649,1.14845431411689,3.20543986826767,0.769464390458316,0.381739439383477,0.689072588470134,0.287113578529222,0.0700257977274752,0.356904725397009,-0.374475405155908,-0.00118242905872791,1.02059194668142,1.02027967954923,1.00030606032683,0.700067170631713,0.140657225798437,0.15927560356985,1.20124249304954,1.17142474769917,0.262782996008551,0.777277793116178,-0.0400607891247291,0.000639333031579931,0.906863792136629,0.0428745947139095,1.02064706193866,-0.325701493591057,0.67,0.1,1.025,0.7,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.09912937320569,0.509814972576064,0.439651749282277,0.200631645963961,0.450405598219906,0.857695250611747,-1.00254687405658,3.90826301521367,5.80758045640511
7,0.0147301084600086,0.227672931254249,0.200122879180409,0.0111582704326456,0.0151839228288659,0.0158897605510537,0.0837537101887878,0.0431683690247843,0.0358217952717641,0.652147740359971,2.65227962724679,0.506678656743688,2.04558349625241,0.390395913073512,3.52256689127274,0.926335884264369,2.73721023022623,-0.140979223217859,1.646223082799,7.33908112709034,0.78418630798525,0.137877290972106,0.316816162399002,0.0280909613859079,1.14949251934347,3.20911816926171,0.770159987960127,0.380244617880363,0.689695511606084,0.287373129835868,0.0701378327974477,0.35735159892603,-0.376246789595048,-0.00151946380295857,1.02048981103192,1.01980375900231,1.00067272945756,0.700380259342247,0.140162114020692,0.15945762663706,1.2027201123829,1.17246972011492,0.262971836406827,0.77704989421374,-0.0400217306205672,0.000609820673184197,0.906006772362486,0.0424258382187112,1.02046418172238,-0.325812787986103,0.67,0.1,1.025,0.7,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.09963120417388,0.510225115798712,0.439852481669551,0.200417649107096,0.452348789351281,0.864664136046168,-1.00582974367129,3.9081772989959,5.80929180874359
8,0.0141443294659475,0.227576981998667,0.198980619914397,0.00923102923247665,0.0150245758360819,0.0145968093382718,0.0850179098881291,0.043701140629655,0.0362215916689837,0.64442802313877,2.62095246457308,0.497609595239774,2.03198944884442,0.38545237448236,3.52388129269608,0.926690154291598,2.73800611073575,-0.140814972331272,1.64039190155911,7.29670541263028,0.770142795430503,0.139462690874053,0.318874349752213,0.0278957980396399,1.15081554973875,3.21185583703352,0.77104641832496,0.378100243274599,0.690489329843248,0.287703887434687,0.0701889667453105,0.357929457049777,-0.378463874180692,-0.00176406833391825,1.02044222698541,1.01921505111328,1.00120404017856,0.700988168062029,0.13948306023364,0.159528771704331,1.20479055726796,1.17392181412587,0.262974282421839,0.776985909372703,-0.0399601917945418,0.000542648697473252,0.904790167581278,0.0418719159838836,1.02030466711669,-0.325940908243839,0.67,0.1,1.025,0.7,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.09994212948931,0.510606987902975,0.439976851795725,0.199994164115078,0.454892627694104,0.874216540277337,-1.00954891651646,3.90592343135451,5.8089217662198
9,0.013475891553774,0.227207608056148,0.197494066776075,0.007214740612417,0.0147961239828793,0.0131490362946731,0.0865788285373227,0.0443578394165536,0.0367141144709694,0.634375068683556,2.58275364540305,0.486393581110702,2.01563046509404,0.379307620153128,3.52391015618599,0.9259365474414,2.73847685676495,-0.140503248020357,1.63138370844709,7.24473617456913,0.752837724213868,0.141243290486005,0.321360845131394,0.0276397709703963,1.15239463682467,3.21353772157115,0.772104406672529,0.375494080617759,0.691436782094802,0.288098659206168,0.0701711981638705,0.358618768848227,-0.381064347479958,-0.00188992381167677,1.02045554176888,1.01854327101154,1.00187745657132,0.70190132970663,0.138621348079297,0.159477322214073,1.20731526140568,1.17568260190204,0.262758273164328,0.777113131548276,-0.0398714047126034,0.000447914224624964,0.903296098706519,0.0412317175424597,1.02017714795788,-0.326085727925039,0.67,0.1,1.025,0.7,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.10001844133169,0.510924760604338,0.440007376532677,0.199390435552432,0.457843334284196,0.885663795485658,-1.01357583061437,3.9015125643223,5.806070321387
