Time,n_A,psi_o_A,psi_y_A,n_y_A,n_m_A,n_o_A,mu_o_A,mu_m_A,mu_y_A,s_o_A,s_m_A,s_y_A,h_m_A,h_y_A,a_A,a_o_A,a_m_A,a_y_A,z_o_A,z_m_A,z_y_A,c_o_A,c_m_A,c_y_A,y_A,k_A,w_A,inv_A,b_A,gov_A,e_A,t_A,f_A,nx_A,tilde_R_A,g_A,q_A,tilde_s_m_A,tilde_s_y_A,tilde_s_o_A,Omega_m_A,Omega_y_A,eta_o_A,eta_m_A,eta_y_A,walras_A,gamma_A,phi_A,R_star,fy_target_A,alpha,delta,beta,sigma,b_y,g_y,repl,x,omega,nu,Lambda_A,w_indiv_A,t_indiv_A,e_indiv_A,c_y_indiv_A,c_m_indiv_A,c_o_indiv_A,a_y_indiv_A,a_m_indiv_A,a_o_indiv_A
0,0.0151473707256848,0.224588712641349,0.200736853628425,0.0151473707256848,0.0151473707256848,0.0151473707256848,0.127208585610296,0.0633592159276154,0.0567699002175982,0.389555123813344,0.90398350669648,0.141724923386012,2.56545563985035,0.402207563871054,2.1423896590131,0.56899240212821,1.72109289810096,-0.147695641216074,1.03105243906771,5.19736595619455,0.420085031353858,0.131158722463849,0.329301031873368,0.0238481853128651,0.974481286057395,1.93716976633688,0.652902461658455,0.228276116750871,0.584688771634437,0.243620321514349,0.0586538093376962,0.330435341331844,-0.379468878958217,0.0182769081420932,1.06936158784905,1.02022310757931,1.04816444550676,0.701594094475625,0.140835791049321,0.157570114475054,1.04805375029796,1.03681095291973,0.265587728046782,0.803351944339477,-0.0689396723862598,-1.00613961606655e-16,0.903832782801923,0.0431880062659022,1.06936158784905,-0.389406019784629,0.67,0.1,1.025,0.35,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.930598570882267,0.470977939999357,0.372239428352907,0.169333271998404,0.469361179728129,0.832383240316894,-1.04870814524946,2.45311770958864,3.61104263980395
1,0.0155866455234307,0.224919118022668,0.201023215445545,0.0165955325378835,0.0151473707256848,0.0166408124493351,0.125633006778175,0.0628769712217124,0.0563909319160133,0.3943498016079,0.913386953620255,0.143561058658436,2.57854788467022,0.405195643796864,2.14334866211607,0.569838637916062,1.72126917576155,-0.147759151561538,1.03557631448766,5.21913221903482,0.42496152765187,0.130102566261745,0.328163227228958,0.0239639767581076,0.974059790686495,1.93750314882451,0.652620059759952,0.229348652235048,0.584435874411897,0.243514947671624,0.0587146912980438,0.330385037513788,-0.378590361120332,0.0189875211406717,1.06937270543164,1.02066457875105,1.04772197222735,0.701290631836264,0.140975697773564,0.157733670390172,1.04751372635942,1.03646782661942,0.265863715031527,0.803074742891995,-0.0689384579235224,-2.11006096591129e-05,0.905326224525573,0.0434787057116278,1.06936158784905,-0.389294850138297,0.67,0.1,1.025,0.35,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.93059857088227,0.471110011335394,0.372239428352908,0.169986580216107,0.46794183799332,0.824824312652599,-1.0481178947514,2.45443058501233,3.61266327288588
2,0.0157993232245011,0.225438053486518,0.201339559435646,0.016802239102347,0.0152046430891088,0.0175469326063169,0.124456746833562,0.062491833713108,0.0560795748078224,0.398523458790173,0.921496759820431,0.145234245140809,2.58898982680725,0.407833930794504,2.14503013321902,0.571232683371848,1.72167544011945,-0.147877990272271,1.04041666747692,5.23724669226691,0.429263076566119,0.129486873887953,0.327285149733857,0.0240728909030767,0.973665702178512,1.93873538655975,0.652356020459603,0.230644618000489,0.584199421307107,0.243416425544628,0.0588263485730497,0.330155536245522,-0.377904674647832,0.0186140585767268,1.06922262088696,1.02087831984062,1.04735559577157,0.700880074752444,0.14111488546788,0.158005039779676,1.04715065526772,1.03624696397368,0.26630520220878,0.802634617322301,-0.0689398195310807,0.000145685531781235,0.906395865414775,0.0435822832201476,1.06925150080918,-0.388961450910319,0.67,0.1,1.025,0.35,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.930766965646755,0.471058527897423,0.372306786258702,0.170590727004176,0.466963124682146,0.819511036284102,-1.04792623245923,2.45644797468034,3.61528141234216
3,0.0158432476742568,0.226036348753291,0.201549795800156,0.0163280425211521,0.0152679118871293,0.0179623548917329,0.123672112693509,0.0622126178540639,0.0558465999211995,0.401872720059033,0.927928691386554,0.146560625563377,2.59662233343042,0.409801620463076,2.14723663619886,0.572943157582727,1.7223233450491,-0.148029866432962,1.04509313833601,5.25131589698699,0.432485207972647,0.12924887638894,0.32669810913146,0.0241528283791566,0.97348653593997,1.94065089359527,0.65223597907978,0.231547695672985,0.584091921563982,0.243371633984993,0.0589716156946886,0.329979397069233,-0.377506178960392,0.0182061213934734,1.06903037665327,1.02092246391263,1.04712200430605,0.700483122377741,0.141182230276689,0.158334647345569,1.04694599602286,1.03613249077748,0.26682813991404,0.802111567956511,-0.0689397078705517,0.000261270988962798,0.907067146148746,0.0435553927747845,1.06905841861143,-0.388406151125481,0.67,0.1,1.025,0.35,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.931123046713546,0.471074015244138,0.372449218685418,0.171075554847248,0.466389694047882,0.816301918473036,-1.04850211066119,2.45876494383304,3.61855833317558
4,0.0157579742843718,0.226629897130591,0.201586183314145,0.015493261778603,0.0153099591600312,0.0179760594666418,0.12325689778352,0.0620400491544957,0.0556951130205092,0.404268762283197,0.93250759335773,0.147446809396621,2.60146973231393,0.410944645267471,2.14971428974292,0.574762871228332,1.72313601369741,-0.148184595182827,1.04922608687613,5.26118137943969,0.434400864745435,0.129324352475842,0.32640395139004,0.0241940052641699,0.973543008672358,1.9429987454637,0.65227381581048,0.232063299599219,0.584125805203415,0.243385752168089,0.0591298991112429,0.329937904491063,-0.377410260924195,0.017841175125086,1.06882276236017,1.02083676415579,1.04700653413875,0.700174163904251,0.141145437356631,0.158680398739118,1.04688123768844,1.03611016141895,0.267367098032104,0.801565129791793,-0.068932227823896,0.00033047264991067,0.907374379082544,0.0434326229077869,1.06880693336445,-0.38762949879763,0.67,0.1,1.025,0.35,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.931587952593575,0.471222620742376,0.37263518103743,0.171411883496022,0.466175372095958,0.814998912931019,-1.04987166399442,2.46101056355609,3.6221415864557
5,0.0155474717451149,0.227146432097903,0.20139351308086,0.0143468258656663,0.0153172366628291,0.0176313481824928,0.123216293094557,0.0619786071469988,0.0556294709653377,0.405547291324848,0.935119936583915,0.147829020172355,2.60343641598811,0.411119880354971,2.15225995725295,0.576502697015934,1.72406925268118,-0.148311992444156,1.05244499070644,5.2665946032488,0.434826051359641,0.129678370359166,0.326416198067186,0.0241891432764707,0.973850194113305,1.94555609676446,0.652479630055914,0.23219564346665,0.584310116467983,0.243462548528326,0.0592833679935041,0.330032429984328,-0.377606255979491,0.0175532141658832,1.06862414354837,1.02062520910384,1.04702895246598,0.700015427202397,0.140978566095089,0.159006006702514,1.04695441296191,1.03617862153916,0.267859230987029,0.801050656939058,-0.0689098879260873,0.000355076249622521,0.907319335881688,0.0432093585317614,1.06852064036456,-0.386632260388847,0.67,0.1,1.025,0.35,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.932093214950335,0.471464509437026,0.372837285980134,0.171580290156698,0.466298577692358,0.815556424870054,-1.05201802339315,2.46290179570956,3.62566615545865
6,0.0152036612430171,0.227514744658183,0.20091961414433,0.0128896510022909,0.0152787026161718,0.016924952988254,0.123596629648301,0.0620447140956828,0.0556632412299933,0.405443520650798,0.935419528940684,0.147606782955036,2.60210158671188,0.410133683790712,2.154689433671,0.577967374207973,1.72510344091294,-0.148381381449916,1.05430452603272,5.26679781733988,0.433488458047389,0.13030848599475,0.326776965036303,0.0241293727515571,0.974430117984924,1.94811521893374,0.652868179049899,0.231918648340834,0.584658070790954,0.243607529496231,0.0594148548207961,0.330264474787973,-0.378083856053692,0.017352270098016,1.06845540211116,1.02027967954923,1.04721815353924,0.700067170631713,0.140657225798437,0.15927560356985,1.04717792257137,1.03634551987616,0.268236974287827,0.800627419408577,-0.068864393696404,0.000336846267233155,0.906863792136629,0.0428745947139095,1.06822209922843,-0.385415420053042,0.67,0.1,1.025,0.35,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.932579338723707,0.471761123279007,0.373031735489483,0.171547338678034,0.466779444523062,0.818132112352051,-1.05491474474655,2.46419702748848,3.62872506054893
7,0.0147301084600086,0.227672931254249,0.200122879180409,0.0111582704326456,0.0151839228288659,0.0158897605510537,0.124403651746168,0.0622412613895455,0.0557990610745655,0.403849707900211,0.933369028408284,0.146744776460752,2.59745632281451,0.407896436790993,2.15685687313809,0.578977336513738,1.72624332020924,-0.148363783584896,1.05450199835667,5.26175632660176,0.430287042782714,0.13118389935914,0.327498351081339,0.0240096131158644,0.975295141892127,1.95049724925453,0.653447745067725,0.231241283032511,0.585177085135276,0.243823785473032,0.0595089454164193,0.330637049156106,-0.378817461251722,0.0172590530878486,1.06833526930244,1.01980375900231,1.04758906786891,0.700380259342247,0.140162114020692,0.15945762663706,1.04755036693631,1.03660956358935,0.268435677733834,0.80035135465506,-0.0687870323888942,0.000279156742392408,0.906006772362486,0.0424258382187112,1.06793196601123,-0.383980178664716,0.67,0.1,1.025,0.35,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.932989952745673,0.472082193559566,0.373195981098269,0.171298879755194,0.467600773598195,0.822688146849987,-1.05851559546963,2.46472298038557,3.63091655585431
8,0.0141443294659475,0.227576981998667,0.198980619914397,0.00923102923247665,0.0150245758360819,0.0145968093382718,0.125596456741707,0.0625558797448406,0.0560273303156414,0.400845926388257,0.92926525618736,0.145283257416728,2.58994863471878,0.404446730730234,2.15867687011111,0.579391482176992,1.72751980548221,-0.148234417548084,1.05292757424117,5.25222035735128,0.425325418387583,0.13224397251935,0.328557265096071,0.0238298477887055,0.976441884523558,1.95256927769221,0.654216062630784,0.230216843422696,0.585865130714135,0.244110471130889,0.0595538068434259,0.331145458497652,-0.379757538295228,0.0172954195070678,1.0682779757405,1.01921505111328,1.04813795143001,0.700988168062029,0.13948306023364,0.159528771704331,1.04805442875258,1.03695909972321,0.268401209184632,0.800267899936062,-0.0686691091206941,0.000188065058778606,0.904790167581278,0.0418719159838836,1.06766760045079,-0.382327952633841,0.67,0.1,1.025,0.35,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.933276897439578,0.472398071158812,0.373310758975831,0.170844027574313,0.468705864186566,0.828966280543106,-1.06274136299981,2.46440651096602,3.63189333176106
9,0.013475891553774,0.227207608056148,0.197494066776075,0.007214740612417,0.0147961239828793,0.0131490362946731,0.127090126177025,0.0629620314897676,0.0563271307171001,0.396689386882404,0.923697194468074,0.143332806658393,2.58042405252041,0.399948793532735,2.16014063546777,0.579126772302133,1.72898899790267,-0.14797513473704,1.04967689010118,5.23962429256117,0.41890201398995,0.133403568373483,0.329897389638252,0.0235955485358618,0.977849150962881,1.95426063465988,0.655158931145131,0.228941347853583,0.586709490577729,0.24446228774072,0.0595428374568429,0.3317755891769,-0.380829489769842,0.0174761656459543,1.06829095993932,1.01854327101154,1.04884199851261,0.70190132970663,0.138621348079297,0.159477322214073,1.04865829606891,1.03737320458564,0.268096790919196,0.800405755768907,-0.0685025466881037,7.28431750270209e-05,0.903296098706519,0.0412317175424597,1.06744143354297,-0.380460372508034,0.67,0.1,1.025,0.35,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.933406026483756,0.472681237568777,0.373362410593503,0.170215835171103,0.470005363540395,0.836504943282221,-1.06747724493627,2.46329352107842,3.63140516947449
10,0.0127644837014822,0.226579881684187,0.195686203939003,0.00521208017452635,0.0144988133552151,0.0116959685697162,0.128735720664892,0.0634124138904282,0.0566607710888364,0.391864525590708,0.917688887197649,0.141095714954473,2.5702690724554,0.394714160234841,2.16135253127915,0.578189372472651,1.73074066032618,-0.147577501519685,1.04512110596298,5.22637019605371,0.411551180964565,0.134544418696569,0.331416749892475,0.0233188072949362,0.979477477804968,1.95559901092389,0.656249910129329,0.22757223016098,0.587686486682981,0.244869369451242,0.0594772107969446,0.332504736311329,-0.381932966327726,0.0178079699294243,1.06837220059646,1.01782830611999,1.04965856635403,0.703103315271581,0.137587618742424,0.159309065985995,1.04931133430344,1.03781988091703,0.267512756066051,0.800767406185841,-0.0682801622518918,-5.20676206594899e-05,0.901664441835708,0.0405281682652452,1.06725834332918,-0.378379281363403,0.67,0.1,1.025,0.35,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.933361990870211,0.472910209764685,0.373344796348084,0.169483326392842,0.471362803579531,0.844549667426947,-1.07260742549781,2.46157374419101,3.62935636395911
11,0.0120518512247922,0.225760688579994,0.193580764427914,0.00322587057650714,0.0141372407878007,0.0104706564989259,0.130271770030556,0.0638217612902578,0.0569592204291233,0.387222008008622,0.913130058699983,0.138923818619009,2.56183698073769,0.3892417862079,2.16263589782922,0.576737919396003,1.73294502376223,-0.147047045329007,1.04008210539048,5.216700075467,0.404137941847224,0.135493336773387,0.332938986623571,0.023019382349322,0.981278786726708,1.95679724301625,0.657456787106894,0.226369405519251,0.588767272036025,0.245319696681677,0.0593711587875373,0.333305812750429,-0.382928617223054,0.0183033857995982,1.0685066893039,1.01711211048092,1.05052990549752,0.704552099060287,0.136387733915382,0.159060167024331,1.04993432881691,1.03825240914853,0.266682856767728,0.801311503956368,-0.0679943607240954,-0.000165407020098662,0.900134293825537,0.0397684991553158,1.06711218639549,-0.376086732985654,0.67,0.1,1.025,0.35,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.933155671502211,0.473074756565176,0.373262268600884,0.168778978053875,0.47255410503728,0.851837008021383,-1.07815447260263,2.4596407080095,3.62591043493487
