Time,n_B,psi_o_B,psi_y_B,n_y_B,n_m_B,n_o_B,mu_o_B,mu_m_B,mu_y_B,s_o_B,s_m_B,s_y_B,h_m_B,h_y_B,a_B,a_o_B,a_m_B,a_y_B,z_o_B,z_m_B,z_y_B,c_o_B,c_m_B,c_y_B,y_B,k_B,w_B,inv_B,b_B,gov_B,e_B,t_B,f_B,nx_B,tilde_R_B,g_B,q_B,tilde_s_m_B,tilde_s_y_B,tilde_s_o_B,Omega_m_B,Omega_y_B,eta_o_B,eta_m_B,eta_y_B,walras_B,gamma_B,phi_B,R_star,fy_target_B,alpha,delta,beta,sigma,b_y,g_y,repl,x,omega,nu,Lambda_B,w_indiv_B,t_indiv_B,e_indiv_B,c_y_indiv_B,c_m_indiv_B,c_o_indiv_B,a_y_indiv_B,a_m_indiv_B,a_o_indiv_B
0,0.00539697250294302,0.27911856236707,0.151984862514716,0.00539697250294302,0.00539697250294302,0.00539697250294302,0.0897978784171305,0.0437673067987712,0.0378763704322692,0.711135127830801,1.90971657555627,0.256842864925083,2.80876071933113,0.377757704612218,4.11856718899077,1.30337399548354,2.92991788068552,-0.114724687178281,2.12493617388529,7.62873409104668,0.540342079107436,0.190814760186714,0.333889145449085,0.0204661967484158,1.0746477690826,2.60200941622487,0.720014005285343,0.284360020115608,0.644788661449561,0.26866194227065,0.0803877096157602,0.366463775310023,0.871769111316348,-0.0235442956878718,1.0377129724424,1.01042395736546,1.02700749015106,0.698761516892187,0.106201173075433,0.19503731003238,1.08023798260639,1.06705021483049,0.316462967744596,0.711392517406878,-0.0278554851514741,2.60208521396521e-16,0.915829299941193,0.0312172306267986,1.0377129724424,0.811213810140371,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.03041450892671,0.524447563941283,0.412165803570683,0.192711588353915,0.477829899583038,0.97835004058985,-1.08025819165664,4.19301551367142,6.68269058503296
1,0.00555843257544442,0.279296859374682,0.15203639120686,0.0057378406013926,0.00539697250294302,0.00603920593285023,0.0890683785396693,0.0434905409958269,0.0376539387923311,0.716892767103262,1.92672463452376,0.259472694401857,2.81952040120369,0.379622911864744,4.11966884015674,1.30421134170903,2.93021446064866,-0.11475696220095,2.13043209706903,7.65596309906572,0.544854564517732,0.189754132505225,0.332961977194164,0.0205159204520811,1.07447521550333,2.60307381996417,0.71989839438723,0.285796563183079,0.644685129301997,0.268618803875832,0.0804261442484918,0.366440019882674,0.871909890890575,-0.0232377799772044,1.03768749493729,1.01058622473832,1.02681737543572,0.698649318454459,0.106220121096948,0.195130560448592,1.07985701268613,1.06680796543528,0.316581597286681,0.711274273331402,-0.0278558706180838,6.55982701522167e-05,0.916471533371101,0.0312690374178771,1.0377129724424,0.810959002628656,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.03041450892671,0.524497784801833,0.412165803570683,0.193145331037196,0.47657954913738,0.972447022490953,-1.08036934072228,4.19411338886129,6.68378822215615
2,0.00562443379435312,0.279581195997004,0.152061204886367,0.00557136957357729,0.00540727824137188,0.00643082755801538,0.0885335974887165,0.0432801745807546,0.0374821749935485,0.721763806839592,1.94072108282392,0.261633241269194,2.82812582332078,0.381087315391233,4.12125713874379,1.30546924341678,2.930590129677,-0.114802234349992,2.13581932406991,7.67813264360626,0.548476411136981,0.189091768351741,0.332310921298885,0.0205580888265453,1.07444148833166,2.60538031266326,0.719875797182213,0.287307277430394,0.644664892998997,0.268610372082915,0.0805054945382,0.366260483667887,0.871211933081537,-0.0238579723141596,1.03749790787445,1.01065255596332,1.02656239451701,0.698498451417034,0.106214516133736,0.19528703244923,1.07961120973226,1.06666034439001,0.31676481216004,0.7110913080685,-0.0278561202285399,0.000421032655339695,0.916920333039844,0.0312543291654183,1.03762585353753,0.81019483155776,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.03060471461577,0.524354038186998,0.41224188584631,0.193552534765214,0.4757504052081,0.968276111220549,-1.08085258521013,4.19555708925589,6.68487419284316
3,0.0056194875059736,0.279902165604074,0.152035341013871,0.00524123184956138,0.00541224097727344,0.00656649160839606,0.0882372003912224,0.0431566310934525,0.0373789024955297,0.725138236580772,1.94989523413082,0.262993388766738,2.83363501663989,0.381947818392919,4.12289997802127,1.30683394684495,2.93091201049588,-0.114845979319559,2.14020763749052,7.69259254455345,0.550679004659229,0.188845930172589,0.331986378575584,0.0205837768191313,1.07460890115663,2.60841392078535,0.719987963774942,0.288275510195859,0.644765340693978,0.268652225289157,0.0806104761077895,0.366151868486215,0.869720716541935,-0.0244512928509383,1.03728237355584,1.0106475849435,1.02635418023962,0.698354498976616,0.106174564400481,0.195470936622903,1.07950772133655,1.06660726209943,0.316969597568071,0.710886033160541,-0.027855630728612,0.000716372955247354,0.917147030078273,0.0312092290074065,1.03747508046621,0.808922051072271,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.03097776964282,0.524306593603653,0.412391107857129,0.193867306499993,0.475383747168643,0.966107460450273,-1.08167130204905,4.19688283642606,6.68556650631933
4,0.00556585688673825,0.280196458170541,0.1519672010968,0.00495646011524831,0.00540706820277426,0.00646416551321005,0.0881933098862487,0.043128225592988,0.0373518741089601,0.726637090316508,1.9532605571988,0.263406769154427,2.8356744090619,0.382153585452012,4.12408130210574,1.30798357461194,2.93097208824929,-0.114874360755491,2.14289013376114,7.6978476597302,0.551277231606989,0.188988573608012,0.331994510445572,0.0205912377560416,1.07492682608021,2.61172030428349,0.720200973473742,0.288756524843058,0.644956095648127,0.268731706520053,0.0807191047753272,0.366147068248385,0.867404902174127,-0.025094619568991,1.03706208720727,1.01059368617117,1.02619094241167,0.698244221970815,0.106110220094917,0.195645557934267,1.0795413517835,1.06664189203284,0.317157562811708,0.710696970680756,-0.0278545334924646,0.000958892476466049,0.917147243130541,0.0311606253066177,1.03728135216733,0.807141917252863,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.03144566157805,0.524382525092615,0.412578264631222,0.194055179016897,0.475470472936399,0.965974262863191,-1.08259468930264,4.19763171111754,6.6854754507199
5,0.00548558855403755,0.280413000397697,0.151881922403806,0.00482924848649113,0.00539344021935984,0.00617043124963512,0.0883788915739295,0.0431881481707676,0.0373963237763933,0.726223041926547,1.95093570774592,0.262928320539085,2.83448271506986,0.381791220658963,4.12435102652891,1.30863817315332,2.93059184793192,-0.114878994556334,2.14348786730073,7.69403754670478,0.55042439555268,0.189439081813172,0.33229123359997,0.0205838489109655,1.07533857546399,2.61489784960138,0.720476845560872,0.288803840437702,0.645203145278393,0.268834643865997,0.0808124295923169,0.366212887917973,0.864250031649141,-0.0257665813524232,1.03685530261845,1.01051301649681,1.02606823038556,0.698180230956936,0.106040955662073,0.195778813380991,1.07969066155516,1.06674810237391,0.317295536858024,0.710558298525377,-0.0278538353834015,0.0011525081886052,0.91694731914026,0.0311273275952529,1.03706378717099,0.804856186876699,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.03193532789288,0.524524860029389,0.412774131157152,0.194112253915943,0.475939046776685,0.967617887460163,-1.0833455228603,4.19747182459636,6.68426859144699
6,0.00538072351364023,0.280501997731102,0.151799106610826,0.00482818861118917,0.00537638448076128,0.00569547031900708,0.0888040770264367,0.0433408367881919,0.0375160266273804,0.723670470886417,1.94258365122032,0.261543441259723,2.82983116682476,0.380867335671624,4.12330684419954,1.30852973619045,2.9296328881764,-0.114855780167311,2.14150117188184,7.68045562321202,0.548118214287638,0.190174035019982,0.332877373629381,0.0205632175236015,1.07580405776181,2.61757302499037,0.720788718700416,0.288406061630114,0.645482434657089,0.268951014440454,0.0808730702150031,0.366319262061579,0.860251384552082,-0.0264680562370609,1.03667694913386,1.01040762713121,1.0259987368437,0.698177217743228,0.105982677909454,0.195840104347318,1.07995695783804,1.06692601873809,0.317349589936872,0.710505669083915,-0.0278552590207874,0.00130041175534338,0.916541258622175,0.0311096990487568,1.03684014318146,0.802067115683699,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.03238647779181,0.524679483592519,0.412954591116724,0.194024324816265,0.476780629859803,0.971067880369959,-1.08372219340822,4.1961164210515,6.68162295231319
7,0.00524950192082759,0.280417324484657,0.151726611650411,0.00487968990323417,0.00535982132216506,0.00505634013270773,0.089468594887398,0.0435859143201377,0.0377105844714098,0.718896416903123,1.92837170096151,0.259296480304877,2.8217001301935,0.379398461214282,4.12062616811621,1.3074211394736,2.92800889859044,-0.114803869947837,2.13658987662526,7.65715525991572,0.544421525507929,0.191157694116532,0.333744113148906,0.0205304539366073,1.07629261878534,2.61943532492651,0.721116054586178,0.287581151628299,0.645775571271205,0.269073154696335,0.0808853738679952,0.366446471607535,0.855415271918489,-0.0272006979954827,1.03654062809604,1.01027574943043,1.02599773248088,0.698253838017639,0.105943688914311,0.195802473068049,1.08033893435326,1.06717498285324,0.317287005938519,0.710573776686236,-0.0278607826247551,0.00140674925414418,0.91593041517596,0.031100553890014,1.0366264206554,0.798777456150403,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.03274198482524,0.524804092230823,0.413096793930096,0.193786474182645,0.477969607866982,0.97627824164456,-1.08363104139872,4.19333018906582,6.67724528187761
8,0.00508190517737921,0.280124011662152,0.151644679002988,0.00480243401973968,0.00534532233008211,0.00429374438415264,0.0903398675802169,0.0439091556175558,0.0379678599669649,0.71215997578645,1.90964482303362,0.256368757003116,2.81062198857917,0.377431667903349,4.11617359134905,1.30515962114593,2.92573889267478,-0.114724922471652,2.1287964087773,7.6259866718522,0.539561497826258,0.19231518564587,0.334850635522839,0.0204859953914455,1.07679352922317,2.62031404969476,0.721451664579521,0.286411742367731,0.646076117533899,0.269198382305791,0.0808383738009411,0.36658199662131,0.849783424120393,-0.0279463234732832,1.03645710742175,1.01010731470327,1.02608613197324,0.698436840056505,0.10591423041423,0.195648929529265,1.08082511198566,1.06749023276273,0.317080801423908,0.710790939143044,-0.0278717405669515,0.00147791146277118,0.91514090746174,0.0310739793715719,1.03643600623483,0.794990454773605,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.03295190517321,0.524860625323906,0.413180762069283,0.193420613182241,0.479428655990926,0.982960582041433,-1.08318704694321,4.18898134359304,6.67092646142335
9,0.00487867254146191,0.279610396616275,0.151517038421945,0.00448274211712363,0.00532893580059746,0.00348563766839294,0.0913387189171915,0.044278664757144,0.038261513606879,0.70413025717072,1.88882529609712,0.253073711009425,2.7978748598004,0.375093528949408,4.11005603842686,1.30172396118721,2.92295368199972,-0.114621604760067,2.11863932125725,7.59068129669929,0.533976379631828,0.19351380118697,0.336105231951929,0.0204307444330622,1.07730788909586,2.62022619057728,0.721796285694227,0.28506876374651,0.646384733457517,0.269326972273965,0.0807286982876469,0.36671851254434,0.843445114392068,-0.0286608553550214,1.03643171617823,1.00990306590417,1.02626851147374,0.698749793706032,0.105872499340283,0.195377706953684,1.08138020150613,1.06785190201799,0.316716840117904,0.711171247942919,-0.0278880880608231,0.00152323085844648,0.91423945041133,0.031008719790002,1.03627856833053,0.790709848866453,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.03298246696569,0.524820924238613,0.413192986786278,0.192974989353903,0.481009418506291,0.990459987499208,-1.08263813052777,4.18311920565578,6.66260230751809
