Time,n_B,psi_o_B,psi_y_B,n_y_B,n_m_B,n_o_B,mu_o_B,mu_m_B,mu_y_B,s_o_B,s_m_B,s_y_B,h_m_B,h_y_B,a_B,a_o_B,a_m_B,a_y_B,z_o_B,z_m_B,z_y_B,c_o_B,c_m_B,c_y_B,y_B,k_B,w_B,inv_B,b_B,gov_B,e_B,t_B,f_B,nx_B,tilde_R_B,g_B,q_B,tilde_s_m_B,tilde_s_y_B,tilde_s_o_B,Omega_m_B,Omega_y_B,eta_o_B,eta_m_B,eta_y_B,walras_B,gamma_B,phi_B,R_star,fy_target_B,alpha,delta,beta,sigma,b_y,g_y,repl,x,omega,nu,Lambda_B,w_indiv_B,t_indiv_B,e_indiv_B,c_y_indiv_B,c_m_indiv_B,c_o_indiv_B,a_y_indiv_B,a_m_indiv_B,a_o_indiv_B
0,0.00539697250294302,0.27911856236707,0.151984862514716,0.00539697250294302,0.00539697250294302,0.00539697250294302,0.115624078651747,0.0603737423002712,0.0546359824157408,0.521212693771879,0.94160487413608,0.111479977521307,2.47982071674907,0.293594866969758,3.33269548953857,1.0626093894568,2.38096916045497,-0.110883060373195,1.70879992314901,5.85480932349404,0.311194184087558,0.197578416714281,0.353476749313854,0.0170023999696886,0.970546968667752,1.9108175238782,0.650266469007394,0.208823267947892,0.582328181200651,0.242636742166938,0.0726005767939417,0.349204291847463,0.83954978445971,-0.0489706074449009,1.06936158784905,1.01042395736546,1.0583296051662,0.698761516892187,0.106201173075433,0.19503731003238,1.04293508837492,1.03321262501483,0.318843828604312,0.71442745607239,-0.0332712846767011,-4.16333634234434e-16,0.915829299941193,0.0312172306267986,1.06936158784905,0.865027465504469,0.67,0.1,1.025,0.35,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.930598570882266,0.499747458046323,0.372239428352907,0.160096159744036,0.505861786559137,1.01302882346705,-1.04408508081579,3.40741312006501,5.44823649013814
1,0.00555843257544442,0.279296859374682,0.15203639120686,0.0057378406013926,0.00539697250294302,0.00603920593285023,0.114884370428317,0.0601056528215419,0.0544113975312548,0.524630104251635,0.94830522280636,0.112434745580925,2.48743402684657,0.294853899304956,3.33359001928932,1.0633252386685,2.38118233880606,-0.110917558185239,1.71200236899681,5.86868251656333,0.313424977778625,0.196682314352247,0.352740993957985,0.0170538910779827,0.97039113030088,1.911559469022,0.650162057301589,0.209838498170958,0.582234678180528,0.24259778257522,0.0726352882755664,0.349181991447956,0.839795872086791,-0.048563689140033,1.06933972446692,1.01058622473832,1.05813803739885,0.698649318454459,0.106220121096948,0.195130560448592,1.04272974485405,1.0330937716492,0.318973008833089,0.714299696431641,-0.0332727052647303,4.1339306520928e-05,0.916471533371101,0.0312690374178771,1.06936158784905,0.864808807779282,0.67,0.1,1.025,0.35,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.930598570882266,0.499795794863739,0.372239428352907,0.160552359589361,0.504889913495246,1.00795238787859,-1.04422360885848,3.40826545723063,5.44930141246959
2,0.00562443379435312,0.279581195997004,0.152061204886367,0.00557136957357729,0.00540727824137188,0.00643082755801538,0.114323607334138,0.0598832215768387,0.0542194660429909,0.527658338096811,0.954360794809219,0.11329316222533,2.49428289254412,0.295953364619297,3.33489744112436,1.06440563384111,2.38145931612583,-0.110967508842572,1.71547704224326,5.88115109074168,0.315378681729536,0.196119523776701,0.352182273912366,0.0170996637274808,0.970354017787084,1.91335849645974,0.650137191917346,0.211088500734102,0.58221241067225,0.242588504446771,0.0727064534713543,0.349003005267503,0.839326533992364,-0.0490565829266711,1.06912488812055,1.01065255596332,1.05785601769095,0.698498451417034,0.106214516133736,0.19528703244923,1.04260632623682,1.0330314234382,0.319171924364347,0.714102714751696,-0.0332746391160421,0.000332134116333671,0.916920333039844,0.0312543291654183,1.06925150080918,0.8641530503925,0.67,0.1,1.025,0.35,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.930763970340123,0.499647500376679,0.372305588136049,0.160991777300482,0.504199076172465,1.00426291145413,-1.04474899365781,3.40939813294445,5.45046755276916
3,0.0056194875059736,0.279902165604074,0.152035341013871,0.00524123184956138,0.00541224097727344,0.00656649160839606,0.113993162165592,0.0597343001771194,0.0540863026422437,0.52989801973017,0.958823310715101,0.113898021675788,2.4994170876885,0.296705002340679,3.33629267232466,1.06558424961555,2.38172636010324,-0.111017937394134,1.71858682995584,5.89044974630563,0.316715031676313,0.195907147195233,0.351861893315881,0.0171299450539796,0.97052283213144,1.91580391458262,0.650250297528065,0.211923479435647,0.582313699278864,0.24263070803286,0.0728025865851195,0.348871392010972,0.838175058463183,-0.0495023799195168,1.06886774452727,1.0106475849435,1.05760678643191,0.698354498976616,0.106174564400481,0.195470936622903,1.04256425061727,1.03302033400391,0.319391718375416,0.713884120496512,-0.0332758388719286,0.000572039017356572,0.917147030078273,0.0312092290074065,1.06905841861143,0.863060840497491,0.67,0.1,1.025,0.35,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.931117789719914,0.499562031206523,0.372447115887966,0.161337559053851,0.503844242188612,1.00223158787626,-1.04561707430589,3.41048330553247,5.45136923179147
4,0.00556585688673825,0.280196458170541,0.1519672010968,0.00495646011524831,0.00540706820277426,0.00646416551321005,0.113913620370439,0.0596737144053963,0.0540265095210343,0.531078333013075,0.961099016566688,0.114167705693476,2.502312387918,0.297037293948095,3.3373450366466,1.06658747724425,2.38181169343556,-0.111054134033204,1.72078300651318,5.8953995280661,0.317293104545621,0.196020622135247,0.351800387751878,0.017142238937253,0.970846349312528,1.91854704776006,0.650467054039394,0.212397932919551,0.582507809587517,0.242711587328132,0.0729034258793856,0.348843096433375,0.83629017929902,-0.0499923666823997,1.06859722928856,1.01059368617117,1.05739551306435,0.698244221970815,0.106110220094917,0.195645557934267,1.04259718306721,1.03305308666766,0.319591611156093,0.713684580791019,-0.0332761919471128,0.000765946922867248,0.917147243130541,0.0311606253066177,1.06880693336445,0.861533255973557,0.67,0.1,1.025,0.35,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.931575276345905,0.499600405498172,0.372630110538362,0.161551252291429,0.503835730654399,1.00191705963038,-1.04659225033992,3.41114415055641,5.45163145284697
5,0.00548558855403755,0.280413000397697,0.151881922403806,0.00482924848649113,0.00539344021935984,0.00617043124963512,0.114066904555237,0.0597002031791269,0.0540405821903523,0.531129083938819,0.961065956679085,0.114101282119731,2.5029415206116,0.296981531939732,3.33767185874164,1.06717591229019,2.38156241415653,-0.111066467705074,1.72170261892716,5.89567927454386,0.317155620746295,0.196389288303989,0.351973250576889,0.0171392743919059,0.971270807093585,1.92126490587642,0.650751440752702,0.212536453302833,0.582762484256151,0.242817701773396,0.0729916656058358,0.348887573272463,0.833644468609072,-0.0505007955537454,1.06833766559284,1.01051301649681,1.05722306210018,0.698180230956936,0.106040955662073,0.195778813380991,1.04269093961562,1.03311883549024,0.319736618054731,0.713540010806855,-0.0332766288615866,0.000915634298318425,0.91694731914026,0.0311273275952529,1.06852064036456,0.859571804362198,0.67,0.1,1.025,0.35,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.932067984595858,0.499709899826687,0.372827193838344,0.161628818647435,0.504129499763219,1.00311818685819,-1.04739217985752,3.41109975413128,5.45092645041949
6,0.00538072351364023,0.280501997650377,0.15179910656714,0.00482818861118917,0.00537638448076128,0.00569547031900708,0.114466462225872,0.0598207880314519,0.0541349674051475,0.529875825440576,0.958505682699905,0.113683716204569,2.50101298754877,0.296527464265251,3.33692961260252,1.06712048229204,2.38085860406824,-0.111049473757764,1.72093495710603,5.89066571264697,0.316283801287831,0.19698964298593,0.352384869520016,0.0171220955603597,0.971755273540052,1.9236567342695,0.651076033271835,0.212329196698988,0.583053164124031,0.242938818385013,0.0730512395476567,0.348979633381244,0.830219714208992,-0.0510323158131533,1.06810972297825,1.01040762713121,1.05710775181236,0.698177210149143,0.105982676756679,0.195840102217162,1.04284537870368,1.03321684515294,0.319791115105228,0.713487822402109,-0.0332789375073368,0.00102296620289917,0.916541258622175,0.0311096990487568,1.06822209922843,0.857178421379343,0.67,0.1,1.025,0.35,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.93253693160903,0.499843919721607,0.373014713128836,0.16155560591916,0.504721243256767,1.00586979252846,-1.04780778478277,3.41010644498071,5.44893752715028
7,0.00524950186372868,0.28041732441355,0.151726611616967,0.00487968996219568,0.00535982131342805,0.00505634015835699,0.115114366279878,0.0600364443396722,0.0543105317831807,0.527232402469755,0.953453778607814,0.112932284958517,2.49645041090515,0.295684140046758,3.33484686615737,1.06622107813701,2.37962735458243,-0.111001566562073,1.71817205977258,5.88024326928634,0.31470674935682,0.197786287821553,0.35302889774431,0.0170918909136194,0.972267688668553,1.92545894435241,0.651419351407931,0.211777247135643,0.583360613201132,0.243066922167138,0.073067708655737,0.349102178854565,0.826027308603825,-0.0515732626003771,1.06793245155384,1.01027574937305,1.05707026246703,0.698253830462383,0.105943687767978,0.195802470949425,1.04305898867316,1.03334614116315,0.319721150904143,0.713564205520609,-0.0332853564247518,0.0010897054866656,0.91593041517596,0.031100553890014,1.06793196601123,0.854355469005041,0.67,0.1,1.025,0.35,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.93292628409437,0.49996457394783,0.373170513637748,0.161329960035481,0.505588200655534,1.01013172541955,-1.04774120007199,3.40796892300132,5.44539133222897
8,0.00508190512239191,0.280124011599289,0.151644678977384,0.00480243406488223,0.00534532232339346,0.00429374440675967,0.115976605338919,0.0603311324326387,0.0545525660702295,0.523328777841613,0.9465300131905,0.111921746189572,2.48966572643323,0.294486535676098,3.33131324401284,1.0643501905822,2.37788743503769,-0.110924381607049,1.7133576992563,5.86542391080394,0.312533399154113,0.198709409677761,0.353867666688825,0.017049498895492,0.972792483542666,1.92653885789781,0.651770963973586,0.210965646232631,0.5836754901256,0.243198120885667,0.0730306788452756,0.34924403342728,0.82109889598943,-0.0521232025068677,1.06781945320216,1.010107314648,1.05713466056255,0.698436832537479,0.10591422927401,0.195648927423005,1.04332818403787,1.03350770531635,0.319498681937087,0.713798811717814,-0.033297493654901,0.0011253436691587,0.91514090746174,0.0310739793715719,1.06766760045079,0.851105733152465,0.67,0.1,1.025,0.35,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.933185269748229,0.500036677845936,0.373274107899292,0.160974583040995,0.506656651258202,1.01564272442004,-1.04730386433798,3.40458481606508,5.44010235374821
9,0.00487867248894053,0.279610396560532,0.151517038402342,0.00448274215164846,0.00532893579547689,0.00348563768842092,0.116971500393575,0.0606712248971936,0.0548316038382976,0.518553101430669,0.938805420200926,0.110779740896433,2.4816588728932,0.293029566572835,3.32643342746641,1.0614957799953,2.37575959651916,-0.110821949048057,1.70675336440613,5.84831409504592,0.309984294416528,0.199641501711303,0.354824379532495,0.0169969359953169,0.973329526585635,1.92689878900149,0.652130782812376,0.210016218052663,0.583997715951381,0.243332381646409,0.0729370187311402,0.349396608712513,0.815536922513533,-0.0526177329270084,1.06777886615724,1.00990306585139,1.0573082727074,0.698749786220159,0.105872498206046,0.195377704860556,1.04363588460106,1.03369432730978,0.31910928120184,0.71420626575123,-0.0333155469530703,0.00113584257445737,0.91423945041133,0.031008719790002,1.06744143354297,0.847432420918557,0.67,0.1,1.025,0.35,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.933282264514218,0.500031077794745,0.373312905805687,0.160541559737619,0.507798909609538,1.02182335417334,-1.04674916456943,3.40001477405908,5.43304457769583
