Time,n_MM,psi_o_MM,psi_y_MM,n_y_MM,n_m_MM,n_o_MM,mu_o_MM,mu_m_MM,mu_y_MM,s_o_MM,s_m_MM,s_y_MM,h_m_MM,h_y_MM,a_MM,a_o_MM,a_m_MM,a_y_MM,z_o_MM,z_m_MM,z_y_MM,c_o_MM,c_m_MM,c_y_MM,y_MM,k_MM,w_MM,inv_MM,b_MM,gov_MM,e_MM,t_MM,f_MM,nx_MM,tilde_R_MM,g_MM,q_MM,tilde_s_m_MM,tilde_s_y_MM,tilde_s_o_MM,Omega_m_MM,Omega_y_MM,eta_o_MM,eta_m_MM,eta_y_MM,walras_MM,gamma_MM,phi_MM,R_star,fy_target_MM,alpha,delta,beta,sigma,b_y,g_y,repl,x,omega,nu,Lambda_MM,w_indiv_MM,t_indiv_MM,e_indiv_MM,c_y_indiv_MM,c_m_indiv_MM,c_o_indiv_MM,a_y_indiv_MM,a_m_indiv_MM,a_o_indiv_MM
0,0.010574708476305,0.239211285055436,0.177873542381526,0.010574708476305,0.010574708476305,0.010574708476305,0.0907181643269602,0.0412837685359114,0.0348229861400787,0.63379838720643,2.19893758632374,0.359885124730506,3.02628058988459,0.495290714176633,3.63253316179947,0.985264032163674,2.78344340912963,-0.136174279493837,1.70117554045226,7.94374604520366,0.744942688323959,0.154327522227753,0.32794777303825,0.0259411289106582,1.12643816377679,2.9566702635334,0.754713569730452,0.336612198655933,0.675862898266076,0.281609540944198,0.0722144011455988,0.361850256557906,-6.88338275267597e-15,8.17446773880825e-17,1.02768882458235,1.01562758201869,1.01187565479434,0.705674057500615,0.125520744374379,0.168805198125006,1.09571739282124,1.08109728086395,0.271233320737421,0.766254094635927,-0.0374874153733479,3.06833381230722e-16,0.906064588921509,0.0374556693326375,1.02768882458235,-6.11075065993585e-15,0.67,0.1,1.035,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.06949314872581,0.512772508372381,0.427797259490324,0.206668061442387,0.464729813364244,0.914234418974874,-1.08487469678863,3.94437542310702,5.83669248996736
1,0.010853141779287,0.239505321306997,0.177969941004101,0.0111223897593218,0.010574708476305,0.0118168973602186,0.0893301833741849,0.0407806128264558,0.0344279618243537,0.643314041672647,2.23494017876657,0.366562217541373,3.04647643826782,0.499489945901033,3.63458447881103,0.986576303099013,2.78423331674267,-0.136225141030648,1.71039718863869,7.99919567455029,0.755849376295817,0.152790094808168,0.326212103768653,0.02602235388406,1.12612789328785,2.95817162007685,0.754505688502863,0.338835234136568,0.675676735972713,0.281531973321964,0.0722832509411341,0.361839325507436,0.000736122761466537,0.0007361227614735,1.02768882093781,1.01590740748818,1.01159693625894,0.705479683906136,0.125554177724367,0.168966138369498,1.09495792963403,1.08061757363351,0.271441290978229,0.766038960703522,-0.0374802516817513,1.06069682622265e-08,0.907306777805423,0.0375530873425437,1.02768882458235,-3.64453891452784e-08,0.67,0.1,1.035,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.06949314872581,0.512898292838124,0.427797259490324,0.207259960247502,0.462397587358526,0.90426458391352,-1.08499090591559,3.94658185098511,5.83889951335428
2,0.0109690016315083,0.240010564124261,0.177990698011931,0.0107118558991979,0.0105939882008201,0.0127258629788918,0.0881332842945876,0.0403348946198268,0.0340736022395486,0.65269179211556,2.26936990477329,0.372883879215532,3.06469117887994,0.503157915240129,3.6384245134504,0.988915423294806,2.785818751833,-0.136309661677405,1.72084369823632,8.05189979210439,0.765826604037362,0.151663607050795,0.324772530529365,0.0260944712591059,1.12599403493592,2.96158542919213,0.754416003407066,0.341219315862729,0.675596420961551,0.28149850873398,0.0724271242248401,0.361663429495851,0.00124266329672471,0.000498198015608464,1.02753850064693,1.01602384663967,1.01133305487401,0.705217990069712,0.125522242303079,0.169259767627209,1.09435979487899,1.08025653627181,0.27179770245216,0.765666222158043,-0.0374639246102029,0.000247403484335591,0.908344048564192,0.0375003765632448,1.02760386145065,-1.45745571055924e-07,0.67,0.1,1.035,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.06976284500696,0.51283919949362,0.427905138002784,0.207887230026528,0.460527858197805,0.896040501395645,-1.08594030170588,3.95029450618187,5.84258998554737
3,0.0109620488228521,0.240656048704053,0.177855825626742,0.00983235923813774,0.0105981396023862,0.0133160429490999,0.087164197568752,0.0399641984792056,0.0337753133149234,0.661406983850793,2.30029969893527,0.378295089172708,3.0801587487204,0.505926063453866,3.64376837873432,0.992048075662276,2.78812462151936,-0.136404318447318,1.73177131828468,8.0993524004944,0.773957490795469,0.150948456901294,0.323684126036072,0.0261406566162118,1.12615355451248,2.96652258399356,0.754522881523363,0.343114455982137,0.675692132707489,0.281538388628121,0.0726321981296836,0.361608086806662,0.00155366203326724,0.000297142467454362,1.027345915807,1.01601685906697,1.01115046137171,0.704964137485113,0.125381978709659,0.169653883805228,1.09392524833247,1.08000993255962,0.272258819057561,0.765176139541189,-0.0374349585987499,0.00043032788119334,0.909153961203995,0.0373482080862865,1.02745624912007,-3.27792685759103e-07,0.67,0.1,1.035,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.07029966689518,0.512945364989291,0.428119866758071,0.208488148657667,0.459149776314553,0.889743597468071,-1.08791007967088,3.95498788273926,5.8474822586508
4,0.0108684409243029,0.241378246447015,0.177550906018483,0.00883862157384163,0.0105711651253484,0.0136038427517198,0.0864514804913935,0.0396829045368634,0.0335458743554713,0.668942123079594,2.32582367792016,0.382379782945827,3.09230017623037,0.507609658985567,3.65016504664613,0.995706618416685,2.79093993405277,-0.136481505823326,1.74240406835305,8.13894686108199,0.779662392670399,0.150633410081981,0.322977049016695,0.0261544565623312,1.12658514329881,2.97252261716792,0.754812046010203,0.344497761409384,0.675951085979287,0.281646285824703,0.0728780832252105,0.361718069872207,0.00169134349891985,0.000120545102577514,1.02712806542018,1.01592278312892,1.01102965941638,0.704756821905043,0.125130212251947,0.17011296584301,1.09365279468719,1.07987149427275,0.272783999026107,0.764606503589758,-0.0373905026158649,0.000555635301139489,0.909721143211748,0.0371431654627662,1.02726599028529,-5.82407074731416e-07,0.67,0.1,1.035,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.07102481671601,0.513252314315226,0.428409926686402,0.209017918947262,0.458281550427066,0.885490470026806,-1.09071585005005,3.96014603520761,5.85320826947182
5,0.0107126042348007,0.242118760930935,0.177094628096754,0.00791332886593499,0.0105101812036965,0.0136102842011478,0.0860122213578233,0.039500239986752,0.0333936183130716,0.674859816125279,2.34447398716868,0.3848861206031,3.10068196431316,0.508147767732215,3.65711601057808,0.999609771113907,2.79402397730796,-0.13651773784378,1.75202042737805,8.16855806344426,0.782651723673239,0.150695167076475,0.32266000132046,0.0261355731817051,1.12724264737444,2.97909566861031,0.755252573740876,0.345349397381176,0.676345588424665,0.28181066184361,0.073144326937616,0.361970707074879,0.00167475354311214,-3.51315765440136e-05,1.02690166459407,1.01576616725597,1.0109626582348,0.704615674944489,0.124783650905437,0.170600674150074,1.09353889163638,1.07983530321741,0.273332803327759,0.763996539608381,-0.0373293429361402,0.000626978147559096,0.910038399128697,0.0369151999134656,1.02705177286107,-9.09337464310924e-07,0.67,0.1,1.035,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.07186456475067,0.513713673916487,0.428745825900269,0.209447094968482,0.457923393977688,0.88332105267012,-1.09403545138485,3.96531623785985,5.85935416781865
6,0.0105078894247479,0.242824121940486,0.176514223796303,0.0071074107756266,0.0104189256193508,0.013362564149072,0.0858507057056811,0.0394196150185895,0.0333218631859943,0.67885052385897,2.35543251220293,0.385716949605551,3.10505400014968,0.507553925874876,3.66413999538428,1.00348497360233,2.79715166214982,-0.136496640367872,1.76002324897596,8.18689151375026,0.782860609848717,0.151099236326216,0.322724110034765,0.0260863747361619,1.12807347392176,2.98577073047502,0.755809227527577,0.345665793807041,0.676844084353054,0.282018368480439,0.0734114848115603,0.362338456740643,0.00152518055620709,-0.000167914299598108,1.02668249006186,1.01556042887187,1.01095164883722,0.704553641493349,0.124363739151057,0.171082619355594,1.09357768914181,1.07989567941799,0.273866439331713,0.763385587180192,-0.037252026511906,0.000647504836732147,0.910107451228965,0.0366776098873912,1.02683108119287,-1.30826121367389e-06,0.67,0.1,1.035,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.07274901869159,0.514280865787086,0.429099607476637,0.209758687815557,0.45805470446612,0.883194545976393,-1.09755979757152,3.97010461293064,5.86549923880106
7,0.010260271525641,0.243447627787879,0.175830908335098,0.00639179702907633,0.0103028447592606,0.0128970257916536,0.0859552853369281,0.0394375426029581,0.0333281063238871,0.680784368434757,2.35869053534017,0.384923982338786,3.10545310379168,0.505892375964413,3.67082979609544,1.00709050944306,2.80014808386602,-0.136408797213647,1.76601040302468,8.19377820710925,0.780417395723086,0.151797926958224,0.323142476622559,0.0260098346335332,1.12903013575817,2.99214160841958,0.756450190957973,0.345472616164861,0.677418081454901,0.282257533939542,0.0736624018113627,0.362794198446788,0.00127010622095329,-0.000271858024856312,1.0264844626895,1.01531157288327,1.01100439520698,0.704583331987593,0.123887527261148,0.171529140751259,1.09375871297815,1.08004537650711,0.274349551869694,0.762810655689353,-0.0371602075590473,0.000621605464304496,0.909941850662359,0.0364310878505116,1.02661975120605,-1.77878463324235e-06,0.67,0.1,1.035,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.07361351967278,0.514906018885466,0.429445407869111,0.209947161014085,0.458629181180019,0.88496873646882,-1.1010696575298,3.97419007339693,5.8712502437325
8,0.00997164061495977,0.243952608452026,0.175052598445924,0.005694713389087,0.0101661816670195,0.0122615579660308,0.0862951717125384,0.0395426125971863,0.0334032799078661,0.68075260011527,2.35513851861732,0.382701981693202,3.10228192076298,0.503268970274865,3.67690093139824,1.01023746468135,2.80291362690213,-0.136250160185231,1.76983460877634,8.1903652661817,0.775629356828661,0.152728180880176,0.323868440903537,0.0259085650458248,1.13007691971172,2.99790959966684,0.75715153620685,0.344835304478543,0.67804615182703,0.282519229927929,0.073883636900448,0.363314295202583,0.000945179904375116,-0.000339062290392193,1.02631844161797,1.01502149881803,1.01112975716583,0.704719049048505,0.123362900710281,0.171918050241214,1.09406449604737,1.08027379054895,0.274752429719542,0.762303276347018,-0.0370557060665599,0.000556260766098663,0.909570066464692,0.0361674882949308,1.02643110548276,-2.32044337320816e-06,0.67,0.1,1.035,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.0744019722883,0.515544876632924,0.429760788915321,0.21001909728656,0.45957100399204,0.888377809461465,-1.10446624877292,3.97734903105934,5.87627339458483
9,0.00964422973730842,0.244319033608416,0.174171557511962,0.00492712978535659,0.0100105196891849,0.0115275900127214,0.086805861825013,0.0397103433599304,0.0335277601912399,0.67918161988906,2.34692286125632,0.37944045453184,3.09653400323065,0.499864373189303,3.68225184276212,1.01282307998114,2.80544926097194,-0.136020498190969,1.77173402414819,8.17970742929156,0.7690695078825,0.153796898647744,0.324818990857888,0.0257851783523259,1.13119122187896,3.00293609232678,0.757898118658904,0.343885423974764,0.678714733127376,0.28279780546974,0.0740675743697519,0.363880431633662,0.000601017307955723,-0.000354873394753636,1.02619096684302,1.01469245088599,1.01133202079801,0.70497471485529,0.122786544092897,0.172238741051813,1.09446228782574,1.08056157796697,0.275055352880923,0.761884135233647,-0.0369394881145696,0.000461797971252177,0.909048669378773,0.0358730265609918,1.02627486344642,-2.93270288179023e-06,0.67,0.1,1.035,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.07507135034549,0.516160968565171,0.430028540138196,0.210000033332786,0.46075268234913,0.892928604264928,-1.1077801659444,3.97950338055432,5.88034418851484
