Time,n_MM,psi_o_MM,psi_y_MM,n_y_MM,n_m_MM,n_o_MM,mu_o_MM,mu_m_MM,mu_y_MM,s_o_MM,s_m_MM,s_y_MM,h_m_MM,h_y_MM,a_MM,a_o_MM,a_m_MM,a_y_MM,z_o_MM,z_m_MM,z_y_MM,c_o_MM,c_m_MM,c_y_MM,y_MM,k_MM,w_MM,inv_MM,b_MM,gov_MM,e_MM,t_MM,f_MM,nx_MM,tilde_R_MM,g_MM,q_MM,tilde_s_m_MM,tilde_s_y_MM,tilde_s_o_MM,Omega_m_MM,Omega_y_MM,eta_o_MM,eta_m_MM,eta_y_MM,walras_MM,gamma_MM,phi_MM,R_star,fy_target_MM,alpha,delta,beta,sigma,b_y,g_y,repl,x,omega,nu,Lambda_MM,w_indiv_MM,t_indiv_MM,e_indiv_MM,c_y_indiv_MM,c_m_indiv_MM,c_o_indiv_MM,a_y_indiv_MM,a_m_indiv_MM,a_o_indiv_MM
0,0.010574708476305,0.239211285055436,0.177873542381526,0.010574708476305,0.010574708476305,0.010574708476305,0.108491844297631,0.0530373565440279,0.0461554855971878,0.510110916024053,1.47489762022484,0.223450054857976,2.62111170262682,0.397103870607345,2.98969630349245,0.813915193954639,2.31070068372897,-0.134919574191158,1.40993510096992,6.39382129714419,0.509133662710438,0.152966459444194,0.339111379815436,0.0234993114362751,1.0459976186659,2.36209773229291,0.700818404506156,0.268921063303524,0.627598571199542,0.261499404666476,0.0670574684529672,0.348818315254281,-3.99680288865056e-15,1.29033102000165e-16,1.04841618356742,1.01562758201869,1.03228407944924,0.705674057500615,0.125520744374379,0.168805198125006,1.07960933770064,1.06408703879102,0.272240091076761,0.772888096034937,-0.0451281871116976,-1.29033102000165e-16,0.906064588921509,0.0374556693326375,1.04841618356742,-3.82104396542337e-15,0.67,0.1,1.015,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.993119127814252,0.494305142078965,0.397247651125701,0.187214564041988,0.480549591147667,0.906171499120049,-1.0748786972514,3.27445887966054,4.82162399615151
1,0.010853141779287,0.239505321306997,0.177969941004101,0.0111223897593218,0.010574708476305,0.0118168973602186,0.107151027743922,0.0525677798892881,0.0457881874638412,0.516495185996291,1.49304200373517,0.22661044006211,2.6368686341375,0.400089650712135,2.99112141947376,0.814964202989151,2.31114192216869,-0.134984705684074,1.41607150459145,6.42708965488508,0.515310519941614,0.151733517193066,0.337857835136452,0.0235951348514426,1.04570950503214,2.3630222857336,0.700625368371536,0.270422169429841,0.627425703019286,0.261427376258036,0.0671214015870632,0.348804628078809,0.000673430720879977,0.000673430720884101,1.04841616574358,1.01590740748818,1.03199972558107,0.705479683906136,0.125554177724367,0.168966138369498,1.07887078601611,1.06361029213054,0.272461090239971,0.772667370545303,-0.045128460785274,4.14424224096262e-08,0.907306777805423,0.0375530873425437,1.04841618356742,-1.78238470011269e-07,0.67,0.1,1.015,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.993119127814253,0.494421931681335,0.397247651125701,0.187927915096874,0.478905123483902,0.898011392443926,-1.0751112239404,3.27598650236424,4.82323979735499
2,0.0109690016315083,0.240010564124261,0.177990698011931,0.0107118558991979,0.0105939882008201,0.0127258629788918,0.105993903965684,0.0521474788283224,0.045453619075301,0.522858442576266,1.51074984482743,0.229655068848191,2.65119455604587,0.402715664314042,2.99379334119352,0.816826701647313,2.31206019120729,-0.135093551661086,1.42329311949579,6.45895292644709,0.520956541793626,0.150860394330757,0.336818111461136,0.0236793602924786,1.04554507037801,2.36533400016934,0.700515197153265,0.272154726676867,0.627327042226804,0.261386267594502,0.0672524190585491,0.348645420058624,0.00113229879737852,0.000437500275296507,1.04826204857847,1.01602384663967,1.03172976898665,0.705217990069712,0.125522242303079,0.169259767627209,1.07828450017553,1.06324473416,0.272840042233641,0.772284499196919,-0.0451245414305604,0.000208709746969901,0.908344048564192,0.0375003765632448,1.04832649848546,-7.1277796873487e-07,0.67,0.1,1.015,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.993331433708913,0.494379645681132,0.397332573483565,0.188646727926543,0.477608507162219,0.891295057565152,-1.07625189912475,3.27850426926678,4.82587630302292
3,0.0109620488228521,0.240656048704053,0.177855825626742,0.00983235923813774,0.0105981396023862,0.0133160429490999,0.105055982464264,0.051794038186015,0.0451675413334673,0.528842608074989,1.52698234799902,0.232282064128975,2.66345794676719,0.404691549341262,2.99754092563455,0.819312988186183,2.31344670364232,-0.135218766193952,1.43105785061561,6.48793063460644,0.525489935647057,0.150341188385507,0.336036126928118,0.0237350883707706,1.04563261511122,2.36874804368546,0.70057385212452,0.273506629967847,0.627379569066734,0.261408153777806,0.0674389340310658,0.348581361394297,0.00141331288235843,0.000245299746496954,1.04806349736873,1.01601685906697,1.03154144344729,0.704964137485113,0.125381978709659,0.169653883805228,1.07785420234653,1.06298842829676,0.273328374337512,0.771781523920556,-0.0451098982580686,0.000360127934678985,0.909153961203995,0.0373482080862865,1.04817189634775,-1.6030909740423e-06,0.67,0.1,1.015,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.993772328084297,0.494466800308205,0.397508931233719,0.189302231588902,0.476671236251665,0.886164142037012,-1.07845455611345,3.28165161974807,4.8293205543517
4,0.0108684409243029,0.241378246447015,0.177550906018483,0.00883862157384163,0.0105711651253484,0.0136038427517198,0.104364807483884,0.0515220033661044,0.0449432171784174,0.534093301906897,1.54070247743067,0.234273706792647,2.67316307088547,0.405874172729246,3.00204667237848,0.822207576618423,2.31516832209912,-0.135329226339066,1.43879856226939,6.51244393501876,0.528574491344414,0.150159934588746,0.335534157745907,0.0237558381615874,1.04595624898928,2.37293364218366,0.700790686822816,0.274473725032282,0.627573749393567,0.261489062247319,0.0676622508446761,0.348666593680399,0.00153928080125878,8.15679473531679e-05,1.04783853457229,1.01592278312892,1.03141552879153,0.704756821905043,0.125130212251947,0.17011296584301,1.07757999590964,1.06283740082898,0.273882343085823,0.771196645045102,-0.0450789881309255,0.000461963266083035,0.909721143211748,0.0371431654627662,1.04797389113999,-2.84829885448609e-06,0.67,0.1,1.015,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.994372335309212,0.494733194263961,0.397748934123685,0.189848940028612,0.476099198073624,0.882707169583548,-1.08150720680137,3.28505982509108,4.83330340250021
5,0.0107126042348007,0.242118760930935,0.177094628096754,0.00791332886593499,0.0105101812036965,0.0136102842011478,0.103936954872593,0.0513409199267174,0.0447895136114121,0.538308134415063,1.5511095274178,0.235503723986989,2.67995306834394,0.406218068942286,3.0069577446868,0.825285378477805,2.3170705380593,-0.135398171850296,1.44598061040039,6.53119061882633,0.530064973578246,0.150290820853534,0.335317333903215,0.023741352499267,1.04647860026687,2.37754232729606,0.701140662178802,0.275050290438223,0.627887160160121,0.261619650066717,0.0679037233460106,0.348880813280882,0.00152825723062497,-5.92712271932075e-05,1.04760463177937,1.01576616725597,1.03134428527917,0.704615674944489,0.124783650905437,0.170600674150074,1.07745960853478,1.0627874340763,0.274458588594455,0.770569703558674,-0.0450282921531282,0.000518423733105889,0.910038399128697,0.0369151999134656,1.04775213253906,-4.44717274022407e-06,0.67,0.1,1.015,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.995068215355895,0.495136321383097,0.398027286142358,0.190260120833125,0.47588684984851,0.880950920049276,-1.0850633946662,3.28841753093534,4.83752706482167
6,0.0105078894247479,0.242824121940486,0.176514223796303,0.0071074107756266,0.0104189256193508,0.013362564149072,0.1037767902886,0.0512546916546178,0.0447103398816192,0.541266705410127,1.55774744328239,0.235925633296913,2.68362159740841,0.405734870357714,3.01193589299767,0.828329606485764,2.31901263828768,-0.135406351775771,1.45215008492286,6.54336425850958,0.529948321758859,0.15069947421231,0.335378117047536,0.0236941698800027,1.04715710445458,2.38224216010748,0.701595259984566,0.27523992396933,0.628294262672745,0.261789276113644,0.0681457011853436,0.349199722468139,0.00139947021744399,-0.000176667660161815,1.04737816832574,1.01556042887187,1.0313302276746,0.704553641493349,0.124363739151057,0.171082619355594,1.07748804861197,1.06283385326507,0.275015682937484,0.769940901983774,-0.0449565849212579,0.000532810891915007,0.910107451228965,0.0366776098873912,1.0475247386974,-6.39813473576537e-06,0.67,0.1,1.015,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.995801055683266,0.495632556419674,0.398320422273306,0.19052313835002,0.476015021846568,0.88085788480408,-1.08879286438389,3.29146356176994,4.84169350227264
7,0.010260271525641,0.243447627787879,0.175830908335098,0.00639179702907633,0.0103028447592606,0.0128970257916536,0.103873419501807,0.0512605827038102,0.0447039179435021,0.542864660084253,1.56058025719952,0.235564316400315,2.68419401610848,0.404472707284189,3.01670035999815,0.831149316769772,2.32089316372166,-0.135342120493289,1.45698311633909,6.5488351056034,0.528312544144257,0.151341817985081,0.335697103491463,0.0236176409530429,1.04795407956837,2.38675035957662,0.702129233310807,0.275065630121423,0.628772447741021,0.261988519892092,0.0683726785000153,0.34959979839308,0.00117755268050891,-0.00026583494176825,1.04717352237124,1.01531157288327,1.03138145012716,0.704583331987593,0.123887527261148,0.171529140751259,1.07765539681496,1.06296981284474,0.275516033298427,0.769348256928699,-0.0448642902271259,0.000509202067034366,0.909941850662359,0.0364310878505116,1.04730794659034,-8.69925947716289e-06,0.67,0.1,1.015,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.99651695042251,0.496179490092218,0.398606780169004,0.190637762131277,0.476447693624087,0.882309660750574,-1.09245961627755,3.29399385190471,4.84552836404079
8,0.00997164061495977,0.243952608452026,0.175052598445924,0.005694713389087,0.0101661816670195,0.0122615579660308,0.104197519453411,0.0513482492568337,0.0447620922575439,0.543142863771317,1.56003687304228,0.234510571995143,2.68198938355073,0.40250787206546,3.02106356549428,0.833596658955037,2.32266700732988,-0.135200100790633,1.46032967589534,6.54827218197227,0.525333364045307,0.152162729545407,0.336242312340459,0.0235150207753368,1.04884233017087,2.39086346045378,0.702724361214482,0.274577917615196,0.629305398102521,0.262210582542717,0.0685725763764227,0.350060966923411,0.000894706937984436,-0.00031994694137684,1.04700182130416,1.01502149881803,1.03150703952908,0.704719049048505,0.123362900710281,0.171918050241214,1.07794457988221,1.06318462832808,0.275928209029994,0.768824275601799,-0.0447524846317928,0.00045371429312889,0.909570066464692,0.0361674882949308,1.0471152585636,-1.13482760321151e-05,0.67,0.1,1.015,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.997169527577385,0.496738334796052,0.398867811030954,0.19061663303915,0.477129591990519,0.885088734614607,-1.09595429429916,3.29587657729118,4.8488024252569
9,0.00964422973730842,0.244319033608416,0.174171557511962,0.00492712978535659,0.0100105196891849,0.0115275900127214,0.104687168338826,0.0514948939450192,0.0448665884127789,0.542366680119561,1.55719642627803,0.232945262472586,2.6777972724465,0.399967811484743,3.02497378324928,0.835593105395173,2.32436063901835,-0.134979961164238,1.46230577275783,6.5435098440053,0.521323102024979,0.153084650468416,0.336957345595386,0.0233899892318876,1.04980584426879,2.39449315368501,0.703369915660086,0.273873144607833,0.629883506561271,0.262451461067196,0.0687386632253221,0.350568076327122,0.000597123003004098,-0.000325956209923596,1.04686961636572,1.01469245088599,1.03171124950386,0.70497471485529,0.122786544092897,0.172238741051813,1.07832337338994,1.06345851266766,0.276231519770313,0.768390341719284,-0.0446218614895964,0.000375209507989357,0.909048669378773,0.0358730265609918,1.04695631725191,-1.43425701411017e-05,0.67,0.1,1.015,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.997723607440966,0.497277517817192,0.399089442976386,0.190493098447265,0.477970824335952,0.888793366309879,-1.09930580880358,3.29708369681808,4.85136561201297
