Time,n_MM,psi_o_MM,psi_y_MM,n_y_MM,n_m_MM,n_o_MM,mu_o_MM,mu_m_MM,mu_y_MM,s_o_MM,s_m_MM,s_y_MM,h_m_MM,h_y_MM,a_MM,a_o_MM,a_m_MM,a_y_MM,z_o_MM,z_m_MM,z_y_MM,c_o_MM,c_m_MM,c_y_MM,y_MM,k_MM,w_MM,inv_MM,b_MM,gov_MM,e_MM,t_MM,f_MM,nx_MM,tilde_R_MM,g_MM,q_MM,tilde_s_m_MM,tilde_s_y_MM,tilde_s_o_MM,Omega_m_MM,Omega_y_MM,eta_o_MM,eta_m_MM,eta_y_MM,walras_MM,gamma_MM,phi_MM,R_star,fy_target_MM,alpha,delta,beta,sigma,b_y,g_y,repl,x,omega,nu,Lambda_MM,w_indiv_MM,t_indiv_MM,e_indiv_MM,c_y_indiv_MM,c_m_indiv_MM,c_o_indiv_MM,a_y_indiv_MM,a_m_indiv_MM,a_o_indiv_MM
0,0.010574708476305,0.239211285055436,0.177873542381526,0.010574708476305,0.010574708476305,0.010574708476305,0.0839809536055204,0.0433222440960077,0.0359693057961633,0.682269741212674,2.62511181248037,0.444070115904239,2.01542728364928,0.340934440655713,3.88019213495469,1.07078997626947,2.93524445602751,-0.125842297342283,1.83296682890371,7.49341361655346,0.68375650607479,0.15393430221862,0.324631493808677,0.0245942468571203,1.15471500903071,3.18736312953628,0.773659056050579,0.362876213888618,0.692829005418429,0.288678752257679,0.0740271907970539,0.366657626638201,-1.38777878078145e-14,7.91546338650828e-17,1.02142040941389,1.01562758201869,1.00570369247327,0.705674057500615,0.125520744374379,0.168805198125006,1.20207685174703,1.17178593747761,0.27596313250142,0.7564688432785,-0.032431975779919,1.98401122291206e-16,0.906064588921509,0.0374556693326375,1.02142040941389,-1.20183661763119e-14,0.67,0.1,1.025,0.7,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.09634050993848,0.519584959573042,0.438536203975391,0.195937707186992,0.460030364384472,0.911904988284937,-1.00256175160135,4.15949038345504,6.34334717273642
1,0.010853141779287,0.239505321306997,0.177969941004101,0.0111223897593218,0.010574708476305,0.0118168973602186,0.0826422763936448,0.0427460112571738,0.0355303346858052,0.692979377372323,2.66708122200807,0.451955779540893,2.03079552483774,0.344028471279646,3.88238924496841,1.07213846775734,2.936156139513,-0.125905362301926,1.84335950183161,7.54996543376275,0.694764089438106,0.152339425622892,0.322730908829018,0.0246852009194938,1.15439694985804,3.18902177571345,0.773445956404889,0.36531284767709,0.692638169914826,0.288599237464511,0.0740977689209402,0.366647594979809,0.000729299340142568,0.000729299340156521,1.02142039985044,1.01590740748818,1.00542666814084,0.705479683906136,0.125554177724367,0.168966138369498,1.20005858862283,1.17041137851264,0.276154295745506,0.756275570080052,-0.0324298658255577,3.00048819365906e-08,0.907306777805423,0.0375530873425437,1.02142040941389,-9.56344945542804e-08,0.67,0.1,1.025,0.7,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.09634050993848,0.519713895869738,0.438536203975391,0.196609952507403,0.457463079648311,0.901597367927968,-1.00279707600276,4.16192869404254,6.34528597329228
2,0.0109690016315083,0.240010564124261,0.177990698011931,0.0107118558991979,0.0105939882008201,0.0127258629788918,0.0815055254870442,0.0422515091361225,0.0351511350560609,0.70340963755944,2.70593565729565,0.459155117174439,2.04435257843153,0.346634701997787,3.88642922406022,1.07452918923342,2.93791074016919,-0.126010705342399,1.85487589946879,7.60253320076362,0.704544658439364,0.151182634962437,0.321218501813563,0.0247655446095373,1.15426452658196,3.19264625841639,0.77335723280991,0.367791696552943,0.692558715949173,0.288566131645489,0.0742455622865135,0.366472955863594,0.00122424969465801,0.000491178962323185,1.02127796410756,1.01602384663967,1.00517125408549,0.705217990069712,0.125522242303079,0.169259767627209,1.19840321976255,1.16929455417281,0.276482376827503,0.755940883205673,-0.0324232600331755,0.000248838035662954,0.908344048564192,0.0375003765632448,1.02134115816149,-3.82443562473885e-07,0.67,0.1,1.025,0.7,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.09662153220661,0.519659113953358,0.438648612882642,0.19730004941865,0.455488240993129,0.893198880524362,-1.0038914460924,4.16596113760339,6.34840283841138
3,0.0109620488228521,0.240656048704053,0.177855825626742,0.00983235923813774,0.0105981396023862,0.0133160429490999,0.0806009531433941,0.0418538566750993,0.0348442101254799,0.71298689105628,2.73977429922735,0.46507783831987,2.05547153890786,0.348512749187949,3.89195206903987,1.07771655906052,2.94036710744434,-0.126131597464996,1.86670640957307,7.64870959131079,0.712277745431553,0.150458315549336,0.320127994662179,0.0248187553887286,1.15442140091904,3.19777549725001,0.77346233861576,0.369690897144613,0.692652840551427,0.288605350229761,0.074455356093066,0.366430989684812,0.00152373123842511,0.000293357441514515,1.0210993117418,1.01601685906697,1.0050023310435,0.704964137485113,0.125381978709659,0.169653883805228,1.19713772749754,1.16845081772757,0.276909000925638,0.755499311193512,-0.0324083121191498,0.000426730502912099,0.909153961203995,0.0373482080862865,1.02120540462067,-8.60144169853998e-07,0.67,0.1,1.025,0.7,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.09716551167412,0.519786709990691,0.438866204669648,0.197945156426349,0.454105361734006,0.886854530970069,-1.00597868021427,4.17094565680149,6.35244260189056
4,0.0108684409243029,0.241378246447015,0.177550906018483,0.00883862157384163,0.0105711651253484,0.0136038427517198,0.0799508903929202,0.0415646043616233,0.0346192649406426,0.721154955132709,2.76676690288454,0.469313998991294,2.0637718515306,0.349555331669402,3.89845627893269,1.08142319825667,2.94327106845542,-0.126237987779405,1.87802173832793,7.68609445900389,0.717469613340463,0.150149509418482,0.319469473742817,0.0248382704591722,1.15484080962193,3.20389795860323,0.773743342446691,0.371007511298649,0.692904485773156,0.288710202405482,0.0747059244799337,0.366558504837207,0.00165383455630249,0.000122636981452176,1.02090084034111,1.01592278312892,1.00490003501728,0.704756821905043,0.125130212251947,0.17011296584301,1.19627831433559,1.16788834044418,0.277397800803424,0.754983731432114,-0.0323815322355385,0.000543205315872014,0.909721143211748,0.0371431654627662,1.02103289679982,-1.52826488386862e-06,0.67,0.1,1.025,0.7,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.0978869851237,0.520120548597678,0.439154794049482,0.198499387255581,0.453304549616494,0.882645885775975,-1.00885298208579,4.17629312263967,6.35708861401354
5,0.0107126042348007,0.242118760930935,0.177094628096754,0.00791332886593499,0.0105101812036965,0.0136102842011478,0.0795675962427782,0.0413904971242923,0.0344821118638761,0.727449469333477,2.78552713388655,0.471636268572789,2.06900720670536,0.349739737595384,3.90541086319052,1.08536051557589,2.94635458996528,-0.126304242350658,1.88806239060292,7.71278677702201,0.719895272970329,0.150228585009235,0.319236076762935,0.0248235091528139,1.15547371068043,3.21049129396177,0.774167386155889,0.371739368868108,0.693284226408258,0.288868427670108,0.0749761793156817,0.36682915585777,0.00163534282049225,-2.65216711887212e-05,1.02069806123027,1.01576616725597,1.00485534381168,0.704615674944489,0.124783650905437,0.170600674150074,1.19583029850697,1.16760884181941,0.277911992783915,0.754428840648603,-0.0323408334325188,0.000604264888420647,0.910038399128697,0.0369151999134656,1.02084140588532,-2.38614635003624e-06,0.67,0.1,1.025,0.7,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.09870871978101,0.520608849479071,0.439483487912402,0.198932383951688,0.453064114402628,0.880586115838453,-1.01218582269541,4.18150588290191,6.36199429447227
6,0.0105078894247479,0.242824121940486,0.176514223796303,0.0071074107756266,0.0104189256193508,0.013362564149072,0.0794522686491795,0.0413329401098584,0.0344342220823817,0.731547869046491,2.7953208642329,0.471977737802203,2.07106880174463,0.349091687461876,3.91231614289399,1.08925074869778,2.9493773727201,-0.126311978523899,1.89621062498454,7.72768897371692,0.71953404160285,0.150658235122262,0.319408103583381,0.0247765948626691,1.15626695065816,3.21706673283133,0.774698856940969,0.371896635198333,0.693760170394897,0.28906673766454,0.0752462278819955,0.367212688376869,0.00148923966775856,-0.000154065792417718,1.02050528916118,1.01556042887187,1.00486909508162,0.704553641493349,0.124363739151057,0.171082619355594,1.1957869258687,1.16760668744721,0.278415830663236,0.753869898248155,-0.0322857289113914,0.000614710019394523,0.910107451228965,0.0366776098873912,1.02064706193866,-3.43294194292302e-06,0.67,0.1,1.025,0.7,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.09955979405478,0.521199049654385,0.43982391762191,0.199226840812292,0.453348169354961,0.880616836998032,-1.0156656545239,4.18616440115007,6.36681126814979
7,0.010260271525641,0.243447627787879,0.175830908335098,0.00639179702907633,0.0103028447592606,0.0128970257916536,0.0795920114640313,0.041386684771224,0.0344717315174608,0.733325253682259,2.79624626869404,0.470422566442147,2.07005351923368,0.347668863518977,3.91875691261671,1.09284874201762,2.95215815297026,-0.126249982371173,1.90206450565284,7.73078307772837,0.716541887072982,0.151389139370206,0.319951480984334,0.024700439483031,1.15717415838268,3.22321125138215,0.775306686116392,0.371515144613671,0.694304495029605,0.289293539595669,0.0754986294172471,0.367680341962461,0.0012411662049549,-0.00025544173181087,1.02033500125219,1.01531157288327,1.00494767173258,0.704583331987593,0.123887527261148,0.171529140751259,1.19612413391422,1.16786499479535,0.278876380039046,0.753340464514741,-0.0322168445537868,0.000579856067575618,0.909941850662359,0.0364310878505116,1.02046418172238,-4.66761860165994e-06,0.67,0.1,1.025,0.7,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.10037613851763,0.521840817501677,0.440150455407052,0.199377936012588,0.454100269561825,0.882585540317845,-1.01906935397172,4.18993470175114,6.37121329490248
8,0.00997164061495977,0.243952608452026,0.175052598445924,0.005694713389087,0.0101661816670195,0.0122615579660308,0.0799566522421501,0.041538517847068,0.0345844737678117,0.732898863436349,2.78934203980192,0.467199871448453,2.06631594183548,0.34555481552289,3.924447982843,1.09596358167908,2.95459721408802,-0.126112812924096,1.9055000507869,7.72330950076418,0.71123972563273,0.152357404629595,0.32081482888206,0.0245978515854829,1.15816168176839,3.22862701593568,0.775968326784823,0.370667721849846,0.694897009061036,0.289540420442098,0.0757197989581248,0.36820780294152,0.000923957846291773,-0.000323536777247434,1.02019685800115,1.01502149881803,1.00509876804496,0.704719049048505,0.123362900710281,0.171918050241214,1.19679514097053,1.16835175461011,0.279265666529912,0.752869505969183,-0.0321351724990951,0.000506991156558301,0.909570066464692,0.0361674882949308,1.02030466711669,-6.08895784944917e-06,0.67,0.1,1.025,0.7,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.10110309609555,0.522488789594471,0.440441238438222,0.199394238007188,0.455237912633718,0.886221106020139,-1.02229124151574,4.19258883107708,6.37491863211199
9,0.00964422973730842,0.244319033608416,0.174171557511962,0.00492712978535659,0.0100105196891849,0.0115275900127214,0.0804846273785113,0.0417612689957608,0.0347514532102307,0.730753785783631,2.77700313233713,0.462745436336983,2.0606321464434,0.342883294359104,3.92929295976759,1.09849194643815,2.95670061128577,-0.125899597956329,1.90681272376254,7.70835324764069,0.704201145870416,0.153469111438832,0.321910613197422,0.0244720131306577,1.15920917461238,3.23318261407358,0.776670146990293,0.369492919915618,0.695525504767426,0.289802293653094,0.0759021198980698,0.368776891367261,0.000584840926586957,-0.000344037855441237,1.02009663286581,1.01469245088599,1.00532593100018,0.70497471485529,0.122786544092897,0.172238741051813,1.19770886816308,1.16900511368022,0.279564786257962,0.752476499346347,-0.0320412856043094,0.000406261132194684,0.909048669378773,0.0358730265609918,1.02017714795788,-7.69555699605346e-06,0.67,0.1,1.025,0.7,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.10169929590981,0.523106550627081,0.440679718363924,0.199305333588857,0.456627176002334,0.891025506234196,-1.02535337961036,4.19405199786874,6.37772860931271
