Time,n_MM,psi_o_MM,psi_y_MM,n_y_MM,n_m_MM,n_o_MM,mu_o_MM,mu_m_MM,mu_y_MM,s_o_MM,s_m_MM,s_y_MM,h_m_MM,h_y_MM,a_MM,a_o_MM,a_m_MM,a_y_MM,z_o_MM,z_m_MM,z_y_MM,c_o_MM,c_m_MM,c_y_MM,y_MM,k_MM,w_MM,inv_MM,b_MM,gov_MM,e_MM,t_MM,f_MM,nx_MM,tilde_R_MM,g_MM,q_MM,tilde_s_m_MM,tilde_s_y_MM,tilde_s_o_MM,Omega_m_MM,Omega_y_MM,eta_o_MM,eta_m_MM,eta_y_MM,walras_MM,gamma_MM,phi_MM,R_star,fy_target_MM,alpha,delta,beta,sigma,b_y,g_y,repl,x,omega,nu,Lambda_MM,w_indiv_MM,t_indiv_MM,e_indiv_MM,c_y_indiv_MM,c_m_indiv_MM,c_o_indiv_MM,a_y_indiv_MM,a_m_indiv_MM,a_o_indiv_MM
0,0.010574708476305,0.239211285055436,0.177873542381526,0.010574708476305,0.010574708476305,0.010574708476305,0.125053428974222,0.0628125404842528,0.056381676436448,0.423227048966509,0.916760309725282,0.127298098156959,2.54351508168653,0.353183519287899,2.52774724781168,0.699135513928982,1.96065291695576,-0.132041183073058,1.21096150042655,5.44524589185721,0.369259928162399,0.151434887984108,0.342029728028992,0.0208194937905984,0.980148163311586,1.93965834982473,0.656699269418763,0.220827012679991,0.588088897986952,0.245037040827897,0.0628359504530514,0.338987124879401,2.22044604925031e-16,-1.17477570586727e-17,1.06936158784905,1.01562758201869,1.05290719431188,0.705674057500615,0.125520744374379,0.168805198125006,1.04711336662327,1.03615477157662,0.276584422961685,0.775652280366691,-0.052236703328376,1.50525635136817e-16,0.906064588921509,0.0374556693326375,1.06936158784905,2.26541877275797e-16,0.67,0.1,1.025,0.35,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.930598570882267,0.480373511363078,0.372239428352907,0.165864964348061,0.484685138122275,0.8970984878793,-1.05194710030743,2.77841150048803,4.14167052729767
1,0.010853141779287,0.239505321306997,0.177969941004101,0.0111223897593218,0.010574708476305,0.0118168973602186,0.123693932331264,0.062364326679407,0.0560178430312769,0.427924250461997,0.926749387834615,0.128952745222144,2.55578532981119,0.355497784398635,2.52899827475393,0.700070554948207,1.96102796278245,-0.13210024297673,1.21544171158564,5.46695843558622,0.373259477606661,0.150342764933095,0.340943182528371,0.0209091909626133,0.979878187506751,1.94037539005913,0.656518385629523,0.222017494472504,0.587926912504051,0.244969546876688,0.06289585875766,0.33897095825911,0.00069597219074928,0.000695972190749046,1.06936156923334,1.01590740748818,1.05261715915363,0.705479683906136,0.125554177724367,0.168966138369498,1.04669637115623,1.03590517366799,0.276817331960444,0.775416884367439,-0.0522342163278829,3.55427310464112e-08,0.907306777805423,0.0375530873425437,1.06936158784905,-1.86157147606123e-07,0.67,0.1,1.025,0.35,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.930598570882267,0.480482947974176,0.372239428352907,0.166535206885079,0.483278527087583,0.889780439938346,-1.05213737504406,2.77970862594446,4.1432594820702
2,0.0109690016315083,0.240010564124261,0.177990698011931,0.0107118558991979,0.0105939882008201,0.0127258629788918,0.122496279051401,0.0619375583205859,0.055661069054203,0.432726235263867,0.93720337876248,0.130661836740952,2.56784556291912,0.357697435811221,2.53138129091983,0.701736169407113,1.96184689410173,-0.132201772589008,1.221013886252,5.48928149807592,0.377150076487417,0.149569657866737,0.339992693329076,0.0209925765242515,0.979717079059704,1.9423796143147,0.656410442970002,0.223583488781878,0.587830247435822,0.244929269764926,0.0630181762857144,0.338803411933525,0.00117142916930371,0.000439044939032858,1.06918042523639,1.01602384663967,1.05231823915603,0.705217990069712,0.125522242303079,0.169259767627209,1.04638128153991,1.03573198582166,0.277214725385274,0.775010426575374,-0.052225151960648,0.000210347853802143,0.908344048564192,0.0375003765632448,1.06925150080918,-7.44444876474297e-07,0.67,0.1,1.025,0.35,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.930790836610839,0.480423665737786,0.372316334644336,0.167241885892733,0.482110068257714,0.883669285167407,-1.05321391781546,2.78190137195422,4.1459123998839
3,0.0109620488228521,0.240656048704053,0.177855825626742,0.00983235923813774,0.0105981396023862,0.0133160429490999,0.121502370802724,0.0615560576383974,0.0553340151135405,0.437356102071279,0.947387155459898,0.132233927592968,2.57902901510064,0.359497955315475,2.53479600159481,0.703969724285751,1.96314902364602,-0.132322746336955,1.22724490589428,5.51103255159755,0.380461604741294,0.149113165584989,0.339237437259174,0.0210524681698057,0.979816754268748,1.94544688541166,0.656477225360061,0.224863572956986,0.587890052561249,0.244954188567187,0.063194086047741,0.338707145491884,0.0014590636219032,0.000226617500254642,1.0689387547272,1.01601685906697,1.05208761566106,0.704964137485113,0.125381978709659,0.169653883805228,1.04616544500401,1.03562852365193,0.277722437571697,0.774480085332104,-0.0522025229038012,0.000369304230353187,0.909153961203995,0.0373482080862865,1.06905841861143,-1.67431222379244e-06,0.67,0.1,1.025,0.35,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.93122073940098,0.480460107800926,0.372488295760392,0.167906651230604,0.481212332969686,0.878925741282637,-1.05535697951752,2.78475020112278,4.14944655846457
4,0.0108684409243029,0.241378246447015,0.177550906018483,0.00883862157384163,0.0105711651253484,0.0136038427517198,0.120746402228248,0.0612408648812951,0.0550569555528836,0.441531381631262,0.956543364806331,0.133521462936153,2.58872627373091,0.360739654311618,2.53897666707598,0.706583117226626,1.96482843729087,-0.132434887441508,1.23366946503343,5.53085821552503,0.382907977425741,0.148961149063655,0.338714540371908,0.021081747619479,0.98016386372685,1.94929928185804,0.656709788696989,0.225839363498971,0.58809831823611,0.245040965931712,0.0634061828881075,0.338755388022006,0.00157906698183469,4.42655209601658e-05,1.06865783525473,1.01592278312892,1.0519085239563,0.704756821905043,0.125130212251947,0.17011296584301,1.04604427052345,1.03558721713383,0.278294450854745,0.773866283486855,-0.0521607343416005,0.000481831720164154,0.909721143211748,0.0371431654627662,1.06880693336445,-2.97484152275297e-06,0.67,0.1,1.025,0.35,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.931824663891615,0.480669895619186,0.372729865556646,0.168478477260403,0.480611935697652,0.875660172788502,-1.05837659073776,2.78795234926524,4.15361118257558
5,0.0107126042348007,0.242118760930935,0.177094628096754,0.00791332886593499,0.0105101812036965,0.0136102842011478,0.120250745715379,0.0610069645683218,0.0548444704522423,0.44500488727619,0.964068992788171,0.134431195740497,2.5964681360775,0.361351088628501,2.54361367581682,0.709377353720421,1.96674927056719,-0.132512948470792,1.23983657827426,5.54757552452242,0.384348739541512,0.14909127241556,0.338440743841005,0.0210794036433055,0.980722227396235,1.95363056701081,0.657083892355477,0.22649157555223,0.588433336437741,0.245180556849059,0.0636369351379135,0.338932273604035,0.00154977236826424,-0.000111053516811985,1.06835920399227,1.01576616725597,1.0517767163661,0.704615674944489,0.124783650905437,0.170600674150074,1.04601293835941,1.03560177734684,0.278885650198181,0.77321068413316,-0.0520963343313414,0.000549728611888101,0.910038399128697,0.0369151999134656,1.06852064036456,-4.64474930795267e-06,0.67,0.1,1.025,0.35,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.932542257745322,0.481017220672442,0.373016903098129,0.168927607826443,0.480319635051644,0.873919597084402,-1.06194158857567,2.79123689764939,4.15811577096347
6,0.0105078894247479,0.242824121940486,0.176514223796303,0.0071074107756266,0.0104189256193508,0.013362564149072,0.120024241672038,0.0608622877977391,0.0547045248357675,0.447588795885015,0.969591700055389,0.1349196817662,2.60193104151849,0.361315838161921,2.54840182447338,0.712159216080023,1.9687808295537,-0.132538221160341,1.2453506909795,5.56036686985007,0.384744568594018,0.149472271530688,0.338416650191523,0.0210472698262382,0.981448519842512,1.95813950049179,0.657570508294483,0.226812185717534,0.588869111905507,0.245362129960628,0.0638695925162268,0.33921715682546,0.00139321207608078,-0.000236681433293505,1.0680635332591,1.01556042887187,1.05169865120242,0.704553641493349,0.124363739151057,0.171082619355594,1.04606637306252,1.03566726384855,0.279453267285379,0.772555101211348,-0.0520083684967268,0.000574694049193638,0.910107451228965,0.0366776098873912,1.06822209922843,-6.68238758201794e-06,0.67,0.1,1.025,0.35,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.933315037447991,0.481463918214185,0.373326014979196,0.169239602877116,0.480327728452622,0.873684726675893,-1.06573042966611,2.79436612573705,4.16266257064842
7,0.010260271525641,0.243447627787879,0.175830908335098,0.00639179702907633,0.0103028447592606,0.0128970257916536,0.120058938584999,0.0608067735833661,0.0546377898382173,0.449181796095796,0.973015785853267,0.134988661652031,2.60501352835014,0.360654255665279,2.55308232140128,0.714757586101485,1.97082375926123,-0.132499023961435,1.24991333285069,5.56892779397492,0.384132019139551,0.150063267450389,0.338628533824621,0.0209881257836762,0.982302616594562,1.96256228746137,0.658142753118356,0.226813776846067,0.589381569956737,0.24557565414864,0.0640893167969791,0.339588939804007,0.00113846398317682,-0.000326757978744323,1.06778920476067,1.01531157288327,1.05168623433335,0.704583331987593,0.123887527261148,0.171529140751259,1.04619786717065,1.03577900276548,0.279958691583857,0.771938978485492,-0.0518976700693489,0.00056001651991306,0.909941850662359,0.0364310878505116,1.06793196601123,-9.08574544197933e-06,0.67,0.1,1.025,0.35,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.934087883205767,0.481971293368585,0.373635153282307,0.169412742732643,0.480608209776078,0.874855822125297,-1.06951060280777,2.79714786000066,4.16697467830252
8,0.00997164061495977,0.243952608452026,0.175052598445924,0.005694713389087,0.0101661816670195,0.0122615579660308,0.120326780498096,0.0608315099903142,0.0546370460759011,0.449793188903255,0.974549592984084,0.134681931060693,2.60589472270719,0.359415909835175,2.55747805502396,0.717039472766265,1.97282828549748,-0.132389703239786,1.25336112574996,5.57356990781389,0.382612981994628,0.15081290870176,0.339048676084564,0.0209048443385473,0.98325380572319,1.96670281794024,0.658780049834537,0.226536663063672,0.589952283433914,0.245813451430797,0.0642844446213165,0.340028680375115,0.00082295364980027,-0.000374427779134138,1.0675505862403,1.01502149881803,1.05175169933192,0.704719049048505,0.123362900710281,0.171918050241214,1.0463976890003,1.03593152266299,0.280369746056846,0.77139597799322,-0.0517657240500658,0.000511689882982913,0.909570066464692,0.0361674882949308,1.06766760045079,-1.185245106379e-05,0.67,0.1,1.025,0.35,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.934812320915699,0.482502467946926,0.37392492836628,0.169458112756626,0.481111836755853,0.877237198131076,-1.0731727486751,2.79945360943648,4.17082134051778
9,0.00964422973730842,0.244319033608416,0.174171557511962,0.00492712978535659,0.0100105196891849,0.0115275900127214,0.120765106560375,0.0609140962605307,0.0546834778468197,0.449604476756232,0.974813404157528,0.134098372416139,2.60518346470217,0.357697756776683,2.56153477723167,0.718934051483397,1.97481035071253,-0.132209624964263,1.25573972117506,5.57548474857767,0.380387411896798,0.151649541088015,0.339625616939679,0.0208009076682383,0.984282343726637,1.97046694932133,0.659469170296847,0.226063968299166,0.590569406235982,0.246070585931659,0.0644483481525878,0.340521082362603,0.000498421674352935,-0.00036724431269466,1.06735627487545,1.01469245088599,1.05190126717063,0.70497471485529,0.122786544092897,0.172238741051813,1.04664851230675,1.03611570891325,0.280665348722744,0.770948092626165,-0.0516134413489089,0.00043896811257426,0.909048669378773,0.0358730265609918,1.06744143354297,-1.49797740430296e-05,0.67,0.1,1.025,0.35,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.935450813200039,0.48302595140948,0.374180325280016,0.169407061839781,0.481755742132388,0.880461272312689,-1.07674359548907,2.80124990173286,4.17405542500526
