Time,n_RoW,psi_o_RoW,psi_y_RoW,n_y_RoW,n_m_RoW,n_o_RoW,mu_o_RoW,mu_m_RoW,mu_y_RoW,s_o_RoW,s_m_RoW,s_y_RoW,h_m_RoW,h_y_RoW,a_RoW,a_o_RoW,a_m_RoW,a_y_RoW,z_o_RoW,z_m_RoW,z_y_RoW,c_o_RoW,c_m_RoW,c_y_RoW,y_RoW,k_RoW,w_RoW,inv_RoW,b_RoW,gov_RoW,e_RoW,t_RoW,tilde_R_RoW,g_RoW,q_RoW,tilde_s_m_RoW,tilde_s_y_RoW,tilde_s_o_RoW,Omega_m_RoW,Omega_y_RoW,eta_o_RoW,eta_m_RoW,eta_y_RoW,walras_RoW,gamma_RoW,phi_RoW,alpha,delta,beta,sigma,b_y,g_y,repl,x,omega,nu,w_indiv_RoW,t_indiv_RoW,e_indiv_RoW,c_y_indiv_RoW,c_m_indiv_RoW,c_o_indiv_RoW,a_y_indiv_RoW,a_m_indiv_RoW,a_o_indiv_RoW
0,0.010574708476305,0.239211285055436,0.177873542381526,0.010574708476305,0.010574708476305,0.010574708476305,0.0995025916069475,0.0469251313148666,0.040218438744802,0.567973090510672,1.80575614606082,0.284699664645008,2.82655142578935,0.445640594816501,3.2924499837408,0.893187836539753,2.53557838504298,-0.136316237841931,1.54535169557192,7.1303995274842,0.618915850855393,0.153766498653597,0.334594934154659,0.0248918292358146,1.08527878719674,2.64128271142275,0.727136787421813,0.300705828353482,0.651167272318041,0.271319696799184,0.0695757301321014,0.355055423858212,1.0377129724424,1.01562758201869,1.02174555990279,0.705674057500615,0.125520744374379,0.168805198125006,1.08740814996156,1.07226422136408,0.271283646205898,0.770119029162021,-0.0414026753679191,-1.66533453693773e-16,0.906064588921509,0.0374556693326375,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,1.03041450892671,0.503143654048672,0.412165803570683,0.19830848964353,0.474149404527837,0.910910921947602,-1.0860056520646,3.59312965822152,5.29123419456738
1,0.010853141779287,0.239505321306997,0.177969941004101,0.0111223897593218,0.010574708476305,0.0118168973602186,0.0981064821119735,0.0464154236568134,0.0398142094334412,0.576163789303706,1.83428809401633,0.289866844313515,2.84633119295081,0.449672902579852,3.29408869480392,0.894365288479604,2.53612626166806,-0.13640285534374,1.55327318141797,7.17802315848132,0.628146029457747,0.152386167831955,0.333170987604728,0.0250091379081205,1.08497985380583,2.64310078252042,0.726936502049909,0.303168597009579,0.650987912283501,0.271244963451459,0.0696420641972993,0.355043124291309,1.0377129724424,1.01590740748818,1.02146412634999,0.705479683906136,0.125554177724367,0.168966138369498,1.08668909590361,1.07181814204571,0.271506134577175,0.769902239021687,-0.0414083735988622,-5.69739301927855e-15,0.907306777805423,0.0375530873425437,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,1.03041450892671,0.503264845736575,0.412165803570683,0.199190009933592,0.472261633049459,0.901874004474877,-1.08640634518104,3.59489623801199,5.29316286156574
2,0.0109690016315083,0.240010564124261,0.177990698011931,0.0107118558991979,0.0105939882008201,0.0127258629788918,0.0969027835076144,0.0459627206208002,0.0394502682921975,0.584238568389667,1.86159330202234,0.294761685787509,2.86411278894999,0.453190953143896,3.29740658359549,0.896518656867425,2.53744079569764,-0.136552868969574,1.56237043364494,7.22314195831787,0.63651027098499,0.151398043930906,0.331995256216596,0.0251105010231599,1.08491548423953,2.64645729305177,0.726893374440484,0.305182812008983,0.650949290543717,0.271228871059882,0.0697848355430592,0.354893189871794,1.03762585353753,1.01602384663967,1.02126131878627,0.705217990069712,0.125522242303079,0.169259767627209,1.08612225807963,1.07148230536785,0.271885991050196,0.76952621138828,-0.0414122024384763,1.27891916519151e-15,0.908344048564192,0.0375003765632448,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,1.03073572239504,0.503238991161743,0.412294288958017,0.200048219044155,0.470769692338361,0.894471533627276,-1.08787786502301,3.59809425089511,5.2967026330911
3,0.0109620488228521,0.240656048704053,0.177855825626742,0.00983235923813774,0.0105981396023862,0.0133160429490999,0.095928623096935,0.0455853988834008,0.0391429970119472,0.591740214063287,1.88610886057471,0.298943421281394,2.8791093540427,0.4558523254471,3.30207427165351,0.899417140010988,2.53938520451913,-0.136728072876602,1.571969081957,7.26358646652194,0.643246260162567,0.150796828951793,0.331113485236545,0.0251785863106751,1.08511063084071,2.65100789314909,0.727024122663273,0.306744072631515,0.651066378504423,0.271277657710176,0.0699851010690695,0.354893684812124,1.03747508046621,1.01601685906697,1.0211199461975,0.704964137485113,0.125381978709659,0.169653883805228,1.08570950552964,1.07125225942638,0.272379439735087,0.769027282701633,-0.0414067224367198,6.51653786541782e-16,0.909153961203995,0.0373482080862865,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,1.03129235092278,0.503420906031009,0.412516940369112,0.20081503394503,0.469688410559093,0.888849848700874,-1.09049222451033,3.60214806611032,5.30148275911896
4,0.0108684409243029,0.241378246447015,0.177550906018483,0.00883862157384163,0.0105711651253484,0.0136038427517198,0.0952129573407327,0.0452986028167582,0.0389060943695126,0.598222423375841,1.90628578696937,0.302081108104478,2.89079113730214,0.457478306807973,3.30767634947823,0.902802145392927,2.54176267489013,-0.136888470804823,1.58136805882221,7.29710984179751,0.647877320468708,0.150566728077799,0.3305488787036,0.0252063763610798,1.08554524448865,2.65634920278504,0.727315313807398,0.307836950224012,0.651327146693192,0.271386311122163,0.0702232380243559,0.355036677739675,1.03728135216733,1.01592278312892,1.02102381144818,0.704756821905043,0.125130212251947,0.17011296584301,1.08544918091408,1.07112173501654,0.272941500363053,0.76844358580076,-0.0413850861638131,-8.08545040680486e-16,0.909721143211748,0.0371431654627662,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,1.03200890179591,0.503771892239323,0.412803560718363,0.201441170021572,0.469025440307319,0.885098483420427,-1.09396818195434,3.60658115805029,5.30707427807757
5,0.0107126042348007,0.242118760930935,0.177094628096754,0.00791332886593499,0.0105101812036965,0.0136102842011478,0.094772891911595,0.0451119170834703,0.0387483517577258,0.603311472639566,1.9209645115666,0.303981044482753,2.89873947309906,0.458009825869858,3.31376338237886,0.906406013931616,2.54435782120132,-0.13700045275408,1.58991911430378,7.32193180204759,0.650183975855399,0.150681230488818,0.330306379435341,0.0251935582568678,1.08617602106835,2.66205776973784,0.727737934115794,0.308450847620233,0.65170561264101,0.271544005267087,0.0704796027562217,0.355301550861065,1.03706378717099,1.01576616725597,1.02096704989944,0.704615674944489,0.124783650905437,0.170600674150074,1.08533815007997,1.07108537627083,0.273527681233375,0.767815177884335,-0.0413428591177095,2.82988964293157e-15,0.910038399128697,0.0369151999134656,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,1.03281541980049,0.504248718124326,0.413126167920194,0.201897909494247,0.468775236175896,0.883239361388846,-1.09790386609141,3.61098668632623,5.31302715213347
6,0.0105078894247479,0.242824121940486,0.176514223796303,0.0071074107756266,0.0104189256193508,0.013362564149072,0.0946123169318948,0.0450286735772796,0.0386730550313734,0.606747304806324,1.92954499867519,0.30457874390943,2.90273919936126,0.457464350008555,3.31990656350667,0.909971747698937,2.54697484854914,-0.137040032741405,1.59708763421453,7.33703963458429,0.650146202372428,0.151104159719196,0.330377163239548,0.0251431411958482,1.08695430177371,2.66773398244245,0.728259382188386,0.308591262175691,0.652172581064226,0.271738575443428,0.0707355780099263,0.355662806947544,1.03684014318146,1.01556042887187,1.02095366627589,0.704553641493349,0.124363739151057,0.171082619355594,1.08537152535802,1.07113859138489,0.274095589889438,0.767182690102723,-0.0412782799921606,1.11914863430685e-16,0.910107451228965,0.0366776098873912,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,1.03364646678256,0.50480586005303,0.413458586713024,0.202174213862357,0.468916976341633,0.883223323844057,-1.10192917708072,3.61501906817295,5.3189023591436
7,0.010260271525641,0.243447627787879,0.175830908335098,0.00639179702907633,0.0103028447592606,0.0128970257916536,0.0947188564884646,0.0450449503662031,0.0386772588195561,0.608426333395609,1.93209793916329,0.303930552846559,2.90287333609115,0.455913487837976,3.3257462574993,0.913272923406642,2.54946631191513,-0.136992977822474,1.60251260050174,7.34242129280835,0.647910464939898,0.151788159903064,0.330739004138302,0.0250594020778377,1.08783727387734,2.67304389317289,0.728850973497821,0.308291389288803,0.652702364326407,0.271959318469336,0.0709748162035724,0.356095674998289,1.0366264206554,1.01531157288327,1.02099340571052,0.704583331987593,0.123887527261148,0.171529140751259,1.08554030673647,1.07127566859273,0.274606916116074,0.766584734474179,-0.0411916505902523,1.88354126204854e-15,0.909941850662359,0.0364310878505116,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,1.03444254271779,0.505398948331295,0.413777017087118,0.202275423780264,0.469410769632181,0.88491179538512,-1.10578506852995,3.61840281506975,5.32430186151875
8,0.00997164061495977,0.243952608452026,0.175052598445924,0.005694713389087,0.0101661816670195,0.0122615579660308,0.0950607462898796,0.0451486245149187,0.0387511195040742,0.608435325995932,1.92941910857455,0.302205294879866,2.89959203942361,0.453473155681864,3.33103403188559,0.916133728688596,2.55175374523662,-0.13685344203963,1.6060574549129,7.33920706711863,0.64377189098718,0.152673019693546,0.331355105594913,0.0249468824650802,1.08879447291477,2.67775734813672,0.729492296852898,0.30762084693254,0.653276683748864,0.272198618228693,0.0711846194651698,0.356579365141845,1.03643600623483,1.01502149881803,1.02109758999364,0.704719049048505,0.123362900710281,0.171918050241214,1.08582899447239,1.07148793386504,0.275029831578998,0.766054540638085,-0.0410843722170822,2.75689742573488e-16,0.909570066464692,0.0361674882949308,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,1.03515336762621,0.505987975808643,0.414061347050483,0.202223539827976,0.470194620171402,0.888056952014838,-1.10935655088908,3.62095185121211,5.32889785222197
9,0.00964422973730842,0.244319033608416,0.174171557511962,0.00492712978535659,0.0100105196891849,0.0115275900127214,0.0955722509392973,0.0453142191731212,0.0388738742760104,0.607148264253063,1.92329962802435,0.299721499305137,2.89392571708032,0.450334044096056,3.33568376267135,0.918459329764413,2.55384728015103,-0.1366228472441,1.60792238148408,7.3301600424953,0.638243702201023,0.15367276112037,0.332160479780929,0.0248110060439293,1.08980905740543,2.68179832822809,0.73017206846164,0.306712546108846,0.65388543444326,0.272452264351358,0.0713579736537624,0.357099005920297,1.03627856833053,1.01469245088599,1.02127355675672,0.70497471485529,0.122786544092897,0.172238741051813,1.08620764200834,1.07175862958931,0.275343646205871,0.765614327322263,-0.0409579735281334,-1.96886879358631e-16,0.909048669378773,0.0358730265609918,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,1.03574220901174,0.506541579996382,0.414296883604696,0.202066164718815,0.471166515311278,0.892207874848216,-1.11268582606849,3.62260833805261,5.33247818786669
10,0.00928597473829198,0.244553329598292,0.173167025720249,0.00401010756946008,0.00983431150239222,0.010802717959024,0.0961370906357757,0.0454972157012479,0.0390094583018542,0.605324651936264,1.91676723088023,0.296985810118326,2.88769951112816,0.446802996830847,3.33982985539961,0.920276282789015,2.55586304644578,-0.136309473835187,1.60876674982551,7.32013347974357,0.632138722680194,0.154662154760393,0.333045692529887,0.0246593895662088,1.09087611781799,2.68530418470882,0.730886998938054,0.305789851507003,0.654525670690794,0.272719029454498,0.0714963396601618,0.35764499769756,1.03615812372771,1.01433240461198,1.02151732412026,0.705357721816242,0.12214469875573,0.172497579428028,1.08662264685038,1.0720569311921,0.275545857918313,0.765267440886105,-0.0408132988044184,1.66290630523619e-15,0.908477493310056,0.0355327581835557,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,1.03619337583216,0.507040593213684,0.414477350332864,0.201886695185386,0.472165657550782,0.896604782937973,-1.11596717028043,3.62349906635265,5.33500983515532
11,0.00891340424209582,0.244697220950451,0.172012114002334,0.0028998053403364,0.00963340514404987,0.0102274576400443,0.0965884588185618,0.0456346257145302,0.0391071573331366,0.604097389507681,1.91392295994994,0.29466586844411,2.88348423676152,0.443302976056112,3.34386605732328,0.921766261166955,2.55802780743826,-0.135928011281933,1.60973309326119,7.31586205730668,0.626543155479342,0.155481638540262,0.333856627187296,0.0245023222610533,1.09200131230154,2.68866526994235,0.73164087924203,0.305160396237542,0.655200787380923,0.273000328075384,0.0716121959537079,0.358211305211708,1.03607036987067,1.01395797126331,1.02180800312641,0.705861093258997,0.121416658843479,0.172722247897524,1.08699573729971,1.07233689579428,0.275658846788716,0.764991110167266,-0.0406499569559825,-7.91382882619693e-17,0.908000266372334,0.0351355558100036,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,1.03652246345525,0.507481299979047,0.414608985382099,0.201803628056014,0.472977800272094,0.900183042039318,-1.11951698042656,3.62398187386658,5.33669676250299
