tag,region,beta,sigma,rstar_ini,rstar_fin,ky_ini,ky_fin,nfa_ini,nfa_fin,rstar_ext,rstar_extt,ky_ext,ky_extt,nfa_ext,nfa_extt,npv_1973,pk_1973,pka_1973,mn_1973,mna_1973,npv_1990,pk_1990,pka_1990,mn_1990,mna_1990,npv_2006,pk_2006,pka_2006,mn_2006,mna_2006,npv_2022,pk_2022,pka_2022,mn_2022,mna_2022,C_star,C_boomer,C_BGP,break_year,S_pct_boomer,S_pct_BGP,eff_boomer,eff_BGP
beta_low_P,A,1.015,.5,4.841618356741995,1.594267535120997,2.26844281673792,2.83988454266635,-.366053021333753,.0318740867772846,.6596581511939981,2055,3.08939337730408,2058,.0345305145502367,2066,39.9174995422363,.564090132713318,30,.192131325602531,0,38.3899116516113,.528030693531036,18,.19720521569252,0,37.0288047790527,.483326703310013,28,.209937572479248,0,36.1556510925293,.469094544649124,80,.26298001408577,0,37.04433918530482,39.91749954223633,43.11052867869471,2006,-7.756003982278655,-16.375483177838,-7.197746326498844,-14.07124820621327
sigma_low_P,A,1.025,.35,6.936158784905011,2.157963377427996,1.98789837634992,2.70078512523192,-.379468878958217,.0472606308334937,.8397483140919926,2057,3.02493596076965,2059,.0510115200112772,2066,39.3630599975586,.555334270000458,30,.17107555270195,0,38.0056228637695,.521874964237213,19,.177240043878555,0,36.8602104187012,.480964630842209,63,.194109857082367,0,36.1749572753906,.475371450185776,80,.250842869281769,0,37.39795798534244,39.36305999755859,42.53495757003795,1998,-5.254570369485374,-13.73604298979499,-4.99224910954087,-12.07712403671015
base_P,A,1.025,.5,3.771297244239991,.1064771112039953,2.44474881000769,3.26116905716694,-.37861398745393,-.153761460105704,-.5535324709640022,2058,3.51963448524475,2060,-.153761460105704,2170,38.9794006347656,.5614443421363829,30,.203143462538719,0,37.107536315918,.522902250289917,18,.209423094987869,0,35.5518646240234,.463783949613571,28,.22371344268322,0,34.7371711730957,.447795510292053,80,.278828948736191,0,34.84345218818467,38.97940063476563,43.07123714830055,2019,-11.8700886371293,-23.61357619701796,-10.61060041772964,-19.10273654733069
sigma_high_P,A,1.025,.7,2.14204094138899,-.9204745217953003,2.77279270533123,3.63387541593144,-.373562709709745,-.366327689416905,-1.315617790169499,2059,3.85017561912537,2060,-.470506510850932,2013,38.2183685302734,.558347165584564,30,.200072750449181,0,36.1511726379395,.516212582588196,17,.206481114029884,0,34.4320602416992,.450959891080856,28,.220115587115288,0,33.6303939819336,.430985391139984,47,.281436443328857,0,33.0919383991692,38.21836853027344,42.588140314734,2034,-15.49147694848661,-28.69642055094093,-13.41352425089392,-22.29776140819054
repl_P,A,1.0305,.5,3.791529798547999,-.2276534279509024,2.4411622961262,4.21962502645222,-.383989986095031,.528556386096776,-.8483003919317,2060,4.2196249961853,2170,.528556386096776,2170,38.0318222045898,.563297092914581,30,.20196270942688,0,35.2459716796875,.521032273769379,18,.20883409678936,0,32.8330459594727,.443475872278214,27,.224083751440048,0,31.2830867767334,.406617045402527,13,.278635025024414,0,30.90770781188946,38.03182220458984,43.23139729128093,2027,-23.04963725261849,-39.87254466998745,-18.73198279687114,-28.50634088081387
by_P,A,1.0305,.5,3.791529798547999,-.2276534279509024,2.4411622961262,3.37341073073728,-.383989986095031,-.585362162192553,-.8483003919317,2060,3.70663380622864,2059,-.647161467654303,2052,38.8830146789551,.563297092914581,30,.20196270942688,0,36.9621887207031,.521032273769379,18,.20883409678936,0,35.4107322692871,.461626499891281,28,.224083751440048,0,34.6315689086914,.45009446144104,80,.278635025024414,0,34.42699451717068,38.88301467895508,43.23139729128093,2027,-12.94339016351931,-25.57412554217207,-11.46006861498874,-20.36576036344297
beta_high_P,A,1.035,.5,2.768882458234989,-1.546134068955196,2.63667260312234,3.90211758912124,-.394864061652792,-.673193829664169,-1.886079549287301,2063,4.1791558265686,2062,-.716665844371271,2049,37.4816474914551,.5550580024719241,30,.211360082030296,0,35.1098289489746,.514451503753662,17,.219603657722473,0,33.2961235046387,.435656756162643,27,.237160891294479,0,32.5247573852539,.419616103172302,47,.291451901197433,0,32.07462463626137,37.48164749145508,42.80058784874327,2036,-16.85763333326179,-33.4406498548433,-14.42578759758728,-25.06031751336528
beta_low_A,B,1.015,.5,4.841618356741995,1.594267535120997,2.24665462967606,2.8332835130857,.824583082947455,-.0511023034749688,.6596581511939981,2055,3.16053438186646,2056,-.0619289759049767,2096,41.1264801025391,.573011875152588,30,.183232069015503,0,38.759349822998,.532824099063873,19,.193327784538269,0,36.9734916687012,.489377975463867,16,.220538407564163,0,35.542652130127,.459165841341019,80,.254759162664413,0,36.78612699190749,41.12648010253906,47.22511946492239,2008,-11.79888556222217,-28.37752492190318,-10.55367028690501,-22.10474550682442
sigma_low_A,B,1.025,.35,6.936158784905011,2.157963377427996,1.96880479313756,2.69475710993314,.83954978445971,-.0247130003020311,.8397483140919926,2057,3.12539291381836,2057,-.0361476859669312,2102,41.3551864624023,.582062184810638,29,.161337554454803,0,38.7707672119141,.5393191576004031,19,.173104554414749,0,36.9634475708008,.489147514104843,16,.20529593527317,0,35.6091117858887,.465264230966568,80,.244887605309486,0,37.51800465771062,41.35518646240234,48.56798145022331,2001,-10.22757431977951,-29.45246380539847,-9.278598727103461,-22.75156690182331
base_A,B,1.025,.5,3.771297244239991,.1064771112039953,2.42126721990605,3.25337587020925,.871769111316348,-.211181719071355,-.5535324709640022,2058,3.59187126159668,2058,-.222968173336383,2093,39.6705055236816,.5574297904968259,29,.193867310881615,0,37.1801681518555,.51627379655838,19,.20442321896553,0,35.4559173583984,.470910578966141,16,.233211129903793,0,34.227783203125,.441137611865997,80,.270393788814545,0,34.38286065535102,39.67050552368164,46.48164429396692,2019,-15.37872266183998,-35.18841442163925,-13.32890720329772,-26.02916446350041
