cohort,age,year,pi_y,pi_m,pi_o,pi_alive,exp_c_uncond,exp_c_cond,exp_a_uncond,exp_a_cond,exp_ann_cond,exp_a_own_cond,npv
1973,0,1973,1,0,0,1,.19386731,.19386731,-1.0816714,-1.0816714,0,-1.0816714,39.670506
1973,1,1974,.80000001,.2,0,1,.25033826,.25033826,-.02654941,-.02654941,0,-.02654941,39.670506
1973,2,1975,.63999999,.35500002,.0049999999,1,.29802829,.29802829,.83018279,.83018279,0,.83018279,39.670506
1973,3,1976,.51199996,.47412503,.013457707,.99958271,.33846241,.33860371,1.5245374,1.5251739,.0028928134,1.5222811,39.670506
1973,4,1977,.40959996,.56467187,.024179449,.99845129,.37287679,.37345517,2.0854526,2.0886874,.01059741,2.07809,39.670506
1973,5,1978,.32767996,.63247508,.0362444,.99639946,.40223354,.40368703,2.5362713,2.5454364,.024323868,2.5211124,39.670506
1973,6,1979,.26214397,.68219918,.048947938,.99329108,.42721245,.43009794,2.896034,2.9155946,.044756219,2.8708384,39.670506
1973,7,1980,.20971517,.71757299,.061761919,.98905009,.4481881,.45315003,3.1805356,3.2157476,.072161071,3.1435866,39.670506
1973,8,1981,.16777214,.74157667,.074307278,.98365611,.46528548,.47301641,3.4030969,3.459641,.10645054,3.3531904,39.670506
1973,9,1982,.13421771,.75659168,.086330891,.97714031,.47854868,.48974407,3.5750785,3.6587155,.14724521,3.5114703,39.670506
1973,10,1983,.10737417,.76452041,.09768644,.96958101,.48797309,.50328243,3.706255,3.8225327,.1939314,3.6286013,39.670506
1973,11,1984,.085899338,.76688224,.10831559,.96109718,.49358538,.51356447,3.8050871,3.9591076,.24572787,3.7133799,39.670506
1973,12,1985,.068719469,.76489007,.11821812,.95182765,.49572939,.52081841,3.8786728,4.0749741,.30181384,3.7731602,39.670506
1973,13,1986,.054975577,.75951171,.12741533,.94190264,.49517384,.5257166,3.9325368,4.1750989,.36147651,3.8136225,39.670506
1973,14,1987,.043980461,.75151902,.13592532,.9314248,.49283984,.52912468,3.9706428,4.2629771,.42417994,3.8387971,39.670506
1973,15,1988,.035184368,.74152714,.14376006,.92047155,.48942059,.53170639,3.995775,4.3410087,.48952597,3.8514826,39.670506
