cohort,age,year,pi_y,pi_m,pi_o,pi_alive,exp_c_uncond,exp_c_cond,exp_a_uncond,exp_a_cond,exp_ann_cond,exp_a_own_cond,npv
1973,0,1973,1,0,0,1,.20314346,.20314346,-1.0808049,-1.0808049,0,-1.0808049,38.979401
1973,1,1974,.80000001,.2,0,1,.25508738,.25508738,-.20511344,-.20511344,0,-.20511344,38.979401
1973,2,1975,.63999999,.35500002,.0049999999,1,.29849464,.29849464,.50346351,.50346351,0,.50346351,38.979401
1973,3,1976,.51199996,.47412503,.013409319,.99953431,.33496323,.33511931,1.0755498,1.076051,.0023066353,1.0737444,38.979401
1973,4,1977,.40959996,.56467187,.02400206,.99827391,.36579025,.36642271,1.5357318,1.5383872,.0084242597,1.5299629,38.979401
1973,5,1978,.32767996,.63247508,.035833623,.99598867,.39196789,.39354655,1.9038426,1.9115102,.019291908,1.8922184,38.979401
1973,6,1979,.26214397,.68219918,.048180249,.99252337,.41420168,.41732183,2.1959951,2.2125375,.03543565,2.1771019,38.979401
1973,7,1980,.20971517,.71757299,.060497396,.98778558,.43291983,.43827307,2.4254289,2.4554205,.057055492,2.398365,38.979401
1973,8,1981,.16777214,.74157667,.072395109,.98174393,.44824761,.45658302,2.6032474,2.6516562,.084059313,2.5675969,38.979401
1973,9,1982,.13421771,.75659168,.083623126,.97443253,.4600887,.47216067,2.7390306,2.8108981,.11608052,2.6948175,38.979401
1973,10,1983,.10737417,.76452041,.094052926,.96594751,.46834815,.48485878,2.8411713,2.9413309,.15253118,2.7887998,38.979401
1973,11,1984,.085899338,.76688224,.10364833,.9564299,.4731589,.4947136,2.9169095,3.0497892,.19270836,2.8570809,38.979401
1973,12,1985,.068719469,.76489007,.11243129,.94604081,.47491309,.50200063,2.9722581,3.1417863,.2359089,2.9058774,38.979401
1973,13,1986,.054975577,.75951171,.12045453,.93494183,.47412667,.50711888,3.0120313,3.2216244,.28150293,2.9401214,38.979401
1973,14,1987,.043980461,.75151902,.12777643,.92327589,.47142744,.51060301,3.039875,3.2924883,.3289879,2.9635005,38.979401
1973,15,1988,.035184368,.74152714,.13443735,.91114885,.46755749,.51315159,3.0582728,3.3565018,.37802601,2.9784758,38.979401
1973,16,1989,.028147494,.73002583,.14045171,.89862502,.46319175,.51544499,3.0686998,3.4148836,.42842555,2.9864581,38.979401
1973,17,1990,.022517996,.71740466,.1458182,.88574088,.45872286,.51789737,3.0719817,3.4682622,.48007393,2.9881883,38.979401
1973,18,1991,.018014397,.70397317,.15052578,.87251335,.45438102,.52077258,3.0685341,3.5168908,.53289956,2.9839911,38.979401
1973,19,1992,.014411518,.68997675,.15456194,.8589502,.45023772,.52417207,3.0585842,3.5608399,.58683598,2.9740038,38.979401
1973,20,1993,.011529215,.67560965,.15791902,.8450579,.44625789,.52807963,3.0423238,3.6001365,.64179844,2.958338,38.979401
1973,21,1994,.0092233717,.66102523,.16059636,.83084494,.44237024,.53243417,3.0199785,3.6348281,.697676,2.9371521,38.979401
