Time,n_A,psi_o_A,psi_y_A,n_y_A,n_m_A,n_o_A,mu_o_A,mu_m_A,mu_y_A,s_o_A,s_m_A,s_y_A,h_m_A,h_y_A,a_A,a_o_A,a_m_A,a_y_A,z_o_A,z_m_A,z_y_A,c_o_A,c_m_A,c_y_A,y_A,k_A,w_A,inv_A,b_A,gov_A,e_A,t_A,f_A,nx_A,tilde_R_A,g_A,q_A,tilde_s_m_A,tilde_s_y_A,tilde_s_o_A,Omega_m_A,Omega_y_A,eta_o_A,eta_m_A,eta_y_A,walras_A,gamma_A,phi_A,R_star,fy_target_A,alpha,delta,beta,sigma,b_y,g_y,repl,x,omega,nu,Lambda_A,w_indiv_A,t_indiv_A,e_indiv_A,c_y_indiv_A,c_m_indiv_A,c_o_indiv_A,a_y_indiv_A,a_m_indiv_A,a_o_indiv_A
0,0.0151473707256848,0.224588712641349,0.200736853628425,0.0151473707256848,0.0151473707256848,0.0151473707256848,0.101720684722269,0.0476308371882791,0.0407366774776927,0.52097826182806,1.76955954400664,0.314966866571548,2.83725921601491,0.505008519179905,2.90668240441411,0.749539417116666,2.30936712365009,-0.152224136352638,1.34209109081027,6.86608509839304,0.696108392472481,0.136518424716877,0.327037381442429,0.0283571430736666,1.07900408108206,2.63789394321881,0.722932734324979,0.310849465143838,0.647402448649235,0.269751020270515,0.0649450128513351,0.34579456760395,-0.37861398745393,0.00649064643473372,1.0377129724424,1.02022310757931,1.01714317655927,0.701594094475625,0.140835791049321,0.157570114475054,1.08902028665486,1.07342310848684,0.25786766933271,0.794502736227068,-0.0523704055597782,-1.51788304147971e-16,0.903832782801923,0.0431880062659022,1.0377129724424,-0.350892081032951,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.03041450892671,0.492869837883112,0.412165803570683,0.201348981408681,0.466134740895814,0.866397953518593,-1.08086257916732,3.29160000324136,4.75686280747947
1,0.0155866455234307,0.224919118022668,0.201023215445545,0.0165955325378835,0.0151473707256848,0.0166408124493351,0.100118428812248,0.0470756439611691,0.0403078139966228,0.528975049413973,1.79610820407218,0.320535936522198,2.85781062182474,0.509896332122747,2.90812303172229,0.750640368176506,2.3097788876681,-0.152296224122307,1.34973648946662,6.91221832858858,0.706618283294529,0.135133496882664,0.32539713099449,0.0284822387718919,1.07853737614697,2.63871521275188,0.722620042018467,0.312677258341784,0.647122425688179,0.269634344036741,0.0650124250065188,0.345743526047539,-0.377714606717763,0.00722522460017761,1.03771773837181,1.02066457875105,1.01670789794786,0.701290631836264,0.140975697773564,0.157733670390172,1.08807732282645,1.07279979678637,0.25811850461185,0.794250746087756,-0.0523692506996059,-1.23174807837733e-05,0.905326224525573,0.0434787057116278,1.0377129724424,-0.350844422874474,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.03041450892671,0.493010330313756,0.412165803570684,0.202036515666979,0.463997544274145,0.856719409041809,-1.08030126133461,3.29361149687706,4.75891017003352
2,0.0157993232245011,0.225438053486518,0.201339559435646,0.016802239102347,0.0152046430891088,0.0175469326063169,0.0989401462569733,0.0466559980136052,0.0399792869829686,0.535753104659114,1.81746183839309,0.325226683490717,2.87334937270602,0.513908673518402,2.91060257325374,0.752449099509006,2.310580731826,-0.15242725808126,1.35736061076603,6.94872445295943,0.715305503073069,0.134297457474628,0.324199674874063,0.0285974041452109,1.07815054392436,2.64077910637648,0.722360864429319,0.314504127936893,0.646890326354614,0.269537635981089,0.0651390508767138,0.345493699589584,-0.377066859477353,0.00682598530270093,1.03757671905641,1.02087831984062,1.01635689473589,0.700880074752444,0.14111488546788,0.158005039779676,1.08742687430739,1.07237978609401,0.258520042009889,0.793849614871461,-0.0523696568813501,0.000188258209772399,0.906395865414775,0.0435822832201476,1.03762585353753,-0.350701495431892,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.03064830981886,0.492942675980074,0.412259323927542,0.20265334908074,0.462560838226957,0.849956796706569,-1.08016427590806,3.29668486101865,4.76218417183545
3,0.0158432476742568,0.226036348753291,0.201549795800156,0.0163280425211521,0.0152679118871293,0.0179623548917329,0.0981716309790344,0.0463727929256576,0.0397539554984476,0.541009358973704,1.83300409326059,0.328664552756043,2.8838212650867,0.516689496327616,2.91374988045254,0.754659483519719,2.31168084162725,-0.152590444694428,1.36430149061241,6.97502910852733,0.721443851115308,0.133935702416324,0.323451580415213,0.0286802467260775,1.07800411037314,2.64370943826833,0.722262753950002,0.315715609402755,0.646802466223882,0.269501027593284,0.065303054297342,0.34533408208758,-0.37676202403967,0.00639146991122872,1.03740225180033,1.02092246391263,1.01614205629734,0.700483122377741,0.141182230276689,0.158334647345569,1.08704320276058,1.0721421475849,0.258999404376543,0.793369690754394,-0.0523690951309369,0.000328473908254083,0.907067146148746,0.0435553927747845,1.03747508046621,-0.350463439757336,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.03109230026604,0.492994150830312,0.412436920106415,0.203143459838181,0.461754994634674,0.845902679304331,-1.08080488879784,3.30012354013671,4.76623086716236
4,0.0157579742843718,0.226629897130591,0.201586183314145,0.015493261778603,0.0153099591600312,0.0179760594666418,0.097785192166568,0.0462201389201806,0.0396286314710266,0.544574526366767,1.84260286800238,0.330685780855062,2.88948734691348,0.518094522771452,2.91717333966573,0.756998064208994,2.31292735696019,-0.152752081503455,1.37006356201274,6.991139709907,0.724749034495595,0.133971928535314,0.323131448409113,0.0287208123725369,1.07810987237321,2.64712532547596,0.722333614490051,0.316352592766682,0.646865923423926,0.269527468093303,0.0654809570983394,0.345324304111889,-0.376817909234153,0.00599007147556333,1.03721828471644,1.02083676415579,1.01604714988316,0.700174163904251,0.141145437356631,0.158680398739118,1.08689835511815,1.07206604222795,0.259497114532845,0.792865931366657,-0.0523630458995022,0.000415550720698556,0.907374379082544,0.0434326229077869,1.03728135216733,-0.350130490783014,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.03164848366046,0.493197724100988,0.412659393464184,0.203483817191825,0.461501530715294,0.844287823826136,-1.08223180546388,3.30336004411109,4.77058332487274
5,0.0155474717451149,0.227146432097903,0.20139351308086,0.0143468258656663,0.0153172366628291,0.0176313481824928,0.0977830433624522,0.0462002046964517,0.0396054268920516,0.546215718138775,1.84602928852338,0.331147202345506,2.89028522892872,0.517953879045146,2.9205549289894,0.759214752839222,2.31421914072004,-0.152878964569861,1.37414595464548,6.99665728841412,0.72493341420336,0.134368173339294,0.323246998852546,0.028711297382568,1.07847928930014,2.65070020147916,0.722581123831095,0.316432174707376,0.647087573580085,0.269619822325035,0.0656526896718104,0.345457755220524,-0.377232846069847,0.00564737633154716,1.03704520797423,1.02062520910384,1.01608817685859,0.700015427202397,0.140978566095089,0.159006006702514,1.08699001645905,1.07215003681074,0.259955649292037,0.792390212461807,-0.0523458617538439,0.000453446361773963,0.907319335881688,0.0432093585317614,1.03706378717099,-0.349702977089368,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.03223599902488,0.493500202704306,0.412894399609952,0.203657181214358,0.461771250020016,0.845050926853886,-1.084412821072,3.30595448441585,4.77475517173164
6,0.0152036612430171,0.227514744658183,0.20091961414433,0.0128896510022909,0.0152787026161718,0.016924952988254,0.0982094335100825,0.0463291272415744,0.0396970605547408,0.545536441115575,1.84244657746645,0.329800259109447,2.88566064863037,0.516013005169588,2.92360112720884,0.761051501482927,2.31548727532753,-0.152937649601619,1.37591691673719,6.99015364332671,0.721517748494097,0.135128020898208,0.323847717596871,0.0286421338166806,1.07913371311871,2.65413164174023,0.723019587789533,0.315919650313297,0.647480227871224,0.269783428279677,0.06579904675952,0.345731012095028,-0.378010742402623,0.00536730529856481,1.03690024802971,1.02027967954923,1.01629020827683,0.700067170631713,0.140657225798437,0.15927560356985,1.08734097333783,1.07240905133824,0.260313041477133,0.791998352227708,-0.0523113937048412,0.000445456915407674,0.906863792136629,0.0428745947139095,1.03684014318146,-0.349181320580798,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.0327860212858,0.493854056580105,0.41311440851432,0.203630731760095,0.462595206835144,0.848391202855796,-1.08730745067289,3.30752158144785,4.77820510125499
7,0.0147301084600086,0.227672931254249,0.200122879180409,0.0111582704326456,0.0151839228288659,0.0158897605510537,0.0990676765708409,0.046607858663361,0.0399042219976907,0.542414773251177,1.83193028183751,0.3266026061874,2.87570755871023,0.512187688341976,2.92607420761223,0.76227112530117,2.31669982225808,-0.152896739947016,1.37500128609075,6.97176415666268,0.714401177787158,0.136218182679104,0.324938998414167,0.0285076232047978,1.08008427116409,2.65716452916425,0.723656461679939,0.314833020303038,0.648050562698453,0.270021067791022,0.0659027951406999,0.34614395712264,-0.379140884250465,0.00516950701927907,1.03679905800956,1.01980375900231,1.01666526413266,0.700380259342247,0.140162114020692,0.15945762663706,1.08794985125614,1.07284160803415,0.26050984056325,0.791743359150418,-0.0522531997136688,0.00039587175268025,0.906006772362486,0.0424258382187112,1.0366264206554,-0.348566036069298,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.03323366418059,0.494222891786979,0.413293465672234,0.203390362680954,0.463946540582582,0.854259439024189,-1.09085640592182,3.30777430025481,4.78039929087974
8,0.0141443294659475,0.227576981998667,0.198980619914397,0.00923102923247665,0.0150245758360819,0.0145968093382718,0.100314189681035,0.0470202709445509,0.0402141719072176,0.537046533735096,1.81552384682926,0.321741768105192,2.86122780119142,0.506595557352796,2.92782709299262,0.762687354012685,2.3178693233905,-0.152729584410565,1.3713489050245,6.94329739320512,0.703915104074706,0.137565754160189,0.326475724763891,0.0283073630272827,1.08132569891827,2.6596176665976,0.724488218275241,0.313255067619423,0.648795419350962,0.270331424729567,0.0659507368834684,0.346688915305289,-0.380585992955936,0.00507912204177927,1.03675363492409,1.01921505111328,1.01720793250812,0.700988168062029,0.13948306023364,0.159528771704331,1.08878748342089,1.07342737307942,0.260496036749095,0.791668787043053,-0.0521648237921472,0.000311242576137817,0.904790167581278,0.0418719159838836,1.03643600623483,-0.347857730766397,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.033524175277,0.494571707627754,0.413409670110799,0.202944809067616,0.465736427002005,0.862325665085365,-1.09496869479876,3.30657410352382,4.78087648932847
9,0.013475891553774,0.227207608056148,0.197494066776075,0.007214740612417,0.0147961239828793,0.0131490362946731,0.101861438596605,0.0475346575941057,0.0406020423809963,0.529912322870436,1.79506070585225,0.315602493865018,2.84361379135276,0.499540498855594,2.9288284277997,0.762190584340298,2.3190547994735,-0.152416956014091,1.36523181859833,6.9079463053218,0.69077282440347,0.139064477091138,0.328366862904013,0.0280467876969492,1.08283447170621,2.66140645049844,0.725499096043163,0.311328679565213,0.649700683023728,0.270708617926553,0.0659355657035457,0.347349241782447,-0.382278705722461,0.00511794854296685,1.03677030347284,1.01854327101154,1.017895196974,0.70190132970663,0.138621348079297,0.159477322214073,1.08979920444301,1.07412899555492,0.260237362181814,0.791802885224977,-0.0520402474067912,0.000201097979379991,0.903296098706519,0.0412317175424597,1.03627856833053,-0.347057103683915,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.03361977722196,0.494869046519155,0.413447910888783,0.202326611922035,0.46782481953875,0.872001580917356,-1.09952008205044,3.30396125683759,4.77930387693104
