Time,n_B,psi_o_B,psi_y_B,n_y_B,n_m_B,n_o_B,mu_o_B,mu_m_B,mu_y_B,s_o_B,s_m_B,s_y_B,h_m_B,h_y_B,a_B,a_o_B,a_m_B,a_y_B,z_o_B,z_m_B,z_y_B,c_o_B,c_m_B,c_y_B,y_B,k_B,w_B,inv_B,b_B,gov_B,e_B,t_B,f_B,nx_B,tilde_R_B,g_B,q_B,tilde_s_m_B,tilde_s_y_B,tilde_s_o_B,Omega_m_B,Omega_y_B,eta_o_B,eta_m_B,eta_y_B,walras_B,gamma_B,phi_B,R_star,fy_target_B,alpha,delta,beta,sigma,b_y,g_y,repl,x,omega,nu,Lambda_B,w_indiv_B,t_indiv_B,e_indiv_B,c_y_indiv_B,c_m_indiv_B,c_o_indiv_B,a_y_indiv_B,a_m_indiv_B,a_o_indiv_B
0,0.00539697250294302,0.27911856236707,0.151984862514716,0.00539697250294302,0.00539697250294302,0.00539697250294302,0.0809187808510387,0.0380137736846673,0.032380258624816,0.799276482794182,2.35319896174383,0.328693523770971,3.01602419110524,0.421276583607804,4.51520821898016,1.43306585170973,3.19632574363912,-0.114183376368698,2.33810229498924,8.51566333882924,0.657062587526888,0.189196387215545,0.323712498937073,0.0212758565168114,1.11540396255142,2.91270746335287,0.747320654909449,0.318314587066939,0.669242377530849,0.278850990637854,0.0834364267302169,0.373722598313417,0.933258378096439,-0.0159463578228072,1.02768882458235,1.01042395736546,1.01708675560495,0.698761516892187,0.106201173075433,0.19503731003238,1.08828090264309,1.07564577420679,0.31738643761448,0.707902180502557,-0.0252886181170373,-1.38777878078145e-17,0.915829299941193,0.0312172306267986,1.02768882458235,0.836699894773253,0.67,0.1,1.035,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.06949314872581,0.534835690402051,0.427797259490324,0.200335419098426,0.463266065905887,0.970052279659389,-1.07516115935551,4.57427271875977,7.34764979824536
1,0.00555843257544442,0.279296859374682,0.15203639120686,0.0057378406013926,0.00539697250294302,0.00603920593285023,0.0801742985630318,0.0377276174908946,0.032150348700265,0.806454154654313,2.37736753593069,0.332543450172882,3.02816775590648,0.42347815962385,4.51649008256266,1.4339919126224,3.19670731212139,-0.11420914218113,2.34497660258443,8.55135518830396,0.663132405742024,0.188006854310436,0.322622257850445,0.021319938126422,1.11522486484926,2.91407472245811,0.747200659449001,0.32009842152805,0.669134918909553,0.278806216212314,0.0834763190027189,0.373690985943954,0.933280441194993,-0.0157371684135845,1.02765123337089,1.01058622473832,1.01688624702655,0.698649318454459,0.106220121096948,0.195130560448592,1.08789938752577,1.07540852600656,0.31750139741446,0.707785748154973,-0.0252871455694339,0.00010834523517337,0.916471533371101,0.0312690374178771,1.02768882458235,0.836323911985955,0.67,0.1,1.035,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.06949314872581,0.53487633362418,0.427797259490324,0.200714684809699,0.461779965039033,0.963492616831625,-1.07521193726461,4.57555346821649,7.34888430251901
2,0.00562443379435312,0.279581195997004,0.152061204886367,0.00557136957357729,0.00540727824137188,0.00643082755801538,0.0796280061930181,0.0375109823483274,0.0319739067969604,0.81249947228645,2.39712977999213,0.335688109769468,3.03790571793787,0.425209157031914,4.51830464006551,1.435364583825,3.19718383452266,-0.114243778282152,2.35155320765977,8.58036989199597,0.668012456549516,0.187249493387591,0.321858103597071,0.021358968030287,1.11521205560317,2.9169660160009,0.747192077254122,0.321942400083317,0.6691272333619,0.278803013900792,0.0835603418392774,0.373484533200357,0.932211390702711,-0.0165696682934628,1.02743822756672,1.01065255596332,1.01660874600708,0.698498451417034,0.106214516133736,0.19528703244923,1.0876561269349,1.07526783161392,0.317677690675823,0.707606965269787,-0.0252846559456102,0.000569744897573062,0.916920333039844,0.0312543291654183,1.02760386145065,0.835196334673678,0.67,0.1,1.035,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.06971185940113,0.534696293803764,0.42788474376045,0.201092739559192,0.46078570817748,0.958842433310422,-1.07559477217131,4.57722394092153,7.35002506732323
3,0.0056194875059736,0.279902165604074,0.152035341013871,0.00524123184956138,0.00541224097727344,0.00656649160839606,0.0793243359045075,0.0373843193028421,0.0318685810800161,0.81666429275562,2.41001239451436,0.337667684533007,3.04420122323427,0.42624012989228,4.52013222277932,1.43683136327247,3.19757689437681,-0.114276034869956,2.35677286399934,8.59929295029982,0.671016110886244,0.186949442286244,0.321478713389782,0.0213843313309139,1.11542484446228,2.92078265937579,0.747334645789725,0.323171530123878,0.669254906677366,0.278856211115569,0.0836722343149991,0.37335837057433,0.930094656726165,-0.0173825871493662,1.02719790582038,1.0106475849435,1.01637595648913,0.698354498976616,0.106174564400481,0.195470936622903,1.08755737177217,1.07522222133184,0.317873746266528,0.707407822775358,-0.0252815690418855,0.000967203365255888,0.917147030078273,0.0312092290074065,1.02745624912007,0.833318275619095,0.67,0.1,1.035,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.07013650930134,0.534625854235146,0.428054603720538,0.201407290452863,0.46033742728211,0.956405312810781,-1.07630330781407,4.57873028535308,7.35061379505418
4,0.00556585688673825,0.280196458170541,0.1519672010968,0.00495646011524831,0.00540706820277426,0.00646416551321005,0.0792775409195158,0.0373556544302174,0.0318417318200555,0.818493025386943,2.4147008473087,0.338280457510974,3.04665706570981,0.426514495244437,4.52136453764001,1.43802952110361,3.19762983672963,-0.114294820193235,2.35981381538251,8.6062314105794,0.67189441431702,0.187080236294212,0.321491406512914,0.0213942817548438,1.11580782568066,2.92498719930846,0.747591243206044,0.3238385582581,0.669484695408397,0.278951956420166,0.0837889674022579,0.373343497524387,0.926892642923153,-0.0182562514606332,1.02695085736541,1.01059368617117,1.0161857049159,0.698244221970815,0.106110220094917,0.195645557934267,1.08759721564058,1.07526394732526,0.318052107750593,0.707226725495687,-0.0252788332462795,0.00130763790105902,0.917147243130541,0.0311606253066177,1.02726599028529,0.830691588239753,0.67,0.1,1.035,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.07067301050619,0.534688989578194,0.428269204202475,0.201623196481039,0.460428309174539,0.956220208981525,-1.07713300463421,4.57952924795314,7.35017720968015
5,0.00548558855403755,0.280413000397697,0.151881922403806,0.00482924848649113,0.00539344021935984,0.00617043124963512,0.0794638854188562,0.03741746344045,0.0318878985200121,0.817960287560588,2.41144617006795,0.337613414194667,3.04555252516427,0.426134374078522,4.52147079605168,1.43864302905084,3.19712152139784,-0.114293754396994,2.36026885557954,8.60144962735854,0.670845899854008,0.187556133896426,0.321844426969184,0.0213918659778134,1.11629848650928,2.92910546823602,0.747919985961219,0.324004458747021,0.669779091905569,0.27907462162732,0.0838905949283155,0.373404969720521,0.922586235910091,-0.0191676942359566,1.02671502683241,1.01051301649681,1.01603345040697,0.698180230956936,0.106040955662073,0.195778813380991,1.08775372935124,1.07537650464165,0.318180320949378,0.707097682503999,-0.0252780034533776,0.00159467352747432,0.91694731914026,0.0311273275952529,1.02705177286107,0.827318864758971,0.67,0.1,1.035,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.07124199855403,0.534826042279551,0.42849679942161,0.201732112316907,0.460976138679921,0.958000156694361,-1.07782652168112,4.57922092267754,7.34830804317523
6,0.00538072351364023,0.280501997731102,0.151799106610826,0.00482818861118917,0.00537638448076128,0.00569547031900708,0.0798933965869834,0.0375740100287967,0.0320106534850923,0.814806088222901,2.39981835780295,0.33564627552197,3.04063430915952,0.425106217442234,4.51997303026095,1.43836887399627,3.19587452643568,-0.114270370171003,2.35757043295054,8.58408512473639,0.667860782892563,0.188354309581346,0.322538500571169,0.0213786600993618,1.11685211504457,2.93269337578738,0.74829091707986,0.32365238022679,0.67011126902674,0.279213028761142,0.0839588388499756,0.373510347846929,0.917168385446827,-0.0201161319185064,1.02650504448911,1.01040762713121,1.01593160713128,0.698177217743228,0.105982677909454,0.195840104347318,1.08802816711033,1.07555989410775,0.318225100983277,0.707056105211103,-0.0252812061943806,0.00183136772326404,0.916541258622175,0.0311096990487568,1.02683108119287,0.823203433647631,0.67,0.1,1.035,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.07177790690252,0.534979283704294,0.428711162761007,0.201718436645152,0.461972250560875,0.961775986635016,-1.07819855494338,4.57745461355206,7.34460839259643
7,0.00524950192082759,0.280417324484657,0.151726611650411,0.00487968990323417,0.00535982132216506,0.00505634013270773,0.080565448857012,0.037824675373301,0.0322093771598619,0.808950508141199,2.38008786876755,0.332445926122076,3.03187817312922,0.423448629094223,4.51648322471257,1.4369385095262,3.19376971675566,-0.114225001569301,2.35134933240456,8.55425534645426,0.66302518180609,0.189437514385089,0.323561931599893,0.0213556281590924,1.11743366946468,2.93537877827009,0.748680558541339,0.322800935342862,0.670460201678811,0.279358417366171,0.0839771996479363,0.373638214743276,0.910644244763669,-0.021102685133676,1.02633425095976,1.01027574943043,1.01589516677836,0.698253838017639,0.105943688914311,0.195802473068049,1.08841937554853,1.07581365331897,0.318154289085651,0.707136406326184,-0.0252906954118354,0.00202192774525364,0.91593041517596,0.031100553890014,1.02661975120605,0.818349356339377,0.67,0.1,1.035,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.07221832201719,0.535103703552915,0.428887328806878,0.201575274355088,0.463387258304936,0.967492960720937,-1.0781671163224,4.57393793326344,7.33871481299835
8,0.00508190517737921,0.280124011662152,0.151644679002988,0.00480243401973968,0.00534532233008211,0.00429374438415264,0.0814464543135266,0.0381547888027906,0.032471636378622,0.800738054772663,2.3541337951403,0.328277499204258,3.01986614305209,0.421217139277334,4.51082628285888,1.43417792647147,3.19080813651578,-0.11415978012837,2.34170553970779,8.51436693889834,0.656657605306943,0.19072361314936,0.324863872192815,0.0213227469537217,1.11802900921266,2.93695237455103,0.749079436172479,0.321546207317046,0.670817405527593,0.279507252303164,0.0839340546857032,0.373774428169836,0.903056502780256,-0.0221077432282591,1.02621323043409,1.01010731470327,1.01594475705341,0.698436840056505,0.10591423041423,0.195648929529265,1.08891640364173,1.07613391698606,0.317941289807288,0.707366663316848,-0.0253079531241366,0.0021730605248082,0.91514090746174,0.0310739793715719,1.02643110548276,0.812761423222474,0.67,0.1,1.035,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.07250848353285,0.535158523624838,0.429003393413141,0.201320888329439,0.465129920933914,0.974825743275186,-1.07785119791639,4.56849918778287,7.33036429037525
9,0.00487867254146191,0.279610396616275,0.151517038421945,0.00448274211712363,0.00532893580059746,0.00348563766839294,0.0824554721791097,0.0385315469050454,0.0327704478326015,0.791014396134152,2.32533932724064,0.323601740794146,3.00601510485837,0.41856279958222,4.50310746472989,1.43006087714788,3.18712348261918,-0.11407689503717,2.32931425310893,8.46923394003819,0.649367715987883,0.192064705947008,0.326332683545335,0.0212800706486864,1.11863708908834,2.93742735996851,0.749486849689188,0.320089888347497,0.671182253453004,0.279659272272085,0.0838257261201107,0.373910191463853,0.894497851308383,-0.0230842386247654,1.0261472709507,1.00990306590417,1.0160849150725,0.698749793706032,0.105872499340283,0.195377706953684,1.08948434004348,1.07650190770868,0.317572007410672,0.707760920101959,-0.0253329275126311,0.00229470695249497,0.91423945041133,0.031008719790002,1.02627486344642,0.806445148912267,0.67,0.1,1.035,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.07261119279056,0.535113133244314,0.429044477116226,0.20099715016919,0.467023656371374,0.983043096071029,-1.0774931710124,4.56117985483087,7.31946801631206
