Time,n_B,psi_o_B,psi_y_B,n_y_B,n_m_B,n_o_B,mu_o_B,mu_m_B,mu_y_B,s_o_B,s_m_B,s_y_B,h_m_B,h_y_B,a_B,a_o_B,a_m_B,a_y_B,z_o_B,z_m_B,z_y_B,c_o_B,c_m_B,c_y_B,y_B,k_B,w_B,inv_B,b_B,gov_B,e_B,t_B,f_B,nx_B,tilde_R_B,g_B,q_B,tilde_s_m_B,tilde_s_y_B,tilde_s_o_B,Omega_m_B,Omega_y_B,eta_o_B,eta_m_B,eta_y_B,walras_B,gamma_B,phi_B,R_star,fy_target_B,alpha,delta,beta,sigma,b_y,g_y,repl,x,omega,nu,Lambda_B,w_indiv_B,t_indiv_B,e_indiv_B,c_y_indiv_B,c_m_indiv_B,c_o_indiv_B,a_y_indiv_B,a_m_indiv_B,a_o_indiv_B
0,0.00539697250294302,0.27911856236707,0.151984862514716,0.00539697250294302,0.00539697250294302,0.00539697250294302,0.0988840088093388,0.0500103089739442,0.0439340005729171,0.634565610417483,1.54222923700692,0.199220876483193,2.59548590671233,0.33527763890569,3.77300955933934,1.19469464527823,2.6920938111504,-0.113778897089294,1.94401404428393,6.83758810695643,0.440052902782552,0.19223190188045,0.341949893865457,0.0193332844829625,1.03575138538229,2.32697564516251,0.693953428206132,0.254303015638956,0.621450831229372,0.258937846345572,0.077478113292238,0.359782686427449,0.824583082947455,-0.0310045568311102,1.04841618356742,1.01042395736546,1.03760028246066,0.698761516892187,0.106201173075433,0.19503731003238,1.07274016379505,1.05914782510764,0.316642358437975,0.713513647079599,-0.0301560055175733,-3.01841884819964e-16,0.915829299941193,0.0312172306267986,1.04841618356742,0.796120666199359,0.67,0.1,1.015,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.993119127814252,0.514886234759492,0.397247651125701,0.182043982407146,0.489365664248819,0.985616043661267,-1.07135254531019,3.8526646732404,6.1254671994804
1,0.00555843257544442,0.279296859374682,0.15203639120686,0.0057378406013926,0.00539697250294302,0.00603920593285023,0.09816791852192,0.0497437372778054,0.0437201800903571,0.639225711131152,1.55405446175532,0.200994041399423,2.60484293359208,0.336828175779187,3.77394860019601,1.19545307551023,2.6923093342638,-0.113813809578014,1.94843770358976,6.85828285426757,0.443393658205725,0.191274073749424,0.341156620584708,0.0193852506051292,1.03558507730077,2.32783082393631,0.693842001791514,0.255490998417164,0.621351046380461,0.258896269325192,0.0775151568010449,0.359761505863176,0.82476672987924,-0.0306664201608626,1.0483952138879,1.01058622473832,1.03741292749103,0.698649318454459,0.106220121096948,0.195130560448592,1.0723648842493,1.05890648770359,0.316764535544596,0.713393217417922,-0.0301577529625183,4.82847800124379e-05,0.916471533371101,0.0312690374178771,1.04841618356742,0.795910947414648,0.67,0.1,1.015,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.993119127814252,0.51493860562125,0.397247651125701,0.182500739077826,0.488308814698924,0.980236377683218,-1.07149011319743,3.85359187098282,6.12642669995903
2,0.00562443379435312,0.279581195997004,0.152061204886367,0.00557136957357729,0.00540727824137188,0.00643082755801538,0.0976425379091951,0.0495395904630208,0.0435533252061641,0.643201303473488,1.56392563763471,0.202470376975828,2.61238097250644,0.338053981386445,3.77529778732417,1.1965950509975,2.69256626253315,-0.113863526206479,1.9528910185658,6.87525435995232,0.446089513826051,0.190685235318744,0.34059728534395,0.0194286816702571,1.03553837293412,2.32975693984173,0.693810709865857,0.256791577827939,0.621323023760469,0.258884593233529,0.0775905712239308,0.35959491179992,0.824217823721974,-0.031200317139135,1.04821217825464,1.01065255596332,1.03716373353998,0.698498451417034,0.106214516133736,0.19528703244923,1.07212103515608,1.05875704537952,0.316953818852537,0.713206325491184,-0.0301601443437204,0.000351316678830362,0.916920333039844,0.0312543291654183,1.04832649848546,0.795281998027634,0.67,0.1,1.015,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.993288830430952,0.514811322874681,0.397315532172381,0.18291926920605,0.487613515324172,0.976435726055276,-1.07201473349568,3.85479202863053,6.12736563196323
3,0.0056194875059736,0.279902165604074,0.152035341013871,0.00524123184956138,0.00541224097727344,0.00656649160839606,0.0973509286318823,0.0494182754164769,0.0434514205066174,0.645989504710059,1.57051898939107,0.203412147444817,2.61724672600825,0.3387773593492,3.77669410577826,1.19783681652418,2.69276951995576,-0.113912230701679,1.95661428966617,6.8864358291436,0.447731861478605,0.19047821806569,0.340315782432391,0.0194545853862672,1.03567970095948,2.33230215271247,0.69390539964285,0.257611353372389,0.621407820575687,0.25891992523987,0.0776902496337577,0.359490210998985,0.822984132490106,-0.0316977556630571,1.04800231358297,1.0106475849435,1.03696118132173,0.698354498976616,0.106174564400481,0.195470936622903,1.07201637315264,1.05870046466494,0.317165431717884,0.712996457890004,-0.0301618896078877,0.000597592125928236,0.917147030078273,0.0312092290074065,1.04817189634775,0.79423443873543,0.67,0.1,1.015,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.993629167793312,0.514767516391446,0.397451667117325,0.18323207159943,0.487310932958973,0.97445800054233,-1.07287683584943,3.85587767230225,6.12795353221751
4,0.00556585688673825,0.280196458170541,0.1519672010968,0.00495646011524831,0.00540706820277426,0.00646416551321005,0.0973071539419836,0.0493884253435944,0.0434226316681759,0.647270980095437,1.57309137223575,0.203712992324454,2.61908677510329,0.338952952988446,3.77769232296569,1.19888848994357,2.69274882933065,-0.113944996308523,1.95899012380235,6.89063515802929,0.448182199578086,0.190623753541153,0.340317620070646,0.0194612505737095,1.0359615616137,2.33507783345728,0.69409424628118,0.258009703936347,0.621576936968221,0.258990390403425,0.077793099777815,0.359484807570136,0.821037552540192,-0.0322358738436491,1.04778780445262,1.01059368617117,1.03680422586288,0.698244221970815,0.106110220094917,0.195645557934267,1.07204634647115,1.05873076561883,0.317360014381298,0.712802578695873,-0.0301625930771708,0.00079471693206941,0.917147243130541,0.0311606253066177,1.04797389113999,0.792769303352583,0.67,0.1,1.015,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.994056555630461,0.514841077460661,0.397622622252184,0.183405995730677,0.487390528073528,0.974332131809497,-1.07383620735682,3.85645701690202,6.12785949551879
5,0.00548558855403755,0.280413000397697,0.151881922403806,0.00482924848649113,0.00539344021935984,0.00617043124963512,0.0974888534986117,0.049444010271005,0.0434629637388296,0.647000340036328,1.57167246631212,0.203405779085202,2.61809536268477,0.338652366582363,3.77790493613273,1.19949843043286,2.69235908222444,-0.11395257652457,1.95966301864527,6.88789639849721,0.447557755648041,0.19104530093061,0.340565220273856,0.0194521865050462,1.03633192006711,2.33773985129568,0.694342386444967,0.258033785363779,0.621799152040269,0.259082980016779,0.0778810527545322,0.35954665344699,0.818365932796784,-0.0327944016788526,1.04758740261311,1.01051301649681,1.03668867744508,0.698180230956936,0.106040955662073,0.195778813380991,1.07219021854056,1.05883243411136,0.31750360337569,0.712659298669485,-0.0301629020451743,0.000946848655897222,0.91694731914026,0.0311273275952529,1.04775213253906,0.790888037790828,0.67,0.1,1.015,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.994503074791006,0.514976846242396,0.397801229916402,0.183440316843576,0.48778983588102,0.975822141483871,-1.07460910563377,3.85625224382858,6.12680406892957
6,0.00538072351364023,0.280501997731102,0.151799106610826,0.00482818861118917,0.00537638448076128,0.00569547031900708,0.0979062627927284,0.0495896439439828,0.0435763959348164,0.644980087750757,1.56599697242909,0.202479766337966,2.61406555706891,0.337881875365753,3.77698858296152,1.1994262880687,2.6914924041886,-0.113930109295778,1.95818768935572,6.87763680523846,0.445860527277063,0.191718838511538,0.341059560350427,0.019428994869122,1.03675432869565,2.33997064604544,0.694625400226084,0.257676520713293,0.622052597217388,0.259188582173912,0.077937524975273,0.359647711427521,0.814965339698692,-0.0333754242488738,1.04741649663927,1.01040762713121,1.03662766245455,0.698177217743228,0.105982677909454,0.195840104347318,1.07244935640127,1.05900572229903,0.317561533937272,0.71260273762282,-0.0301642715600919,0.00105725632622844,0.916541258622175,0.0311096990487568,1.0475247386974,0.788592498632146,0.67,0.1,1.015,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.994912727847773,0.515123814251685,0.397965091139109,0.183322362223392,0.488499984936289,0.978955965891078,-1.07498802203426,3.85502754284724,6.12451822401783
7,0.00524950192082759,0.280417324484657,0.151726611650411,0.00487968990323417,0.00535982132216506,0.00505634013270773,0.0985594205498751,0.0498251934126473,0.0437627605712712,0.641126948001964,1.5561614006008,0.200963691894728,2.60697787778139,0.336655464822011,3.77467191740222,1.19845996522048,2.69008811944032,-0.113876167258572,1.95424894254934,6.85986615152752,0.443135836999804,0.192609643390872,0.341794157817354,0.0193928475416366,1.03720163061748,2.3415085583579,0.694925092513712,0.256955323631447,0.622320978370488,0.25930040765437,0.0779476140639791,0.359769688401368,0.810842380673834,-0.0339807221136944,1.04728907074793,1.01027574943043,1.03663685022467,0.698253838017639,0.105943688914311,0.195802473068049,1.07282239809209,1.05924987927854,0.317500432208479,0.712668061835606,-0.0301684940440851,0.00112997269549436,0.91593041517596,0.031100553890014,1.04730794659034,0.785884951296544,0.67,0.1,1.015,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.995232757311613,0.515241977649222,0.398093102924645,0.183048634046732,0.489498430524516,0.983693619252359,-1.07487447742806,3.85259338792544,6.1207601029838
8,0.00508190517737921,0.280124011662152,0.151644679002988,0.00480243401973968,0.00534532233008211,0.00429374438415264,0.0994166503986198,0.0501369154417493,0.0440102753051301,0.635635754872043,1.54311973521502,0.198979881404987,2.59730667270734,0.335011304300623,3.77085044535073,1.19646379220869,2.68817883659427,-0.113792183452229,1.94784704807248,6.83600687000896,0.439543429600197,0.193648428999711,0.342736298424595,0.0193444273468156,1.03766579231306,2.34221308929069,0.69523608084975,0.255941985372217,0.622599475387836,0.259416448078265,0.0779009280079617,0.359901407917484,0.8060378806722,-0.0345928374739907,1.0472161515017,1.01010731470327,1.03673751913116,0.698436840056505,0.10591423041423,0.195648929529265,1.07329762816686,1.05955957121088,0.31729282546417,0.712883970221131,-0.0301767956853011,0.00117104156544726,0.91514090746174,0.0310739793715719,1.0471152585636,0.782768067806355,0.67,0.1,1.015,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.99541725318141,0.515295567582557,0.398166901272564,0.182642382153556,0.490719101238799,0.98977504996134,-1.07438049643743,3.84885029314431,6.1153607897953
9,0.00487867254146191,0.279610396616275,0.151517038421945,0.00448274211712363,0.00532893580059746,0.00348563766839294,0.100400375060571,0.0504939231823174,0.0442933858341569,0.629039550937821,1.52858958106065,0.196738301841011,2.5861806518263,0.3330519803249,3.76563184020922,1.19342078495516,2.68589215596287,-0.11368110070881,1.93938051657299,6.80894944801093,0.435394267709373,0.194714531125631,0.343810570179811,0.0192850862522724,1.03814962014545,2.34210343150133,0.695560245497449,0.254782527614052,0.622889772087268,0.259537405036362,0.0777943504456223,0.360036734478745,0.800638636620627,-0.0351696888083521,1.04720312853662,1.00990306590417,1.03693429982714,0.698749793706032,0.105872499340283,0.195377706953684,1.0738399345187,1.05991447499727,0.316924446044053,0.713264671086362,-0.0301891171304156,0.00118918874567181,0.91423945041133,0.031008719790002,1.04695631725191,0.779244924149278,0.67,0.1,1.015,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.99543535005332,0.515258448334104,0.398174140021328,0.182153877281091,0.492036739440461,0.996605672989033,-1.07375476556409,3.84385395195242,6.10827511266714
10,0.00466379151613906,0.278904964686779,0.151311927087309,0.00394251041625271,0.00530340768438897,0.00276711743483427,0.101362696163677,0.0508403429459498,0.0445669115455658,0.62232365572574,1.51519187967727,0.194580409445119,2.57561381867819,0.331021622928692,3.75937199031989,1.1894867876953,2.68343365299786,-0.113548450373265,1.92978299215241,6.78338196869937,0.431274138281638,0.195608006706324,0.344869465034463,0.019220556281092,1.03864965260837,2.34139890195563,0.695895267247609,0.253729299674364,0.623189791565023,0.259662413152093,0.0776354579749564,0.360168419559195,0.794783296799237,-0.0356378996456495,1.04724596086644,1.00968711047372,1.03719850437142,0.699194650651599,0.105796489999231,0.195008859349169,1.07437551063522,1.06026865071107,0.31640571637993,0.713798384366697,-0.0302041007466268,0.00119781140568534,0.913356994268674,0.0309007651866073,1.0468349187703,0.775318997242749,0.67,0.1,1.015,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.995281166123174,0.515118957537138,0.39811246644927,0.181674801132171,0.493238134349382,1.00307241096202,-1.07327237769504,3.83789213847259,6.09965512164494
11,0.00446482703941593,0.278083460868111,0.150998720723835,0.00318155423558464,0.00526238541746182,0.00230142382500209,0.102108501006766,0.0511029078482211,0.0447716821302707,0.616783255888394,1.50618695639251,0.192940425792432,2.56815215789655,0.32925055967478,3.75271224016289,1.18502406326293,2.68109183462351,-0.113403657723547,1.92045696814218,6.7651965784325,0.427947245725184,0.196094981691622,0.345721216728296,0.0191599179815176,1.03916687858987,2.34055171670399,0.696241808655216,0.253096706198789,0.623500127153925,0.259791719647469,0.0774453327007662,0.360286221446847,0.788660396304971,-0.0359143771815129,1.04732653840307,1.00948715117461,1.03748377300734,0.699749820465913,0.105661327717086,0.194588851817,1.07480966157582,1.06056399105315,0.315778025997368,0.714441092983041,-0.0302191189804086,0.00121671352369406,0.912665156402958,0.0307437925199809,1.04674627151414,0.770994161502642,0.67,0.1,1.015,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.994986762828519,0.514878619342779,0.397994705131408,0.181333307043228,0.494064030624695,1.00774006249874,-1.07327496420631,3.83150056807212,6.08988671343502
12,0.00430486952382943,0.277257401000013,0.150552546508121,0.00222955866683305,0.00519974414476709,0.00221375150260106,0.102466954355097,0.0512177080000833,0.0448561511361076,0.613593971498489,1.50430824381797,0.192177460339818,2.56599331195789,0.328024115129194,3.74647556187629,1.18054345146942,2.67918950134432,-0.113257390937454,1.91288914542099,6.75946638086789,0.426055389498277,0.196007924365911,0.346204375208389,0.0191112049667185,1.03971763813249,2.34018347566587,0.69661081754877,0.253151413664841,0.623830582879495,0.259929409533123,0.0772562019128265,0.360381766088087,0.782461503330918,-0.0359575169874987,1.04741143630897,1.00932639387145,1.03773312841988,0.700373324716806,0.105442987542474,0.19418368774072,1.07506158631059,1.06075116776813,0.315107741136543,0.715122641806133,-0.0302303829426754,0.00127082738100852,0.912312683952751,0.0305364046512376,1.04667479492555,0.766274685019687,0.67,0.1,1.015,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.994627854837907,0.51455667052112,0.397851141935163,0.181246808461494,0.494314050793376,1.00939438655438,-1.07411022370579,3.82537342127878,6.0795191666445
13,0.00419900513639078,0.276566987423434,0.149948122649143,0.00107528846463389,0.00511050930162416,0.00260762952607685,0.102274794844124,0.0511226313890009,0.0447698912668363,0.613972277046522,1.51235687250817,0.192653722160839,2.57127546043628,0.327616343275855,3.74162838157185,1.17668103742109,2.67806850281135,-0.113121158660589,1.90876221830432,6.77130503502038,0.426231232764912,0.195218264237342,0.346166931365567,0.0190823259888065,1.04033202484758,2.34106139660796,0.697022456647879,0.254137705280943,0.624199214908548,0.260083006211895,0.0771093604006341,0.36045972454689,0.776367770055343,-0.0357400070349026,1.04745780774855,1.00922000016207,1.03788847583316,0.701009048512022,0.105114990784439,0.193875960703538,1.07505777542098,1.0607860257325,0.314483673264722,0.715749462452437,-0.030233135717159,0.00138379879792918,0.912438711005489,0.0302723967182055,1.04659469716395,0.761165225347386,0.67,0.1,1.015,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.994313066468107,0.514201243638737,0.397725226587243,0.181537626996884,0.493812358200439,1.00692351712369,-1.07616580486191,3.82030518506984,6.06924671398733
14,0.00415671724098151,0.276169753333195,0.149163100919193,-0.000271786414778319,0.00498962452982843,0.003546154566477,0.101400138552171,0.0507658778970803,0.0444704620530454,0.619106745836212,1.53300967624948,0.194704833237829,2.58588890721047,0.328260674441654,3.73920828876791,1.17414998776089,2.67806406800885,-0.113005767001827,1.90986534358306,6.80547870536253,0.429039317246275,0.193660610419384,0.345486101420931,0.0190795765686188,1.04105341310467,2.3440224585559,0.697505786780127,0.256227937552242,0.6246320478628,0.260263353276167,0.0770520004334174,0.360535739252919,0.770553782349212,-0.0352334359543867,1.04741897143431,1.00917750082719,1.03789370113362,0.701590507099142,0.104651415614377,0.193758077286481,1.07474090464031,1.06063366641486,0.314010319054815,0.716211524243654,-0.0302218432984691,0.00156926982171053,0.913152141047705,0.0299488706671709,1.04647437768142,0.75567082490556,0.67,0.1,1.015,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.994177913928876,0.513883434289359,0.39767116557155,0.182315513427203,0.492432691042825,0.999496966173169,-1.07983027595378,3.81713270192582,6.05987633756732
15,0.00416482696632055,0.27620068884742,0.148184915491245,-0.00175689572548621,0.00483262018383868,0.00494517781710813,0.0998673521012547,0.0501522268019049,0.0439606077975787,0.629441723703483,1.56690331053714,0.198370769173049,2.60996195155224,0.329929022287619,3.74006482359497,1.17355985845121,2.67941974864035,-0.112914783496591,1.91735591780088,6.86301157736313,0.434485243145038,0.191481258948199,0.344195318160666,0.0191002351809604,1.04194898444032,2.34975536883638,0.698105819575013,0.259337009837282,0.625169390664191,0.260487246110079,0.0771269233020045,0.36063706804775,0.765140064094396,-0.034477922076091,1.04725071304619,1.00918565110115,1.03771859211782,0.702057081280525,0.104034269259584,0.19390864945989,1.07413034822457,1.06030532903166,0.313780619815653,0.716409975461196,-0.0301905952768491,0.00182583827922195,0.914421144325874,0.0295705561694335,1.04628310963694,0.749796906004101,0.67,0.1,1.015,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.994371879707694,0.513686248118119,0.397748751883078,0.183595610531966,0.49026685626882,0.98748178320847,-1.08536143234541,3.81652691794405,6.05212744103999
16,0.00418438004034307,0.276728956637662,0.147014941999335,-0.00329498916303161,0.00463698309824889,0.00655847489926753,0.097893174411213,0.0493583817572629,0.0433010659100846,0.644281273924459,1.61162848816093,0.203263502451219,2.64120623264241,0.332247553961631,3.74457020094301,1.17521937234895,2.68218931623929,-0.11283848764523,1.93119150437441,6.93948065836078,0.441803114391767,0.189050468655447,0.34252154608076,0.0191305456241466,1.04309742923226,2.35858164122868,0.698875277585617,0.263091429389368,0.625858457539359,0.260774357308066,0.0773596105544496,0.360810352823009,0.760130102174977,-0.0336067607744282,1.046923939844,1.00920530194054,1.03737459348552,0.702373510402634,0.103259400893713,0.194367088703653,1.07333836897038,1.05986910197891,0.313846265201914,0.716287630431399,-0.0301338956333125,0.00213584294890457,0.916044580439683,0.0291487154075805,1.04599829931959,0.743549265491796,0.67,0.1,1.015,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,0.99501941237076,0.513701538396821,0.398007764948304,0.185266866344093,0.487662961384194,0.972646500579572,-1.09276721217254,3.81875067398503,6.04639077627376
