Time,n_B,psi_o_B,psi_y_B,n_y_B,n_m_B,n_o_B,mu_o_B,mu_m_B,mu_y_B,s_o_B,s_m_B,s_y_B,h_m_B,h_y_B,a_B,a_o_B,a_m_B,a_y_B,z_o_B,z_m_B,z_y_B,c_o_B,c_m_B,c_y_B,y_B,k_B,w_B,inv_B,b_B,gov_B,e_B,t_B,f_B,nx_B,tilde_R_B,g_B,q_B,tilde_s_m_B,tilde_s_y_B,tilde_s_o_B,Omega_m_B,Omega_y_B,eta_o_B,eta_m_B,eta_y_B,walras_B,gamma_B,phi_B,R_star,fy_target_B,alpha,delta,beta,sigma,b_y,g_y,repl,x,omega,nu,Lambda_B,w_indiv_B,t_indiv_B,e_indiv_B,c_y_indiv_B,c_m_indiv_B,c_o_indiv_B,a_y_indiv_B,a_m_indiv_B,a_o_indiv_B
0,0.00539697250294302,0.27911856236707,0.151984862514716,0.00539697250294302,0.00539697250294302,0.00539697250294302,0.0741089628159723,0.0391500418817468,0.0328426422765236,0.864878043764145,2.83681820326997,0.409558544415586,2.035040910608,0.293803949866808,4.76247925033134,1.54812327437129,3.3203917615409,-0.106035785580843,2.51376274646631,8.12303558057289,0.6176106751724,0.186292349906048,0.318017183186348,0.0202839664708493,1.14340381754472,3.13997015166694,0.766080557754964,0.343150939394316,0.686042290526833,0.285850954386181,0.0855309215751713,0.378848079722639,0.936466808137572,-0.0101915757990201,1.02142040941389,1.01042395736546,1.01088300803665,0.698761516892187,0.106201173075433,0.19503731003238,1.18476596419913,1.159206179264,0.325066670739527,0.697198158146282,-0.022264828885809,2.63677968348475e-16,0.915829299941193,0.0312172306267986,1.02142040941389,0.819016688389658,0.67,0.1,1.025,0.7,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.09634050993848,0.542170784400957,0.438536203975391,0.190995691322938,0.45511548002924,0.955162629525193,-0.9984426961605,4.75182402189044,7.93757499072495
1,0.00555843257544442,0.279296859374682,0.15203639120686,0.0057378406013926,0.00539697250294302,0.00603920593285023,0.0734028619427011,0.0388346416229763,0.0325974984780233,0.872953962270789,2.8646290263232,0.414047643219488,2.04417528371082,0.295399147171342,4.76381557027246,1.54905509859194,3.32082737326355,-0.106066901583032,2.52152434933175,8.15936102714055,0.623711317565063,0.185087103727739,0.316865861542289,0.0203314287572646,1.14322022397393,3.14136514068821,0.765957550062532,0.344995006876036,0.685932134384357,0.285805055993482,0.0855718152587163,0.378821032363224,0.936518295199893,-0.00995963370763572,1.02138970507142,1.01058622473832,1.01069031030568,0.698649318454459,0.106220121096948,0.195130560448592,1.18373037172364,1.1584925120597,0.325171089380128,0.69709402563494,-0.0222651150150681,9.54007847532965e-05,0.916471533371101,0.0312690374178771,1.02142040941389,0.818709597817418,0.67,0.1,1.025,0.7,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.09634050993848,0.542219139641109,0.438536203975391,0.191408450181562,0.453540643599645,0.948529555299978,-0.998557528344593,4.75321063879349,7.93855711289284
2,0.00562443379435312,0.279581195997004,0.152061204886367,0.00557136957357729,0.00540727824137188,0.00643082755801538,0.0728970418040544,0.0386061677735758,0.0324187013222404,0.879622679028539,2.88645048790388,0.417559293260904,2.0511827557464,0.296583326229195,4.76569744064865,1.55042996684674,3.32137864074946,-0.106111166947548,2.52873252991516,8.18779831995162,0.628403477186423,0.18433712094349,0.316099515674974,0.0203720246438721,1.14319761195202,3.14420272428826,0.765942400007854,0.346773865144324,0.685918567171212,0.285799402988005,0.0856572369036046,0.378629319884762,0.935576149189173,-0.0107166408328571,1.0212007942902,1.01065255596332,1.01043705699316,0.698498451417034,0.106214516133736,0.19528703244923,1.18302588534179,1.15801420934767,0.325331178942049,0.696934432391471,-0.0222656113335206,0.000532323390212273,0.916920333039844,0.0312543291654183,1.02134115816149,0.817788629162018,0.67,0.1,1.025,0.7,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.09655561648562,0.542061788564659,0.438622246594246,0.19180075742398,0.452541469538991,0.943929141794978,-0.999026976820592,4.75502649148531,7.93923665796814
3,0.0056194875059736,0.279902165604074,0.152035341013871,0.00524123184956138,0.00541224097727344,0.00656649160839606,0.0726285822610042,0.0384826381112047,0.0323209381393901,0.884079437616385,2.8998387764106,0.419623555046317,2.05530452610579,0.297214605909014,4.76757466071816,1.55189398797486,3.3218356364452,-0.1061549637019,2.53426400344385,8.20519568637471,0.631080304740464,0.18406000162734,0.315757576202014,0.0203971074870324,1.14338223374542,3.14785112151679,0.766066096609433,0.347881583156266,0.686029340247253,0.285845558436356,0.085769423774736,0.378525267820543,0.933694198954118,-0.0114585025585972,1.02099256807102,1.0106475849435,1.01023599450653,0.698354498976616,0.106174564400481,0.195470936622903,1.1826900902969,1.15779389389561,0.3255101594449,0.696755871242554,-0.0222660306874541,0.000898909395010764,0.917147030078273,0.0312092290074065,1.02120540462067,0.81625469130833,0.67,0.1,1.025,0.7,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.09695877628345,0.542024528194838,0.438783510513381,0.192109170423307,0.452145116362438,0.941623367684697,-0.999815391768339,4.75666103864598,7.9392569288637
4,0.00556585688673825,0.280196458170541,0.1519672010968,0.00495646011524831,0.00540706820277426,0.00646416551321005,0.0726068046090575,0.0384692637228687,0.0323087537199286,0.885851938428394,2.90361782175488,0.420064485620809,2.05633057700546,0.297273252371248,4.76883345809996,1.55308616898561,3.32193237643521,-0.106185087320858,2.53727677536831,8.20994951946873,0.631557485943426,0.184223559059158,0.315830713200891,0.0204048352722268,1.14371899515672,3.15175131089964,0.766291726755005,0.348383302438475,0.686231397094035,0.285929748789181,0.0858848911048561,0.378529757827292,0.930850750106286,-0.0122578070776766,1.02078341531064,1.01059368617117,1.01008291391377,0.698244221970815,0.106110220094917,0.195645557934267,1.18272312206115,1.15782901841059,0.325674230948046,0.696592239091876,-0.022266470039922,0.00120464347446932,0.917147243130541,0.0311606253066177,1.02103289679982,0.814109298067821,0.67,0.1,1.025,0.7,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.09745516345574,0.542116563111515,0.438982065382295,0.192298491643636,0.452321269926802,0.941618920481971,-1.00070556093347,4.75755082807411,7.93826440724719
5,0.00548558855403755,0.280413000397697,0.151881922403806,0.00482924848649113,0.00539344021935984,0.00617043124963512,0.0728060609939069,0.0385551345802927,0.0323739423150822,0.884949141792923,2.89832027915882,0.419028193193437,2.05456780507833,0.296850171161648,4.76895072577466,1.55369424865977,3.32144986624568,-0.106193389130794,2.53739796289422,8.2026191692846,0.630083254147438,0.184737950851986,0.316253085981053,0.0203982789231474,1.14414631659923,3.15542511663467,0.766578032121485,0.348359662254512,0.686487789959539,0.286036579149808,0.0859833784104591,0.378606164942208,0.927037819180446,-0.0130946973970102,1.02058911713284,1.01051301649681,1.00997127248392,0.698180230956936,0.106040955662073,0.195778813380991,1.18307714542729,1.1580844361969,0.325793730738827,0.696473932576884,-0.0222676633157105,0.00145545683573535,0.91694731914026,0.0311273275952529,1.02084140588532,0.811354566684604,0.67,0.1,1.025,0.7,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.09796582333877,0.542275687788073,0.439186329335508,0.192362269802168,0.452967689370969,0.943605427276139,-1.00143749618032,4.75729577976342,7.93596723684415
6,0.00538072351364023,0.280501997731102,0.151799106610826,0.00482818861118917,0.00537638448076128,0.00569547031900708,0.0732344585788276,0.0387439235045952,0.0325193966972504,0.881103002941554,2.88353147011605,0.416506309397564,2.04989672139674,0.295958648970418,4.76745997491513,1.55341910070399,3.3202164818865,-0.106175607675362,2.53405586001932,8.182489980809,0.626668223245704,0.185580208917246,0.317021765905755,0.0203788725530846,1.14462233913186,3.15843070519542,0.766896967218343,0.347800095612312,0.686773403479113,0.286155584782964,0.0860464525434674,0.378720508722302,0.922255866240595,-0.0139702358689679,1.02042222519801,1.01040762713121,1.00991144345895,0.698177217743228,0.105982677909454,0.195840104347318,1.18375950767321,1.15856430859775,0.32583789038143,0.696433006119865,-0.0222708965012954,0.00165604722946169,0.916541258622175,0.0311096990487568,1.02064706193866,0.807993215745971,0.67,0.1,1.025,0.7,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.09842737306331,0.54244180287989,0.439370949225323,0.192284937077125,0.454070625407241,0.947610855987513,-1.00182038961191,4.7555497336603,7.93207859994314
7,0.00524950192082759,0.280417324484657,0.151726611650411,0.00487968990323417,0.00535982132216506,0.00505634013270773,0.0738910105738412,0.0390348420874388,0.0327443667661018,0.874240604078674,2.85954481847085,0.412572746454382,2.0423494116786,0.294616715327777,4.76398401723507,1.55199514274222,3.31811924832682,-0.106130373833972,2.52689287278255,8.14976170319625,0.621406655407186,0.186714667987506,0.318124661238875,0.0203475674589986,1.14511552390663,3.16040102879268,0.76722740101744,0.346726013552088,0.687069314343976,0.286278880976657,0.086057542025851,0.378850964498544,0.916513674098405,-0.0148878282570614,1.02029424290734,1.01027574943043,1.00991659305151,0.698253838017639,0.105943688914311,0.195802473068049,1.18476705128465,1.15926598273134,0.325776731644647,0.696500919466266,-0.0222776511109126,0.00181156094956357,0.91593041517596,0.031100553890014,1.02046418172238,0.804028562499477,0.67,0.1,1.025,0.7,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.09878007000379,0.542569111505512,0.439512028001518,0.19206021300104,0.455600304528277,0.953586872841056,-1.00176211458723,4.75202436086431,7.92633064549105
8,0.00508190517737921,0.280124011662152,0.151644679002988,0.00480243401973968,0.00534532233008211,0.00429374438415264,0.0747454833164322,0.0394134960844644,0.0330372613219406,0.864747235419379,2.82829219874954,0.407490795584364,2.0323695073934,0.29285950141835,4.75835160768949,1.54924863168879,3.31516140474457,-0.106058428743866,2.51605452769735,8.10676034305424,0.614596451885865,0.188063711676476,0.319515767216701,0.0203045836270174,1.14561535737154,3.16113043117609,0.767562289438933,0.34523069011839,0.687369214422925,0.286403839342885,0.086005051087288,0.378983754388963,0.909851962090473,-0.0158322791039214,1.0202143727488,1.01010731470327,1.01000592501253,0.698436840056505,0.10591423041423,0.195648929529265,1.18606035178188,1.16016352862567,0.325585152047861,0.6967037491263,-0.022288901174161,0.00192904449399335,0.91514090746174,0.0310739793715719,1.02030466711669,0.799464519579219,0.67,0.1,1.025,0.7,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.09897165415392,0.542617073804844,0.439588661661567,0.19170779552102,0.457472671674723,0.961230465860256,-1.00136146322428,4.74654430381474,7.91851320329892
9,0.00487867254146191,0.279610396616275,0.151517038421945,0.00448274211712363,0.00532893580059746,0.00348563766839294,0.075722851555334,0.0398455592747633,0.0333710252853013,0.853566409595189,2.79344438960056,0.401751129512985,2.02100639525274,0.290790566948949,4.75066710288585,1.54515130884785,3.31147713743625,-0.105961343398244,2.50231472445649,8.0582211629996,0.606830923114353,0.189482406058098,0.321084328726522,0.0202505700506631,1.14612301435319,3.16063722239169,0.767902419616637,0.343517952126549,0.687673808611914,0.286530753588298,0.0858854000446422,0.379111331600173,0.902356071882244,-0.0167612985170256,1.02018733702494,1.00990306590417,1.01018342400176,0.698749793706032,0.105872499340283,0.195377706953684,1.187534833534,1.16118628605424,0.325249333490234,0.697055185234624,-0.0223045187248581,0.00201830232008537,0.91423945041133,0.031008719790002,1.02017714795788,0.794305591144534,0.67,0.1,1.025,0.7,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.0989662201456,0.54255662758688,0.439586488058241,0.191273184035979,0.459512591801357,0.969826133249769,-1.00083916086344,4.73914578188684,7.90853436115992
