Time,n_MM,psi_o_MM,psi_y_MM,n_y_MM,n_m_MM,n_o_MM,mu_o_MM,mu_m_MM,mu_y_MM,s_o_MM,s_m_MM,s_y_MM,h_m_MM,h_y_MM,a_MM,a_o_MM,a_m_MM,a_y_MM,z_o_MM,z_m_MM,z_y_MM,c_o_MM,c_m_MM,c_y_MM,y_MM,k_MM,w_MM,inv_MM,b_MM,gov_MM,e_MM,t_MM,f_MM,nx_MM,tilde_R_MM,g_MM,q_MM,tilde_s_m_MM,tilde_s_y_MM,tilde_s_o_MM,Omega_m_MM,Omega_y_MM,eta_o_MM,eta_m_MM,eta_y_MM,walras_MM,gamma_MM,phi_MM,R_star,fy_target_MM,alpha,delta,beta,sigma,b_y,g_y,repl,x,omega,nu,Lambda_MM,w_indiv_MM,t_indiv_MM,e_indiv_MM,c_y_indiv_MM,c_m_indiv_MM,c_o_indiv_MM,a_y_indiv_MM,a_m_indiv_MM,a_o_indiv_MM
0,0.010574708476305,0.239211285055436,0.177873542381526,0.010574708476305,0.010574708476305,0.010574708476305,0.0995025916069475,0.0469251313148666,0.040218438744802,0.567973090510672,1.80575614606082,0.284699664645008,2.82655142578935,0.445640594816501,3.2924499837408,0.893187836539753,2.53557838504298,-0.136316237841931,1.54535169557192,7.1303995274842,0.618915850855393,0.153766498653597,0.334594934154659,0.0248918292358146,1.08527878719674,2.64128271142275,0.727136787421813,0.300705828353482,0.651167272318041,0.271319696799184,0.0695757301321014,0.355055423858212,4.9960036108132e-15,-1.08640895793483e-16,1.0377129724424,1.01562758201869,1.02174555990279,0.705674057500615,0.125520744374379,0.168805198125006,1.08740814996156,1.07226422136408,0.271283646205898,0.770119029162021,-0.0414026753679191,-5.78925579002907e-17,0.906064588921509,0.0374556693326375,1.0377129724424,4.60342878691827e-15,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.03041450892671,0.503143654048672,0.412165803570683,0.19830848964353,0.474149404527837,0.910910921947602,-1.0860056520646,3.59312965822152,5.29123419456738
1,0.010853141779287,0.239505321306997,0.177969941004101,0.0111223897593218,0.010574708476305,0.0118168973602186,0.0981387576375424,0.0464376566641825,0.0398359345245683,0.575746659462562,1.83153859769771,0.289336683687459,2.84458102610705,0.449221070307812,3.29415430990989,0.894356083184287,2.5361756087976,-0.136377382071997,1.55285604132288,7.17352346911079,0.627164037728634,0.152395362873333,0.333121621247159,0.0249836658053605,1.08497985380583,2.64246265450167,0.726936502049909,0.302530468990829,0.650987912283501,0.271244963451459,0.0696420641972993,0.355043117311183,0.000703743124721537,0.000703743124716434,1.03771296155247,1.01590740748818,1.02146411563058,0.705479683906136,0.125554177724367,0.168966138369498,1.08665560424602,1.07178192351859,0.271497932107769,0.769901883820305,-0.0413998159280737,2.83129787499853e-08,0.907306777805423,0.0375530873425437,1.0377129724424,-1.08899230661118e-07,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.03041450892671,0.50326483584242,0.412165803570683,0.198987132552514,0.472191657458815,0.901928423907473,-1.08620345848938,3.59496618634739,5.29310838144679
2,0.0109690016315083,0.240010564124261,0.177990698011931,0.0107118558991979,0.0105939882008201,0.0127258629788918,0.0969622856203138,0.0460037499721038,0.0394903661910775,0.583448226066133,1.85640907970407,0.293759586540593,2.86089599977405,0.45235830527377,3.29734764906648,0.896434180305113,2.53739272338953,-0.13647925462816,1.56151078619155,7.21463911316601,0.63470330317473,0.151407654986612,0.331900454576087,0.0250646659885267,1.08482903940108,2.64526482654922,0.726835456398724,0.304555603121967,0.650897423640648,0.27120725985027,0.0697792751663089,0.35487631212099,0.0011853988766116,0.000466738187066465,1.03756096872604,1.01602384663967,1.02119745728174,0.705217990069712,0.125522242303079,0.169259767627209,1.08606039861659,1.07141518555139,0.271865231002649,0.769525386290458,-0.0413906172931067,0.000226662690550934,0.908344048564192,0.0375003765632448,1.03762585353753,-4.35489466057154e-07,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.03065359453873,0.503215058489801,0.41226143781549,0.199683064360871,0.470635263492468,0.894528316499194,-1.08729140050434,3.59802608430154,5.29620353892657
3,0.0109620488228521,0.240656048704053,0.177855825626742,0.00983235923813774,0.0105981396023862,0.0133160429490999,0.0960092431230111,0.0456410030516156,0.0391973348159393,0.590646339352215,1.87894998775748,0.297558140733788,2.87479707798651,0.454723182915916,3.30180830559721,0.899212579895634,2.53919112832504,-0.136595402623463,1.57068445131785,7.25181926559292,0.640803718894234,0.150800225160264,0.330980304881059,0.0251177978679922,1.08494925637271,2.6493582487816,0.726916001769718,0.306150729488479,0.650969553823628,0.271237314093178,0.0699746930902595,0.354816768412546,0.00148050299197994,0.000270196086658152,1.03736577173678,1.01601685906697,1.02101236065061,0.704964137485113,0.125381978709659,0.169653883805228,1.08562562566878,1.0711610325874,0.272339426371152,0.769030450361525,-0.041369876732677,0.000392688795083083,0.909153961203995,0.0373482080862865,1.03747508046621,-9.79448396452035e-07,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.03113898015141,0.503311799204876,0.412455592060564,0.200330207949233,0.469499492643409,0.888869867154889,-1.08943409594589,3.60187276672448,5.30027700944341
4,0.0108684409243029,0.241378246447015,0.177550906018483,0.00883862157384163,0.0105711651253484,0.0136038427517198,0.0953076402324307,0.0453638847872603,0.0389698764723159,0.59691494388156,1.89775351719973,0.300430689917026,2.88574530961154,0.456151883869497,3.30715949030821,0.902452115591898,2.54140290235719,-0.136695527640887,1.5797173797623,7.28303657232596,0.645023533544639,0.150559135012628,0.33038683077928,0.0251364873990038,1.08532228203657,2.65435444608955,0.727165928964502,0.307303603741372,0.651193369221942,0.271330570509143,0.0702088147237864,0.354913941342721,0.00161167499671687,0.000100245167090603,1.03714481317225,1.01592278312892,1.02088941245905,0.704756821905043,0.125130212251947,0.17011296584301,1.08535066722831,1.07101442929409,0.272878316973734,0.768454896011299,-0.0413332129850323,0.000505409428053862,0.909721143211748,0.0371431654627662,1.03728135216733,-1.74023920005441e-06,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.03179693528739,0.503597737987616,0.412718774114955,0.200882640144428,0.468795505783406,0.885053847991648,-1.09242624287773,3.60607066631505,5.30501664655433
5,0.0107126042348007,0.242118760930935,0.177094628096754,0.00791332886593499,0.0105101812036965,0.0136102842011478,0.0948742811470082,0.0451817814717289,0.0388165964857567,0.601892317729808,1.91173496443122,0.302198537238398,2.89334470383408,0.456591264926844,3.31298353719825,0.905902247670111,2.54383500177323,-0.136753712245092,1.58799203427894,7.30663011293625,0.647156502966065,0.150659601694275,0.330126563729882,0.0251204130459151,1.08590678812404,2.65984194855091,0.727557548043104,0.308002442088411,0.651544072874422,0.271476697031009,0.0704621328152581,0.35514642721095,0.00159751577291992,-4.7715423506774e-05,1.03691512870065,1.01576616725597,1.02082069882462,0.704615674944489,0.124783650905437,0.170600674150074,1.08523266333346,1.07097036067771,0.273440008867652,0.767838105147817,-0.0412781140154691,0.00056878595805118,0.910038399128697,0.0369151999134656,1.03706378717099,-2.71711106819253e-06,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.03255941347093,0.504028564563127,0.413023765388372,0.201311733257041,0.46852003931915,0.883112581148083,-1.09592651964259,3.61024469399384,5.31007425488371
6,0.0105078894247479,0.242824121940486,0.176514223796303,0.0071074107756266,0.0104189256193508,0.013362564149072,0.0947134781878544,0.0450983421986244,0.0387411020213844,0.605318684449051,1.92028429110589,0.302794454916621,2.8973672699355,0.456053957777061,3.31887855874796,0.909320985464939,2.54630909579364,-0.136751522510614,1.59499063705602,7.32158094416029,0.64716892808425,0.15106710989794,0.330191162028798,0.0250720379011813,1.08665565103033,2.6654268786253,0.728059286190319,0.308247841672257,0.651993390618196,0.271663912757582,0.0707161427559125,0.355488411486787,0.00145828950446588,-0.000172468221698373,1.03669274747906,1.01556042887187,1.02080852897219,0.704553641493349,0.124363739151057,0.171082619355594,1.08526620298208,1.07102366115634,0.273984410542731,0.767219725141194,-0.0412041356839256,0.000586054994267547,0.910107451228965,0.0366776098873912,1.03684014318146,-3.90909994627172e-06,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.03336246285968,0.504558333888256,0.41334498514387,0.201602477316381,0.468652977690862,0.883006762855017,-1.09960928679146,3.61407413975828,5.31509856986069
7,0.010260271525641,0.243447627787879,0.175830908335098,0.00639179702907633,0.0103028447592606,0.0128970257916536,0.0948139636751304,0.0451104376789773,0.0387412318572462,0.60707796403804,1.92337642002625,0.302254774363116,2.89784546150758,0.454596150158919,3.32450763530976,0.912494492777629,2.54869114152699,-0.136677998994857,1.60035378708146,7.32774247894235,0.645167510111318,0.151735885104531,0.330557670231739,0.0249945845841405,1.08752672614978,2.67077157812141,0.728642906520351,0.308064154280617,0.652516035689867,0.271881681537445,0.070954554838738,0.355914692170143,0.001220021498484,-0.000268689085285651,1.03649178009324,1.01531157288327,1.02086079561747,0.704583331987593,0.123887527261148,0.171529140751259,1.08544105014851,1.07116724151346,0.274475078104997,0.766637174881512,-0.0411122529865087,0.000561439496591159,0.909941850662359,0.0364310878505116,1.0366264206554,-5.31502948517986e-06,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.0341472377226,0.5051420832879,0.413658895089038,0.201752227497876,0.469153406310725,0.884607037847692,-1.1032426105878,3.61730263237602,5.31976367852778
8,0.00997164061495977,0.243952608452026,0.175052598445924,0.005694713389087,0.0101661816670195,0.0122615579660308,0.0951457024994561,0.0452071611912173,0.0388083369674198,0.607232420146438,1.92163511006094,0.300713567048992,2.8951426157724,0.452308824983367,3.32964030923523,0.91525645206183,2.5509120614046,-0.136528204231209,1.60393140788578,7.32599308341283,0.641385284429692,0.152607180165985,0.33118735036831,0.0248910966285411,1.0884889484295,2.67563036496337,0.729287595447763,0.307508681719904,0.653093369057698,0.272122237107374,0.0711646444884752,0.356403541254341,0.00091657521416115,-0.000329050200515563,1.03632319343721,1.01502149881803,1.02098644673436,0.704719049048505,0.123362900710281,0.171918050241214,1.08573983885715,1.07139035001749,0.274881478810266,0.766122410960386,-0.0410038897706527,0.000501452639898288,0.909570066464692,0.0361674882949308,1.03643600623483,-6.933512202202e-06,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.03486289526646,0.505738480796778,0.413945158106585,0.201771330645005,0.469956574631368,0.887673981596845,-1.1067201196237,3.61975749747192,5.32379497544123
9,0.00964422973730842,0.244319033608416,0.174171557511962,0.00492712978535659,0.0100105196891849,0.0115275900127214,0.0956455235240618,0.0453648205431264,0.0389234015271079,0.606117530436553,1.91659244904517,0.298438432965454,2.8901543293859,0.449345732557833,3.33420308232486,0.917517498556923,2.55298745071387,-0.136301866945933,1.60589216126571,7.31870363687302,0.636247204224291,0.153596396309619,0.33201167729451,0.0247649056469371,1.08952331625633,2.67989283324216,0.72998062189174,0.306693617692277,0.653713989753797,0.272380829064082,0.0713392640373841,0.35693835232531,0.000596259328905058,-0.000339737877466293,1.03619352201729,1.01469245088599,1.0211897418893,0.70497471485529,0.122786544092897,0.172238741051813,1.08612989643596,1.07167321127711,0.275183447415667,0.765696446093432,-0.0408798935090991,0.000415628126370355,0.909048669378773,0.0358730265609918,1.03627856833053,-8.76295085029818e-06,0.67,0.1,1.025,0.5,0.6,0.25,0.4,0.005,0.975,0.8,0.1,1.03547064385364,0.506313694383463,0.414188257541454,0.201690713179456,0.470955440384357,0.891764508795462,-1.11007169354657,3.62138867808602,5.32701001501697
